series,fund,lag,cost_bps,deployment,cap,harvest,rebalance,reserve_accumulation_trades,reserve_deployment_trades,reserve_rebalance_sell_trades,leverage_state_trades,traded_transition_days,total_charged_transitions,reserve_turnover,risky_sleeve_turnover,net_asset_turnover,sum_dollar_costs,direct_log_cost_drag,direct_wealth_cost_drag,total_trading_cost_drag,cost_cagr_drag
NO_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,0,0,0,261,261,0,0,261,261,0,0,0,0,0
FIXED_90_10,UPRO,LAG1,0,staged,0.15,0.1,quarterly,101,0,59,261,417,0,2.027946725,232.2595787,234.2355711,0,0,0,0,0
FIXED_85_15,UPRO,LAG1,0,staged,0.15,0.1,quarterly,101,0,59,261,417,0,2.871478048,218.1617701,220.9603371,0,0,0,0,0
HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,598,107,0,261,899,0,1.316560304,258.9904204,259.9069703,0,0,0,0,0
ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,0,staged,0.2,0.1,rule,25,99,0,261,325,0,4.492789721,256.236475,259.7634497,0,0,0,0,0
HWM_DRAWDOWN,UPRO,LAG1,0,drawdown,0.15,0.1,rule,624,11,0,261,895,0,1.104128703,239.0411175,240.1446089,0,0,0,0,0
BAND_DRAWDOWN,UPRO,LAG1,0,drawdown,0.2,0.1,rule,8,11,0,261,280,0,0.8644807044,241.4677676,242.3322483,0,0,0,0,0
SP500_1X,UPRO,LAG1,0,none,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPRO_ALWAYS,UPRO,LAG1,0,none,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UPRO_SMA_TO_TBILL,UPRO,LAG1,0,none,0,0,none,0,0,0,261,261,0,0,261,261,0,0,0,0,0
NO_RESERVE,UPRO,LAG1,10,staged,0.15,0.1,rule,0,0,0,261,261,261,0,261,261,12.42072908,0.2611305871,0.2298196625,0.2298196625,0.007704207311
FIXED_90_10,UPRO,LAG1,10,staged,0.15,0.1,quarterly,101,0,59,261,417,417,2.027946725,232.2595787,234.2355711,9.395838477,0.2343390157,0.2089064227,0.2089064227,0.006862889977
FIXED_85_15,UPRO,LAG1,10,staged,0.15,0.1,quarterly,101,0,59,261,417,417,2.871478048,218.1617701,220.9603371,8.022154174,0.2210516466,0.1983247246,0.1983247246,0.006446676514
HWM_RESERVE,UPRO,LAG1,10,staged,0.15,0.1,rule,578,107,0,261,879,879,1.27143136,259.0345904,259.9147295,12.42309544,0.2600433911,0.2289818702,0.2247914671,0.007512837087
ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,10,staged,0.2,0.1,rule,25,99,0,261,325,325,4.493077942,256.236795,259.7641213,11.6111074,0.2598902562,0.2288637914,0.2288583037,0.007646705351
HWM_DRAWDOWN,UPRO,LAG1,10,drawdown,0.15,0.1,rule,598,11,0,261,869,869,1.074556803,239.5785886,240.652508,11.36459387,0.2407628318,0.2139719749,0.2032077424,0.006689026859
