return_end,execution_close,signal_close,reason,stage,transfer_to_reserve,net_deployed,asset,favorable,streak,row,series,fund,lag,cost_bps,deployment,cap,harvest,rebalance,remaining_tagged_risky_wealth_at_sample_end
1986-11-21,1986-11-20,1986-11-20,deployment,recovery_1_of_3,-0.00611782097,0.00611782097,UPRO,True,1,39,HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,2.362907447
1986-12-22,1986-12-19,1986-12-19,deployment,recovery_2_of_3,-0.006145087448,0.006145087448,UPRO,True,21,59,HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,2.706727605
1987-02-19,1987-02-18,1987-02-18,deployment,recovery_3_of_3,-0.01913721521,0.01913721521,UPRO,True,61,99,HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,6.051826761
1988-06-07,1988-06-06,1988-06-06,deployment,recovery_1_of_3,-0.02432934665,0.02432934665,UPRO,True,1,427,HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,8.513557172
1988-06-09,1988-06-08,1988-06-08,deployment,recovery_1_of_3,-0.01622546866,0.01622546866,UPRO,True,1,429,HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,5.66333591
1988-07-08,1988-07-07,1988-07-07,deployment,recovery_2_of_3,-0.01631174108,0.01631174108,UPRO,True,21,449,HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,5.746073213
1988-08-25,1988-08-24,1988-08-24,deployment,recovery_1_of_3,-0.005488172756,0.005488172756,UPRO,True,1,483,HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,2.284207572
1988-09-06,1988-09-02,1988-09-02,deployment,recovery_1_of_3,-0.003665581821,0.003665581821,UPRO,True,1,490,HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,1.541813888
1988-10-04,1988-10-03,1988-10-03,deployment,recovery_2_of_3,-0.003688910097,0.003688910097,UPRO,True,21,510,HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,1.448250067
1988-11-23,1988-11-22,1988-11-22,deployment,recovery_1_of_3,-0.001242729053,0.001242729053,UPRO,True,1,546,HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,0.5327146769
1988-12-22,1988-12-21,1988-12-21,deployment,recovery_2_of_3,-0.001250954419,0.001250954419,UPRO,True,21,566,HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,0.4843918755
1989-02-21,1989-02-17,1989-02-17,deployment,recovery_3_of_3,-0.001268140458,0.001268140458,UPRO,True,61,606,HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,0.4082161558
1990-03-09,1990-03-08,1990-03-08,deployment,recovery_1_of_3,-0.007592350694,0.007592350694,UPRO,True,1,871,HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,2.019771961
1990-03-19,1990-03-16,1990-03-16,deployment,recovery_1_of_3,-0.005070720352,0.005070720352,UPRO,True,1,877,HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,1.359997464
1990-03-28,1990-03-27,1990-03-27,deployment,recovery_1_of_3,-0.003388827701,0.003388827701,UPRO,True,1,884,HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,0.9232678793
1990-04-04,1990-04-03,1990-04-03,deployment,recovery_1_of_3,-0.00226272665,0.00226272665,UPRO,True,1,889,HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,0.6188086882
1990-04-10,1990-04-09,1990-04-09,deployment,recovery_1_of_3,-0.001510477719,0.001510477719,UPRO,True,1,893,HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,0.4228281503
1990-05-09,1990-05-08,1990-05-08,deployment,recovery_1_of_3,-0.001013442955,0.001013442955,UPRO,True,1,913,HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,0.2847563615
1990-06-07,1990-06-06,1990-06-06,deployment,recovery_2_of_3,-0.001019879412,0.001019879412,UPRO,True,21,933,HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,0.2375675859
1990-08-03,1990-08-02,1990-08-02,deployment,recovery_3_of_3,-0.001032579313,0.001032579313,UPRO,True,61,973,HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,0.276137834
1991-04-23,1991-04-22,1991-04-22,deployment,recovery_3_of_3,-0.01911062396,0.01911062396,UPRO,True,61,1154,HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,3.860147351
1991-12-16,1991-12-13,1991-12-13,deployment,recovery_1_of_3,-0.001379315041,0.001379315041,UPRO,True,1,1319,HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,0.2913134944
1992-01-15,1992-01-14,1992-01-14,deployment,recovery_2_of_3,-0.00138412979,0.00138412979,UPRO,True,21,1339,HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,0.2281850851
1992-03-12,1992-03-11,1992-03-11,deployment,recovery_3_of_3,-0.03295481184,0.03295481184,UPRO,True,61,1379,HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,6.152531376
1993-01-15,1993-01-14,1993-01-14,deployment,recovery_3_of_3,-0.01639242189,0.01639242189,UPRO,True,61,1593,HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,2.666153756
1994-06-15,1994-06-14,1994-06-14,deployment,recovery_1_of_3,-0.02734583005,0.02734583005,UPRO,True,1,1950,HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,3.911341292
1994-08-02,1994-08-01,1994-08-01,deployment,recovery_1_of_3,-0.01833541111,0.01833541111,UPRO,True,1,1983,HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,2.643961536
1994-08-04,1994-08-03,1994-08-03,deployment,recovery_1_of_3,-0.01222656323,0.01222656323,UPRO,True,1,1985,HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,1.763621097
1994-08-15,1994-08-12,1994-08-12,deployment,recovery_1_of_3,-0.008160129871,0.008160129871,UPRO,True,1,1992,HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,1.189906905
1994-09-13,1994-09-12,1994-09-12,deployment,recovery_2_of_3,-0.008192475341,0.008192475341,UPRO,True,21,2012,HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,1.166546648
1994-09-28,1994-09-27,1994-09-27,deployment,recovery_1_of_3,-0.002736209624,0.002736209624,UPRO,True,1,2023,HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,0.4054763247
1994-10-12,1994-10-11,1994-10-11,deployment,recovery_1_of_3,-0.001827578253,0.001827578253,UPRO,True,1,2033,HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,0.2777225789
1994-11-09,1994-11-08,1994-11-08,deployment,recovery_2_of_3,-0.001834800659,0.001834800659,UPRO,True,21,2053,HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,0.2802760997
1994-12-19,1994-12-16,1994-12-16,deployment,recovery_1_of_3,-0.0006151823691,0.0006151823691,UPRO,True,1,2080,HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,0.09848346923
1994-12-22,1994-12-21,1994-12-21,deployment,recovery_1_of_3,-0.0004104419617,0.0004104419617,UPRO,True,1,2083,HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,0.06590676555
1995-01-23,1995-01-20,1995-01-20,deployment,recovery_2_of_3,-0.000412388024,0.000412388024,UPRO,True,21,2103,HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,0.06440786531
1995-03-21,1995-03-20,1995-03-20,deployment,recovery_3_of_3,-0.0004163565517,0.0004163565517,UPRO,True,61,2143,HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,0.05395741565
1996-07-18,1996-07-17,1996-07-17,deployment,recovery_1_of_3,-0.1542728678,0.1542728678,UPRO,True,1,2479,HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,11.89728612
1996-07-29,1996-07-26,1996-07-26,deployment,recovery_1_of_3,-0.102982615,0.102982615,UPRO,True,1,2486,HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,8.127391472
