series,fund,lag,cost_bps,horizon_years,cohorts,first_entry,last_entry,min_terminal_multiple,median_terminal_multiple,min_cagr,median_cagr,min_ratio_vs_no_reserve,median_ratio_vs_no_reserve,max_ratio_vs_no_reserve,fraction_outperforming_no_reserve,cohort_kind
ASYMMETRIC_RESERVE_BAND,SSO,LAG1,0,20,240,1986-09-30,2006-08-31,2.947706438,8.656919159,0.05553882322,0.1139563338,0.8996735723,0.947121084,1.026463395,0.02916666667,fresh_investor_reset
ASYMMETRIC_RESERVE_BAND,SSO,LAG1,0,30,120,1986-09-30,1996-08-30,29.06255075,42.89334053,0.1188595298,0.1334842206,0.859702915,0.8901455711,0.9441032748,0,fresh_investor_reset
ASYMMETRIC_RESERVE_BAND,SSO,LAG1,25,20,240,1986-09-30,2006-08-31,2.027510846,6.030257216,0.03597233811,0.09399727068,0.9016575409,0.9489119095,1.030876719,0.0375,fresh_investor_reset
ASYMMETRIC_RESERVE_BAND,SSO,LAG1,25,30,120,1986-09-30,1996-08-30,17.55830209,25.78104653,0.1002233501,0.1143891732,0.863044693,0.8925614198,0.9457179054,0,fresh_investor_reset
ASYMMETRIC_RESERVE_BAND,SSO,LAG2,0,20,240,1986-09-30,2006-08-31,4.130351933,10.20103344,0.0734933363,0.1231267126,0.8909707218,0.9357143026,1.025341167,0.02083333333,fresh_investor_reset
ASYMMETRIC_RESERVE_BAND,SSO,LAG2,0,30,120,1986-09-30,1996-08-30,32.48101842,52.29017284,0.1230144785,0.1409937826,0.852649985,0.8796864078,0.939389346,0,fresh_investor_reset
ASYMMETRIC_RESERVE_BAND,SSO,LAG2,25,20,240,1986-09-30,2006-08-31,2.840610754,7.081497326,0.05358744403,0.1028236128,0.8917549257,0.9371769879,1.029301744,0.02083333333,fresh_investor_reset
ASYMMETRIC_RESERVE_BAND,SSO,LAG2,25,30,120,1986-09-30,1996-08-30,19.6230203,31.29655535,0.1043080267,0.1216247903,0.8550275109,0.8819484502,0.9409686733,0,fresh_investor_reset
ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,0,20,240,1986-09-30,2006-08-31,3.068737488,12.26948218,0.05766464423,0.1335508785,0.8707616551,0.9426546279,1.075544217,0.08333333333,fresh_investor_reset
ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,0,30,120,1986-09-30,1996-08-30,50.91275303,85.94290636,0.1399380276,0.1600182731,0.8364695505,0.8773264063,0.9707982595,0,fresh_investor_reset
ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,25,20,240,1986-09-30,2006-08-31,2.107792917,8.542955285,0.03798576363,0.1132183963,0.8713424965,0.9440592586,1.08028317,0.09583333333,fresh_investor_reset
ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,25,30,120,1986-09-30,1996-08-30,30.28957444,51.34338508,0.1203795578,0.1402714149,0.8381646942,0.8790313552,0.9727651873,0,fresh_investor_reset
ASYMMETRIC_RESERVE_BAND,UPRO,LAG2,0,20,240,1986-09-30,2006-08-31,5.293412215,17.2790476,0.08689298503,0.1531013856,0.8848148658,0.9583376082,1.048080709,0.08333333333,fresh_investor_reset
ASYMMETRIC_RESERVE_BAND,UPRO,LAG2,0,30,120,1986-09-30,1996-08-30,66.33004274,140.855511,0.1500610766,0.1793026632,0.8604568172,0.9008088883,0.9963568356,0,fresh_investor_reset
ASYMMETRIC_RESERVE_BAND,UPRO,LAG2,25,20,240,1986-09-30,2006-08-31,3.633582781,12.20207689,0.06663726604,0.1332191495,0.8863179396,0.9609817982,1.051689671,0.1,fresh_investor_reset
ASYMMETRIC_RESERVE_BAND,UPRO,LAG2,25,30,120,1986-09-30,1996-08-30,40.14450695,83.92342365,0.1309717714,0.1591200041,0.8620168002,0.9037645291,0.9998251923,0,fresh_investor_reset
BAND_DRAWDOWN,SSO,LAG1,0,20,240,1986-09-30,2006-08-31,3.2134584,9.076511609,0.06010439277,0.1165785739,0.8952443083,1.004111611,1.098100258,0.5291666667,fresh_investor_reset
BAND_DRAWDOWN,SSO,LAG1,0,30,120,1986-09-30,1996-08-30,30.45530049,44.30545712,0.1206065924,0.1346886515,0.8938928078,0.9274759152,0.9934757864,0,fresh_investor_reset
BAND_DRAWDOWN,SSO,LAG1,25,20,240,1986-09-30,2006-08-31,2.258348488,6.485525552,0.04157260312,0.09797209988,0.9125729672,1.027832953,1.126190119,0.625,fresh_investor_reset
BAND_DRAWDOWN,SSO,LAG1,25,30,120,1986-09-30,1996-08-30,18.80861328,27.22591809,0.1027488689,0.1164299484,0.9202673582,0.9616895394,1.030201608,0.06666666667,fresh_investor_reset
BAND_DRAWDOWN,SSO,LAG2,0,20,240,1986-09-30,2006-08-31,4.38485761,10.68604628,0.07670759057,0.1257280517,0.8816553872,0.9852992294,1.061592325,0.3666666667,fresh_investor_reset
BAND_DRAWDOWN,SSO,LAG2,0,30,120,1986-09-30,1996-08-30,33.876036,53.72389786,0.1245896769,0.1420092184,0.8657995882,0.9011447684,0.979734899,0,fresh_investor_reset
BAND_DRAWDOWN,SSO,LAG2,25,20,240,1986-09-30,2006-08-31,3.084363287,7.630227948,0.05793327285,0.1069467959,0.8997032419,1.008649172,1.090899247,0.5416666667,fresh_investor_reset
BAND_DRAWDOWN,SSO,LAG2,25,30,120,1986-09-30,1996-08-30,21.15358669,32.93919009,0.1070760392,0.123538752,0.894772548,0.9336840187,1.01436283,0.01666666667,fresh_investor_reset
BAND_DRAWDOWN,UPRO,LAG1,0,20,240,1986-09-30,2006-08-31,3.389790388,12.96455128,0.06293973491,0.1366790453,0.8890416614,0.9741252344,1.147521029,0.3458333333,fresh_investor_reset
BAND_DRAWDOWN,UPRO,LAG1,0,30,120,1986-09-30,1996-08-30,53.45932277,86.96243975,0.1417937013,0.1604738778,0.828973805,0.8985235742,1.024270531,0.01666666667,fresh_investor_reset
BAND_DRAWDOWN,UPRO,LAG1,25,20,240,1986-09-30,2006-08-31,2.385139651,9.285759645,0.04442122868,0.1178688804,0.9080882213,1.00014395,1.17869446,0.5,fresh_investor_reset
BAND_DRAWDOWN,UPRO,LAG1,25,30,120,1986-09-30,1996-08-30,33.02180906,53.64485699,0.1236088399,0.1419601111,0.8527049838,0.9299138349,1.063490136,0.075,fresh_investor_reset
BAND_DRAWDOWN,UPRO,LAG2,0,20,240,1986-09-30,2006-08-31,6.291277641,18.26164121,0.09631900446,0.1562938758,0.8613470651,1.011298006,1.162194228,0.5833333333,fresh_investor_reset
BAND_DRAWDOWN,UPRO,LAG2,0,30,120,1986-09-30,1996-08-30,66.75620508,145.9974118,0.1503066038,0.1807232714,0.8846284857,0.9397619622,1.055987483,0.125,fresh_investor_reset
BAND_DRAWDOWN,UPRO,LAG2,25,20,240,1986-09-30,2006-08-31,4.438482323,13.08265636,0.07736217712,0.1371840565,0.8810673154,1.040776761,1.20011557,0.6666666667,fresh_investor_reset
BAND_DRAWDOWN,UPRO,LAG2,25,30,120,1986-09-30,1996-08-30,41.71101112,92.09940062,0.1324157288,0.1627199988,0.9195424636,0.9788783923,1.104881686,0.3583333333,fresh_investor_reset
FIXED_85_15,SSO,LAG1,0,20,240,1986-09-30,2006-08-31,2.832155369,7.737449026,0.05343041604,0.1077193735,0.730304287,0.852464659,0.9678017121,0,fresh_investor_reset
FIXED_85_15,SSO,LAG1,0,30,120,1986-09-30,1996-08-30,23.71687221,34.00746442,0.1113047118,0.1247227529,0.6640554065,0.7076679708,0.7738865663,0,fresh_investor_reset
FIXED_85_15,SSO,LAG1,25,20,240,1986-09-30,2006-08-31,2.054907007,5.654417947,0.03666779894,0.09047112859,0.7645048909,0.9002069148,1.024738201,0.004166666667,fresh_investor_reset
FIXED_85_15,SSO,LAG1,25,30,120,1986-09-30,1996-08-30,15.43382561,21.8897727,0.09550402786,0.1083183324,0.7176857084,0.7647251696,0.835553044,0,fresh_investor_reset
