series,fund,lag,cost_bps,average_reserve,rounded_fixed_reserve,fixed_actual_average_reserve,dynamic_cagr,fixed_cagr,exact_average_fixed_cagr,exact_average_fixed_actual_reserve,dynamic_to_exact_average_fixed_terminal_ratio,dynamic_to_fixed_terminal_ratio,fixed_max_drawdown,dynamic_average_effective_exposure,fixed_average_effective_exposure,constant_leverage_cagr,constant_leverage_max_drawdown,constant_leverage_terminal_multiple
HWM_RESERVE,UPRO,LAG1,0,0.013284722586,0,0,0.195201459661,0.195900545046,0.194614416863,0.0130891934609,1.01981292211,0.976919386774,-0.744882830999,2.52850850754,2.56397256188,0.144165687373,-0.954190305297,216.627488458
ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,0,0.0380181128728,0.05,0.0492577211057,0.192008382572,0.190913645598,0.192144814383,0.0374550358338,0.995439994274,1.03737386205,-0.716186865596,2.46233268054,2.43989773771,0.144369587279,-0.948187179314,218.174505492
HWM_DRAWDOWN,UPRO,LAG1,0,0.0720974908463,0.05,0.0492577211057,0.19128438148,0.190913645598,0.188584195075,0.0710237394376,1.09485125562,1.01250733058,-0.716186865596,2.38620975631,2.43989773771,0.144367266232,-0.940447622273,218.156834928
BAND_DRAWDOWN,UPRO,LAG1,0,0.075905726974,0.1,0.0985077522884,0.189617117362,0.185535005359,0.188175085053,0.074774803158,1.04962923011,1.14713575284,-0.685085166918,2.37424716377,2.31557197779,0.144343997479,-0.939144760508,217.979762636
HWM_RESERVE,UPRO,LAG1,10,0.0127822287464,0,0,0.188545694852,0.189029172791,0.187889130643,0.0125941232029,1.02231144563,0.983889964934,-0.766150113952,2.529974943,2.56397256188,0.144158987768,-0.954316159271,216.576839522
ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,10,0.0380172820683,0.05,0.0492577211057,0.185210830578,0.184420431704,0.185561298948,0.0374542174344,0.988262551755,1.02699847794,-0.738619541362,2.46233511271,2.43989773771,0.144369583315,-0.948187411936,218.174475311
HWM_DRAWDOWN,UPRO,LAG1,10,0.0703722562634,0.05,0.0492577211057,0.185351955182,0.184420431704,0.182428888663,0.0693244051512,1.10362387985,1.03189322148,-0.738619541362,2.39083049925,2.43989773771,0.144374593225,-0.940944386444,218.212621448
BAND_DRAWDOWN,UPRO,LAG1,10,0.0758423154447,0.1,0.0985077522884,0.183340184388,0.179417222137,0.18188309434,0.0747123435964,1.0504334123,1.14180289943,-0.708623099823,2.37439183158,2.31557197779,0.14434431591,-0.939160662194,217.982184913
HWM_RESERVE,UPRO,LAG1,25,0.0120925275952,0,0,0.178570396699,0.178783311477,0.177841468347,0.0119146080188,1.02501414195,0.992812273449,-0.794807082636,2.53197955602,2.56397256188,0.144149676003,-0.954487713399,216.506461862
ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,25,0.0380160330567,0.05,0.0492577211057,0.175074885106,0.174735595939,0.175742444103,0.0374529870723,0.977575068319,1.01159897832,-0.769021866225,2.4623387692,2.43989773771,0.144369577355,-0.948187761655,218.174429934
