series,fund,lag,cost_bps,deployment,cap,harvest,rebalance,horizon_years,cohorts,min_terminal_multiple,median_terminal_multiple,min_cagr,median_cagr,cohort_kind
NO_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,20,240,3.003519598,13.19756894,0.05652924637,0.137690185,inherited_policy_state
NO_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,30,120,53.06498778,96.45530646,0.1415395925,0.1644883309,inherited_policy_state
FIXED_90_10,UPRO,LAG1,0,staged,0.15,0.1,quarterly,20,240,3.104114874,12.05990688,0.05827098539,0.1325749584,inherited_policy_state
FIXED_90_10,UPRO,LAG1,0,staged,0.15,0.1,quarterly,30,120,45.4686735,77.78290318,0.1356762793,0.1561825035,inherited_policy_state
FIXED_85_15,UPRO,LAG1,0,staged,0.15,0.1,quarterly,20,240,3.124620749,11.3510709,0.05861944172,0.1291502479,inherited_policy_state
FIXED_85_15,UPRO,LAG1,0,staged,0.15,0.1,quarterly,30,120,41.57626002,69.01167168,0.132293598,0.1515812274,inherited_policy_state
HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,20,240,2.993272226,12.9630813,0.05634872095,0.1366704143,inherited_policy_state
HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,30,120,52.96098873,94.70909205,0.1414649506,0.1637954059,inherited_policy_state
ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,0,staged,0.2,0.1,rule,20,240,2.97234661,12.24821186,0.05597824872,0.1334431184,inherited_policy_state
ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,0,staged,0.2,0.1,rule,30,120,50.90765689,86.7105935,0.1399342249,0.1603621795,inherited_policy_state
HWM_DRAWDOWN,UPRO,LAG1,0,drawdown,0.15,0.1,rule,20,240,3.682780173,13.51852613,0.06735475656,0.1390596252,inherited_policy_state
HWM_DRAWDOWN,UPRO,LAG1,0,drawdown,0.15,0.1,rule,30,120,52.94104004,92.75146885,0.1414506169,0.1629775538,inherited_policy_state
BAND_DRAWDOWN,UPRO,LAG1,0,drawdown,0.2,0.1,rule,20,240,3.380441346,13.35509063,0.06279296316,0.1383468587,inherited_policy_state
BAND_DRAWDOWN,UPRO,LAG1,0,drawdown,0.2,0.1,rule,30,120,51.71884717,88.17734849,0.1405623239,0.1610347844,inherited_policy_state
SP500_1X,UPRO,LAG1,0,none,0,0,none,20,240,2.548264871,5.387530213,0.04788163336,0.08783863295,inherited_policy_state
SP500_1X,UPRO,LAG1,0,none,0,0,none,30,120,14.5499732,18.97715059,0.0933527571,0.1030718628,inherited_policy_state
UPRO_ALWAYS,UPRO,LAG1,0,none,0,0,none,20,240,0.5231734517,3.262170035,-0.03187310567,0.06090215039,inherited_policy_state
UPRO_ALWAYS,UPRO,LAG1,0,none,0,0,none,30,120,9.375569906,33.73584136,0.07745327156,0.1244216884,inherited_policy_state
UPRO_SMA_TO_TBILL,UPRO,LAG1,0,none,0,0,none,20,240,2.832044661,11.34220609,0.05342085221,0.1291063805,inherited_policy_state
UPRO_SMA_TO_TBILL,UPRO,LAG1,0,none,0,0,none,30,120,35.77599544,59.91753381,0.1266370469,0.1461558482,inherited_policy_state
NO_RESERVE,UPRO,LAG1,10,staged,0.15,0.1,rule,20,240,2.582374307,11.43954659,0.04857852629,0.1295680102,inherited_policy_state
NO_RESERVE,UPRO,LAG1,10,staged,0.15,0.1,rule,30,120,43.3547504,78.53021113,0.133875574,0.1565359833,inherited_policy_state
