series,fund,lag,cost_bps,deployment,cap,harvest,rebalance,entry_close,first_return,last_return,observations,cagr,max_drawdown,terminal_multiple,years,annualized_volatility,sharpe,longest_underwater_calendar_days,max_drawdown_peak,max_drawdown_trough,max_drawdown_recovery,max_drawdown_recovered,max_drawdown_recovery_days_from_trough,max_drawdown_recovery_days_from_peak,worst_calendar_year,worst_calendar_year_return,best_calendar_year,best_calendar_year_return,worst_rolling_1y_cagr,worst_rolling_5y_cagr,worst_rolling_10y_cagr,worst_rolling_20y_cagr,cohort_20y_count,cohort_20y_min_cagr,cohort_20y_median_cagr,worst_rolling_30y_cagr,cohort_30y_count,cohort_30y_min_cagr,cohort_30y_median_cagr,switch_count,switches_per_year,average_reserve_weight,median_reserve_weight,fraction_reserve_zero,fraction_reserve_at_cap,fraction_reserve_above_cap,average_risky_exposure,average_effective_equity_exposure,average_leverage,average_total_safe_asset_weight,average_risky_sleeve_leverage,fraction_at_1x,fraction_at_2x,fraction_at_3x,fraction_sleeve_at_1x,fraction_sleeve_at_2x,fraction_sleeve_at_3x,reserve_accumulation_trades,reserve_deployment_trades,reserve_rebalance_sell_trades,leverage_state_trades,traded_transition_days,total_charged_transitions,reserve_turnover,risky_sleeve_turnover,net_asset_turnover,sum_dollar_costs,direct_log_cost_drag,direct_wealth_cost_drag,total_trading_cost_drag,cost_cagr_drag,rolling_20y_min_terminal_multiple,rolling_20y_median_terminal_multiple,rolling_30y_min_terminal_multiple,rolling_30y_median_terminal_multiple
MATCHED_FIXED_FOR_HWM_RESERVE,UPRO,LAG1,0,none,0,0,quarterly,1986-09-26,1986-09-29,2026-09-02,10059,0.1820486561,-0.7545798271,795.5022068,39.93429158,0.3756149946,0.5519029794,5051,1999-07-16,2009-03-09,2013-05-14,True,1527,5051,2000,-0.4867144888,1995,1.22788602,-0.5396321429,-0.1781849935,-0.1187757356,0.04573085479,240,0.05652924637,0.137690185,0.1373314859,120,0.1415395925,0.1644883309,0,0,0,0,1,,,1,2.514862312,2.514862312,0,2.514862312,0.2425688438,0,0.7574311562,0.2425688438,0,0.7574311562,0,0,0,261,261,0,0,261,261,0,-0,0,0,0,3.003519598,13.19756894,53.06498778,96.45530646
MATCHED_FIXED_FOR_ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,0,none,0.05,0,quarterly,1986-09-26,1986-09-29,2026-09-02,10059,0.1776904972,-0.7274227985,686.4034901,39.93429158,0.3565982676,0.551111734,5040,1999-07-16,2002-10-09,2013-05-03,True,3859,5040,2000,-0.4652490063,1995,1.153443195,-0.5175260616,-0.1654262653,-0.1098295893,0.04761125517,240,0.05757645997,0.1353521643,0.1347481206,120,0.1387597959,0.1604848296,0,0,0.04926913927,0.04867711971,0,,,0.9507308607,2.393213817,2.393213817,0.04926913927,2.514862312,0,0,0,0.2425688438,0,0.7574311562,101,0,59,261,417,0,1.071247398,246.5363381,247.5799019,0,-0,0,0,6.661338148e-16,3.063624334,12.66552241,49.32203966,86.98658454
MATCHED_FIXED_FOR_HWM_DRAWDOWN,UPRO,LAG1,0,none,0.05,0,quarterly,1986-09-26,1986-09-29,2026-09-02,10059,0.1776904972,-0.7274227985,686.4034901,39.93429158,0.3565982676,0.551111734,5040,1999-07-16,2002-10-09,2013-05-03,True,3859,5040,2000,-0.4652490063,1995,1.153443195,-0.5175260616,-0.1654262653,-0.1098295893,0.04761125517,240,0.05757645997,0.1353521643,0.1347481206,120,0.1387597959,0.1604848296,0,0,0.04926913927,0.04867711971,0,,,0.9507308607,2.393213817,2.393213817,0.04926913927,2.514862312,0,0,0,0.2425688438,0,0.7574311562,101,0,59,261,417,0,1.071247398,246.5363381,247.5799019,0,-0,0,0,6.661338148e-16,3.063624334,12.66552241,49.32203966,86.98658454
MATCHED_FIXED_FOR_BAND_DRAWDOWN,UPRO,LAG1,0,none,0.05,0,quarterly,1986-09-26,1986-09-29,2026-09-02,10059,0.1776904972,-0.7274227985,686.4034901,39.93429158,0.3565982676,0.551111734,5040,1999-07-16,2002-10-09,2013-05-03,True,3859,5040,2000,-0.4652490063,1995,1.153443195,-0.5175260616,-0.1654262653,-0.1098295893,0.04761125517,240,0.05757645997,0.1353521643,0.1347481206,120,0.1387597959,0.1604848296,0,0,0.04926913927,0.04867711971,0,,,0.9507308607,2.393213817,2.393213817,0.04926913927,2.514862312,0,0,0,0.2425688438,0,0.7574311562,101,0,59,261,417,0,1.071247398,246.5363381,247.5799019,0,-0,0,0,6.661338148e-16,3.063624334,12.66552241,49.32203966,86.98658454
FIXED_90_10,UPRO,LAG1,0,none,0.1,0,monthly,1986-09-26,1986-09-29,2026-09-02,10059,0.1725498251,-0.7038661703,576.3811113,39.93429158,0.3374328362,0.5494001127,5017,1999-07-16,2002-10-09,2013-04-10,True,3836,5017,2000,-0.441328151,1995,1.074146532,-0.4954459507,-0.1535723199,-0.1013917692,0.04757225753,240,0.05708856065,0.1316997501,0.1318375262,120,0.1356187032,0.155714236,0,0,0.09947229014,0.09922480459,0,,,0.9005277099,2.266444362,2.266444362,0.09947229014,2.514862312,0,0,0,0.2425688438,0,0.7574311562,284,0,196,261,728,0,3.418140366,233.4477751,236.725596,0,-0,0,0,8.881784197e-16,3.035480604,11.87477606,45.39956654,76.87267543
FIXED_85_15,UPRO,LAG1,0,none,0.15,0,monthly,1986-09-26,1986-09-29,2026-09-02,10059,0.1672809431,-0.6782131586,481.5061345,39.93429158,0.3184306259,0.5481644361,4990,1999-07-16,2002-10-09,2013-03-14,True,3809,4990,2000,-0.4177800405,1995,1.000830635,-0.4721942926,-0.1414445647,-0.09287601552,0.04807013074,240,0.05696604792,0.1280556851,0.128635571,120,0.1322020461,0.150812505,0,0,0.149216114,0.1489013334,0,,,0.850783886,2.142065072,2.142065072,0.149216114,2.514862312,0,0,0,0.2425688438,0,0.7574311562,284,0,196,261,728,0,4.839798468,219.8117942,224.4544068,0,-0,0,0,6.661338148e-16,3.028452321,11.13296792,41.47552386,67.70772666
FIXED_90_10,UPRO,LAG1,0,none,0.1,0,annual,1986-09-26,1986-09-29,2026-09-02,10059,0.1737883558,-0.6972014916,601.2003725,39.93429158,0.3395890027,0.551259801,5017,1999-07-16,2002-10-09,2013-04-10,True,3836,5017,2000,-0.4318992154,1995,1.11088695,-0.4844128767,-0.152236,-0.09908551341,0.05099170741,240,0.06018843709,0.1335071222,0.1324979302,120,0.1364269468,0.1574335942,0,0,0.09636830156,0.09515230096,0,,,0.9036316984,2.283544891,2.283544891,0.09636830156,2.514862312,0,0,0,0.2425688438,0,0.7574311562,26,0,14,261,299,0,1.14392869,231.1738825,232.2805644,0,-0,0,0,6.661338148e-16,3.218557453,12.25987015,46.37903685,80.37914187
FIXED_85_15,UPRO,LAG1,0,none,0.15,0,annual,1986-09-26,1986-09-29,2026-09-02,10059,0.1690768164,-0.6684090564,511.9930557,39.93429158,0.321700631,0.5507476743,4983,1999-07-16,2002-10-09,2013-03-07,True,3802,4983,2000,-0.4044915787,1995,1.052387415,-0.4563894992,-0.1397311096,-0.08970042516,0.05287868624,240,0.06133859969,0.1306845361,0.1295805736,120,0.1333615694,0.153259987,0,0,0.1444473669,0.1431138809,0,,,0.8555526331,2.167120582,2.167120582,0.1444473669,2.514862312,0,0,0,0.2425688438,0,0.7574311562,26,0,14,261,299,0,1.623870594,216.6688629,218.2405131,0,-0,0,0,6.661338148e-16,3.289115969,11.66350423,42.76898019,72.12650236
HWM_GRID,UPRO,LAG1,0,staged,0.1,0.05,rule,1986-09-26,1986-09-29,2026-09-02,10059,0.1820583233,-0.7536884825,795.7620556,39.93429158,0.3727963631,0.5531898737,5051,1999-07-16,2009-03-09,2013-05-14,True,1527,5051,2000,-0.4865048302,1995,1.215152793,-0.5396321429,-0.1755722179,-0.1184802334,0.045687645,240,0.05643831008,0.1371862148,0.1373633883,120,0.1415069819,0.1641627916,0,0,0.005980994316,0.0002392876067,0.4531265533,0,0,0.9940190057,2.499248938,2.499248938,0.005980994316,2.514862312,0.1452430659,0,0.3133512278,0.2425688438,0,0.7574311562,595,107,0,261,896,0,0.659253561,259.9873357,260.445044,0,-0,0,0,-8.881784197e-16,2.998353518,13.08118526,53.01952696,95.64961219
HWM_GRID,UPRO,LAG1,0,staged,0.1,0.1,rule,1986-09-26,1986-09-29,2026-09-02,10059,0.1820497952,-0.7528001483,795.5328212,39.93429158,0.3700561118,0.5544424146,5051,1999-07-16,2009-03-09,2013-05-14,True,1527,5051,2000,-0.4862972153,1995,1.202466519,-0.5396321429,-0.1730216271,-0.1181868173,0.04564522924,240,0.05634872095,0.1366704143,0.1373851427,120,0.1414649506,0.1637954059,0,0,0.01192490817,0.000593219758,0.4520330053,0,0.001888855751,0.9880750918,2.483691463,2.483691463,0.01192490817,2.514862312,0.1452430659,0,0.3067899394,0.2425688438,0,0.7574311562,598,107,0,261,899,0,1.316560304,258.9904204,259.9069703,0,-0,0,0,-4.440892099e-16,2.993272226,12.9630813,52.96098873,94.70909205
