series,fund,lag,cost_bps,deployment,cap,harvest,rebalance,cycle_start,event,underlying_peak,underlying_trough,underlying_drawdown,pre_no_reserve_wealth,pre_reserve_wealth,cumulative_gains_diverted,cumulative_cash_income,cumulative_pre_drawdown_log_growth_foregone,trough_risky_capital,trough_reserve_capital,trough_total_capital,trough_reserve_weight,dry_powder_ratio,trough_capital_preservation,maximum_additional_equity_notional_at_1x,maximum_additional_equity_notional_at_favorable_leverage,reserve_portfolio_recovery_date,no_reserve_recovery_date,reserve_recovery_days,no_reserve_recovery_days,underlying_recovery_date,horizon,available,evaluation_date,reserve_wealth_after,no_reserve_wealth_after,pre_drawdown_opportunity_cost,carried_opportunity_cost,incremental_post_drawdown_wealth,full_cycle_advantage,reserve_payback_ratio,recovery_multiplier,attribution_residual,cycle_local_pre_drawdown_opportunity_cost,cycle_local_carried_opportunity_cost,cycle_local_incremental_post_drawdown_wealth,cycle_local_full_cycle_advantage,cycle_local_reserve_payback_ratio,cycle_local_recovery_multiplier,cycle_local_attribution_residual,deployed_capital,gross_reconstructed_equity_notional,remaining_tagged_deployed_risky_wealth,deployed_lots_cash_counterfactual,remaining_tagged_wealth_less_cash_counterfactual,deployment_count
NO_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,1986-09-26,1987,1987-08-25,1987-10-19,-0.330641561406,2.05071723742,2.05071723742,0,0,0,0.922802435075,0,0.922802435075,0,0,1,0,0,1989-07-31,1989-07-31,651,651,1989-05-17,1y,True,1988-10-19,1.18870124008,1.18870124008,0,0,0,0,,1,0,0,0,0,0,,1,0,0,0,0,0,0,0
NO_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,1986-09-26,1987,1987-08-25,1987-10-19,-0.330641561406,2.05071723742,2.05071723742,0,0,0,0.922802435075,0,0.922802435075,0,0,1,0,0,1989-07-31,1989-07-31,651,651,1989-05-17,3y,True,1990-10-19,1.38309808987,1.38309808987,0,0,2.22044604925e-16,0,,1,2.22044604925e-16,0,0,2.22044604925e-16,0,,1,2.22044604925e-16,0,0,0,0,0,0
NO_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,1986-09-26,1987,1987-08-25,1987-10-19,-0.330641561406,2.05071723742,2.05071723742,0,0,0,0.922802435075,0,0.922802435075,0,0,1,0,0,1989-07-31,1989-07-31,651,651,1989-05-17,5y,True,1992-10-19,2.34332274292,2.34332274292,0,0,0,0,,1,0,0,0,0,0,,1,0,0,0,0,0,0,0
NO_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,1986-09-26,1987,1987-08-25,1987-10-19,-0.330641561406,2.05071723742,2.05071723742,0,0,0,0.922802435075,0,0.922802435075,0,0,1,0,0,1989-07-31,1989-07-31,651,651,1989-05-17,prior_portfolio_high,True,1989-07-31,2.0778011891,2.0778011891,0,0,0,0,,1,0,0,0,0,0,,1,0,0,0,0,0,0,0
NO_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,1986-09-26,1987,1987-08-25,1987-10-19,-0.330641561406,2.05071723742,2.05071723742,0,0,0,0.922802435075,0,0.922802435075,0,0,1,0,0,1989-07-31,1989-07-31,651,651,1989-05-17,underlying_recovery,True,1989-05-17,1.66210150077,1.66210150077,0,0,0,0,,1,0,0,0,0,0,,1,0,0,0,0,0,0,0
NO_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,1986-09-26,1987,1987-08-25,1987-10-19,-0.330641561406,2.05071723742,2.05071723742,0,0,0,0.922802435075,0,0.922802435075,0,0,1,0,0,1989-07-31,1989-07-31,651,651,1989-05-17,end_of_regime,True,1987-12-31,1.02084437199,1.02084437199,0,0,0,0,,1,0,0,0,0,0,,1,0,0,0,0,0,0,0
NO_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,1989-05-17,2000_2002,2000-09-01,2002-10-09,-0.474141187691,29.0674120686,29.0674120686,0,0,0,11.6899372022,0,11.6899372022,0,0,1,0,0,2013-05-03,2013-05-03,3859,3859,2006-10-23,1y,True,2003-10-09,18.7995855766,18.7995855766,0,0,0,0,,1,0,0,0,0,0,,1,0,0,0,0,0,0,0
NO_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,1989-05-17,2000_2002,2000-09-01,2002-10-09,-0.474141187691,29.0674120686,29.0674120686,0,0,0,11.6899372022,0,11.6899372022,0,0,1,0,0,2013-05-03,2013-05-03,3859,3859,2006-10-23,3y,True,2005-10-10,21.8164105227,21.8164105227,0,0,0,0,,1,0,0,0,0,0,,1,0,0,0,0,0,0,0
NO_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,1989-05-17,2000_2002,2000-09-01,2002-10-09,-0.474141187691,29.0674120686,29.0674120686,0,0,0,11.6899372022,0,11.6899372022,0,0,1,0,0,2013-05-03,2013-05-03,3859,3859,2006-10-23,5y,True,2007-10-09,30.311341577,30.311341577,0,0,0,0,,1,0,0,0,0,0,,1,0,0,0,0,0,0,0
NO_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,1989-05-17,2000_2002,2000-09-01,2002-10-09,-0.474141187691,29.0674120686,29.0674120686,0,0,0,11.6899372022,0,11.6899372022,0,0,1,0,0,2013-05-03,2013-05-03,3859,3859,2006-10-23,prior_portfolio_high,True,2013-05-03,42.4904026103,42.4904026103,0,0,0,0,,1,0,0,0,0,0,,1,0,0,0,0,0,0,0
