series,fund,lag,cost_bps,deployment,cap,harvest,rebalance,period,entry_close,first_return,last_return,observations,cagr,max_drawdown,terminal_multiple,years,annualized_volatility,sharpe,longest_underwater_calendar_days,max_drawdown_peak,max_drawdown_trough,max_drawdown_recovery,max_drawdown_recovered,max_drawdown_recovery_days_from_trough,max_drawdown_recovery_days_from_peak,worst_calendar_year,worst_calendar_year_return,best_calendar_year,best_calendar_year_return,worst_rolling_1y_cagr,worst_rolling_5y_cagr,worst_rolling_10y_cagr,switch_count,switches_per_year,terminal_ratio_vs_no_reserve
NO_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.330374224305,-0.550009909588,40.8860193396,12.9993155373,0.389108042457,0.788407856434,809,1987-08-25,1987-10-19,1989-07-31,True,651,706,1990,-0.304602761089,1995,1.22788602039,-0.521266474368,0.0243385575748,0.204077152043,0,0,1
NO_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.041245974845,-0.722644643686,0.656216220539,10.0013689254,0.373803359452,0.00102799904076,3653,1999-12-31,2009-03-09,,False,,,2000,-0.430477003648,2009,0.783120825481,-0.538847212141,-0.161796889842,-0.041245974845,0,0,1
NO_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.247662608969,-0.471733986937,9.13776636581,9.99863107461,0.357257193556,0.784694966418,634,2010-04-23,2010-08-26,2011-04-27,True,244,369,2011,-0.198816304931,2013,1.18798751954,-0.276143141695,0.145916691217,0.247662608969,0,0,1
NO_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.292403030795,-0.557272556512,5.53685436806,6.67214236824,0.409967593799,0.764161389434,788,2020-02-19,2020-03-23,2020-11-16,True,238,271,2022,-0.41812103336,2021,0.982579332736,-0.434078911578,0.188089919408,,0,0,1
NO_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,2010_latest,2009-12-31,2010-01-04,2026-09-02,4192,0.265380102512,-0.557272556512,50.5944816168,16.6707734428,0.379167588867,0.774094174803,788,2020-02-19,2020-03-23,2020-11-16,True,238,271,2022,-0.41812103336,2013,1.18798751954,-0.434078911578,0.0483114018822,0.1485882701,0,0,1
FIXED_90_10,UPRO,LAG1,0,staged,0.15,0.1,quarterly,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.308793040233,-0.502391912125,33.0554219825,12.9993155373,0.350096729001,0.787649858589,702,1987-08-25,1987-10-19,1989-07-27,True,647,702,1990,-0.266938832744,1995,1.08085570789,-0.472927792852,0.035509683111,0.194186450624,0,0,0.808477384603
FIXED_90_10,UPRO,LAG1,0,staged,0.15,0.1,quarterly,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.0302800311974,-0.663221272264,0.735267057047,10.0013689254,0.334490166231,-0.00672683622022,3570,2000-03-23,2009-03-09,,False,,,2000,-0.389818451632,2009,0.698539964211,-0.497400605501,-0.141386097319,-0.0302800311974,0,0,1.12046461827
FIXED_90_10,UPRO,LAG1,0,staged,0.15,0.1,quarterly,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.227627989554,-0.431363592065,7.77223441695,9.99863107461,0.321309873868,0.783499984753,566,2010-04-23,2010-08-26,2011-02-17,True,175,300,2011,-0.17689705725,2013,1.03948905368,-0.24495201736,0.135200185061,0.227627989554,0,0,0.850561735308
FIXED_90_10,UPRO,LAG1,0,staged,0.15,0.1,quarterly,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.274042822923,-0.507874064842,5.03272029563,6.67214236824,0.368916939199,0.766159655889,780,2020-02-19,2020-03-23,2020-09-02,True,163,196,2022,-0.380631206915,2021,0.864353934757,-0.396132030921,0.179029546604,,0,0,0.908949371085
FIXED_90_10,UPRO,LAG1,0,staged,0.15,0.1,quarterly,2010_latest,2009-12-31,2010-01-04,2026-09-02,4192,0.245998114097,-0.507874064842,39.1154818926,16.6707734428,0.341102784343,0.774265417111,780,2020-02-19,2020-03-23,2020-09-02,True,163,196,2022,-0.380631206915,2013,1.03948905368,-0.396132030921,0.0535517697255,0.142306641897,0,0,0.773117554378
FIXED_85_15,UPRO,LAG1,0,staged,0.15,0.1,quarterly,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.297390065656,-0.478033663497,29.5012211509,12.9993155373,0.330718529819,0.787120330556,702,1987-08-25,1987-10-19,1989-07-27,True,647,702,1990,-0.247983464475,1995,1.01009298483,-0.448012707923,0.0404476995843,0.188749642033,0,0,0.721547894057
FIXED_85_15,UPRO,LAG1,0,staged,0.15,0.1,quarterly,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.0251076859024,-0.630334855857,0.775445620232,10.0013689254,0.31509140545,-0.0103628256145,3570,2000-03-23,2009-03-09,,False,,,2000,-0.368827758803,2009,0.656711289636,-0.475627474879,-0.131260403263,-0.0251076859024,0,0,1.1816922471
FIXED_85_15,UPRO,LAG1,0,staged,0.15,0.1,quarterly,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.217170635622,-0.410662452438,7.13506320002,9.99863107461,0.303401990544,0.782815068232,566,2010-04-23,2010-08-26,2011-02-16,True,174,299,2011,-0.166077383688,2013,0.96793920687,-0.229479284565,0.129548381613,0.217170635622,0,0,0.780832307851
FIXED_85_15,UPRO,LAG1,0,staged,0.15,0.1,quarterly,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.264030156752,-0.482699733345,4.77463409955,6.67214236824,0.34857330007,0.766874364105,780,2020-02-19,2020-03-23,2020-09-02,True,163,196,2022,-0.361372670566,2021,0.807008753141,-0.376576593609,0.173972541917,,0,0,0.862336948412
FIXED_85_15,UPRO,LAG1,0,staged,0.15,0.1,quarterly,2010_latest,2009-12-31,2010-01-04,2026-09-02,4192,0.235713029848,-0.482699733345,34.0673160573,16.6707734428,0.32218612585,0.774168180132,780,2020-02-19,2020-03-23,2020-09-02,True,163,196,2022,-0.361372670566,2013,0.96793920687,-0.376576593609,0.0552041453565,0.138313809959,0,0,0.673340549574
HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.329070983354,-0.53659905633,40.3684179846,12.9993155373,0.378776858521,0.796551430412,809,1987-08-25,1987-10-19,1989-07-27,True,647,702,1990,-0.302184994176,1995,1.2018513434,-0.509816467116,0.0301471601024,0.205928383805,0,0,0.987340382768
HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.0411702766665,-0.722425550654,0.656734589477,10.0013689254,0.373754161829,0.00118807730228,3653,1999-12-31,2009-03-09,,False,,,2000,-0.430027116825,2009,0.783120825481,-0.538847212141,-0.161796889842,-0.0411702766665,0,0,1.00078993619
HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.245107892135,-0.471733986937,8.95240101636,9.99863107461,0.352311867683,0.784795749127,634,2010-04-23,2010-08-26,2011-04-27,True,244,369,2011,-0.198816304931,2013,1.17041902003,-0.273536526427,0.145487173946,0.245107892135,0,0,0.979714369789
HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.293078876009,-0.549458695471,5.55620173296,6.67214236824,0.402575766902,0.771895258,787,2020-02-19,2020-03-23,2020-09-02,True,163,196,2022,-0.406484683815,2021,0.936424658994,-0.422305089906,0.190277568141,,0,0,1.0034942882
HWM_RESERVE,UPRO,LAG1,0,staged,0.15,0.1,rule,2010_latest,2009-12-31,2010-01-04,2026-09-02,4192,0.264089934608,-0.549458695471,49.7413460413,16.6707734428,0.373178204307,0.777618260826,787,2020-02-19,2020-03-23,2020-09-02,True,163,196,2022,-0.406484683815,2013,1.17041902003,-0.422305089906,0.0500780589834,0.148006780362,0,0,0.983137774155
ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,0,staged,0.2,0.1,rule,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.32462248819,-0.505675041579,38.6468447106,12.9993155373,0.363732036849,0.804528613934,694,1987-08-25,1987-10-19,1989-07-19,True,639,694,1990,-0.286343887252,1995,1.13779859007,-0.483439770082,0.0473546625369,0.206646090755,0,0,0.945233733555
ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,0,staged,0.2,0.1,rule,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.0409401978451,-0.722378007782,0.658312395349,10.0013689254,0.373606222569,0.00167656914217,3570,2000-03-23,2009-03-09,,False,,,2000,-0.428657756087,2009,0.783120825481,-0.538847212141,-0.161796889842,-0.0409401978451,0,0,1.00319433556
ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,0,staged,0.2,0.1,rule,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.239616877763,-0.471733986937,8.5653892291,9.99863107461,0.346567703298,0.779191121863,634,2010-04-23,2010-08-26,2011-04-27,True,244,369,2011,-0.198816304931,2013,1.11409254069,-0.273536526427,0.144329865177,0.239616877763,0,0,0.937361373251
ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,0,staged,0.2,0.1,rule,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.287282922519,-0.527742285555,5.39213298043,6.67214236824,0.388292405351,0.773829659432,780,2020-02-19,2020-03-23,2020-09-02,True,163,196,2022,-0.398041264027,2021,0.889895395964,-0.41374922255,0.185537353671,,0,0,0.973862164687
ASYMMETRIC_RESERVE_BAND,UPRO,LAG1,0,staged,0.2,0.1,rule,2010_latest,2009-12-31,2010-01-04,2026-09-02,4192,0.258478670237,-0.527742285555,46.1857177525,16.6707734428,0.363782580849,0.775767828506,780,2020-02-19,2020-03-23,2020-09-02,True,163,196,2022,-0.398041264027,2013,1.11409254069,-0.41374922255,0.0545730895542,0.14723499934,0,0,0.912860776048
HWM_DRAWDOWN,UPRO,LAG1,0,drawdown,0.15,0.1,rule,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.309724176108,-0.521188189633,33.3624372054,12.9993155373,0.356608250554,0.781918843816,809,1987-08-25,1987-10-19,1989-07-27,True,647,702,1990,-0.28666155183,1995,1.09813126838,-0.49088413596,0.0320118567405,0.196174877024,0,0,0.815986436056
HWM_DRAWDOWN,UPRO,LAG1,0,drawdown,0.15,0.1,rule,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.022008860349,-0.673953757531,0.800453248215,10.0013689254,0.346327275462,0.0297340129274,2615,2007-07-13,2009-03-09,,False,,,2000,-0.372698274935,2009,0.783120825481,-0.515703781118,-0.152734205424,-0.022008860349,0,0,1.21980107038
HWM_DRAWDOWN,UPRO,LAG1,0,drawdown,0.15,0.1,rule,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.235307773781,-0.471733986937,8.27229685789,9.99863107461,0.341578180682,0.775208154819,634,2010-04-23,2010-08-26,2011-04-27,True,244,369,2011,-0.198816304931,2013,1.15259377343,-0.273536526427,0.137105820137,0.235307773781,0,0,0.90528653576
HWM_DRAWDOWN,UPRO,LAG1,0,drawdown,0.15,0.1,rule,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.281624897192,-0.509955588404,5.23595980201,6.67214236824,0.374205369442,0.776550264211,788,2020-02-19,2020-03-23,2020-09-02,True,163,196,2022,-0.384447636508,2021,0.894068603329,-0.399795682389,0.178543657683,,0,0,0.945656044742
HWM_DRAWDOWN,UPRO,LAG1,0,drawdown,0.15,0.1,rule,2010_latest,2009-12-31,2010-01-04,2026-09-02,4192,0.253640905298,-0.509955588404,43.3134138182,16.6707734428,0.354942144967,0.775082053434,788,2020-02-19,2020-03-23,2020-09-02,True,163,196,2022,-0.384447636508,2013,1.15259377343,-0.399795682389,0.0537557615786,0.147469680061,0,0,0.856089684765
BAND_DRAWDOWN,UPRO,LAG1,0,drawdown,0.2,0.1,rule,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.310215533056,-0.51976157202,33.5255069092,12.9993155373,0.355717768833,0.784017290386,702,1987-08-25,1987-10-19,1989-07-27,True,647,702,1990,-0.26472954826,1995,1.11120033184,-0.489383398182,0.0330530775169,0.195565302114,0,0,0.819974833714
BAND_DRAWDOWN,UPRO,LAG1,0,drawdown,0.2,0.1,rule,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.026026233141,-0.67788476169,0.768169251216,10.0013689254,0.351870512029,0.0230976376522,2668,2007-07-13,2009-03-09,,False,,,2000,-0.385630656685,2009,0.783120825481,-0.520329290362,-0.154512803191,-0.026026233141,0,0,1.17060387594
