series,signal_index,sma_days,spread_bps,lag,switch_cost_bps,horizon_years,cohorts,p1,p10,p25,p50,p75,p90,p99
TQQQ_SP500_SMA_TO_NASDAQ,SP500,200,50,LAG1,0,10,360,-0.1828990587,0.002518433495,0.1471993106,0.2570274943,0.355153029,0.4108580817,0.6161234295
TQQQ_SP500_SMA_TO_NASDAQ,SP500,200,50,LAG1,0,20,240,0.04775967192,0.1198198521,0.1422036989,0.1665615146,0.2322874805,0.2666248012,0.3360776349
TQQQ_SP500_SMA_TO_NASDAQ,SP500,200,50,LAG1,0,30,120,0.1818358638,0.1938040701,0.2090506036,0.223611809,0.2377080773,0.2480219317,0.2558789138
TQQQ_SP500_SMA_TO_TBILL,SP500,200,50,LAG1,0,10,360,-0.1179968959,0.04642385772,0.1282692752,0.2453257269,0.2902633302,0.3473049038,0.5315926296
TQQQ_SP500_SMA_TO_TBILL,SP500,200,50,LAG1,0,20,240,0.05596594288,0.1332991191,0.1503212539,0.1751603393,0.2038857956,0.2263550074,0.2925057339
TQQQ_SP500_SMA_TO_TBILL,SP500,200,50,LAG1,0,30,120,0.1791203009,0.1897858414,0.1975349311,0.2087813297,0.2222039762,0.2307236751,0.2394100291
TQQQ_NDX_SMA_TO_NASDAQ,NASDAQ100,200,50,LAG1,0,10,360,-0.1868108581,-0.012213431,0.09371324857,0.2045738877,0.3747671313,0.4277997628,0.6049358753
TQQQ_NDX_SMA_TO_NASDAQ,NASDAQ100,200,50,LAG1,0,20,240,0.02358954113,0.09719089416,0.1144471656,0.1360377061,0.2128626292,0.2681162623,0.3239487356
TQQQ_NDX_SMA_TO_NASDAQ,NASDAQ100,200,50,LAG1,0,30,120,0.1481395734,0.1599113705,0.183973232,0.2020638106,0.2235022755,0.23406672,0.2459065997
TQQQ_NDX_SMA_TO_TBILL,NASDAQ100,200,50,LAG1,0,10,360,-0.1222434521,0.00226545867,0.08736941868,0.1957795142,0.3115857585,0.3753169626,0.5208032394
TQQQ_NDX_SMA_TO_TBILL,NASDAQ100,200,50,LAG1,0,20,240,0.02337575876,0.09830516096,0.118133525,0.1359586072,0.1735318051,0.2286836554,0.283621466
TQQQ_NDX_SMA_TO_TBILL,NASDAQ100,200,50,LAG1,0,30,120,0.1336360613,0.1422233634,0.1662172932,0.1843433561,0.2063023164,0.2203399462,0.2332549997
TQQQ_SP500_SMA_TO_NASDAQ,SP500,200,50,LAG1,25,10,360,-0.2011379735,-0.02000196888,0.1257050753,0.2370293426,0.3355061528,0.3894842411,0.5943308502
TQQQ_SP500_SMA_TO_NASDAQ,SP500,200,50,LAG1,25,20,240,0.02801571024,0.09986044935,0.1210932028,0.1460837003,0.2099742908,0.2439235172,0.3145199499
TQQQ_SP500_SMA_TO_NASDAQ,SP500,200,50,LAG1,25,30,120,0.1620845347,0.1733077256,0.1886199568,0.2025298864,0.2156015588,0.2266722285,0.2345570289
TQQQ_SP500_SMA_TO_TBILL,SP500,200,50,LAG1,25,10,360,-0.138071389,0.02557588612,0.1057239594,0.2250916698,0.2719365498,0.3279587251,0.510935761
TQQQ_SP500_SMA_TO_TBILL,SP500,200,50,LAG1,25,20,240,0.03606734241,0.1127485728,0.1292652082,0.1545092836,0.1833510026,0.2049638996,0.2715229321
TQQQ_SP500_SMA_TO_TBILL,SP500,200,50,LAG1,25,30,120,0.1594143555,0.1693730545,0.177541612,0.1881969668,0.2016754481,0.2097279393,0.2184931527
TQQQ_NDX_SMA_TO_NASDAQ,NASDAQ100,200,50,LAG1,25,10,360,-0.2049618408,-0.03276842473,0.06902063698,0.182260863,0.351942124,0.4055529407,0.5821815976
TQQQ_NDX_SMA_TO_NASDAQ,NASDAQ100,200,50,LAG1,25,20,240,0.002095822132,0.07450610887,0.09212598696,0.1133305341,0.1892630179,0.2459349328,0.3033973133
TQQQ_NDX_SMA_TO_NASDAQ,NASDAQ100,200,50,LAG1,25,30,120,0.1259412418,0.1373770562,0.1616862794,0.1800037815,0.2015676944,0.2119509337,0.2244546974
TQQQ_NDX_SMA_TO_TBILL,NASDAQ100,200,50,LAG1,25,10,360,-0.1422212986,-0.02074555463,0.06494490171,0.1759056715,0.2909189358,0.3575387112,0.4993963141
TQQQ_NDX_SMA_TO_TBILL,NASDAQ100,200,50,LAG1,25,20,240,0.001776669088,0.07439010981,0.09542909672,0.113051517,0.1506432172,0.2072503848,0.2637575766
TQQQ_NDX_SMA_TO_TBILL,NASDAQ100,200,50,LAG1,25,30,120,0.1117181432,0.1200326978,0.1444065427,0.1625125411,0.1847575568,0.1992744664,0.2120381602
TQQQ_SP500_SMA_TO_NASDAQ,SP500,200,50,LAG2,0,10,360,-0.124881236,0.07434728502,0.1927929014,0.2795725781,0.3721992573,0.449730472,0.6228669266
TQQQ_SP500_SMA_TO_NASDAQ,SP500,200,50,LAG2,0,20,240,0.08998022215,0.16061865,0.1838952267,0.2142645977,0.26685835,0.2854963013,0.3331265727
TQQQ_SP500_SMA_TO_NASDAQ,SP500,200,50,LAG2,0,30,120,0.2039639083,0.2222056384,0.2411014267,0.2625555364,0.276762726,0.2954250402,0.3040422587
TQQQ_SP500_SMA_TO_TBILL,SP500,200,50,LAG2,0,10,360,-0.02102639117,0.1337598504,0.1933073852,0.2821484189,0.3443994475,0.4079222075,0.5336244435
TQQQ_SP500_SMA_TO_TBILL,SP500,200,50,LAG2,0,20,240,0.125307572,0.1938587064,0.2143107173,0.2392687851,0.2547514531,0.2833459207,0.3094875753
TQQQ_SP500_SMA_TO_TBILL,SP500,200,50,LAG2,0,30,120,0.214028188,0.229972019,0.248357443,0.2671304397,0.2840275567,0.2989513096,0.3073875305
TQQQ_NDX_SMA_TO_NASDAQ,NASDAQ100,200,50,LAG2,0,10,360,-0.1225365581,0.05438014206,0.1367526508,0.2267194919,0.3611885892,0.4172182018,0.5808151349
TQQQ_NDX_SMA_TO_NASDAQ,NASDAQ100,200,50,LAG2,0,20,240,0.06100458711,0.1233680996,0.1485078141,0.1764709318,0.2301103261,0.2724183218,0.328907614
TQQQ_NDX_SMA_TO_NASDAQ,NASDAQ100,200,50,LAG2,0,30,120,0.1483063329,0.158655906,0.2060454085,0.232638624,0.2514712307,0.2635152024,0.2758336678
TQQQ_NDX_SMA_TO_TBILL,NASDAQ100,200,50,LAG2,0,10,360,-0.0144279172,0.07283998085,0.1386969886,0.2214061996,0.3208338496,0.3631373355,0.4899974631
TQQQ_NDX_SMA_TO_TBILL,NASDAQ100,200,50,LAG2,0,20,240,0.08046020346,0.1377855466,0.1702484803,0.1940144953,0.2145085738,0.2477540667,0.29227279
TQQQ_NDX_SMA_TO_TBILL,NASDAQ100,200,50,LAG2,0,30,120,0.1364095631,0.1433652299,0.200670041,0.2307289595,0.2491614307,0.2652200379,0.2779123264
TQQQ_SP500_SMA_TO_NASDAQ,SP500,200,50,LAG2,25,10,360,-0.1438996798,0.0525988665,0.1694937016,0.2591419916,0.3520434305,0.4279257767,0.5995729096
TQQQ_SP500_SMA_TO_NASDAQ,SP500,200,50,LAG2,25,20,240,0.06944065729,0.1393614874,0.1624783635,0.1927989636,0.2446019424,0.2633473505,0.3116648973
TQQQ_SP500_SMA_TO_NASDAQ,SP500,200,50,LAG2,25,30,120,0.1838427663,0.2017545716,0.2204868988,0.2408856713,0.2552159556,0.2734926895,0.2821010155
TQQQ_SP500_SMA_TO_TBILL,SP500,200,50,LAG2,25,10,360,-0.04246539423,0.108396777,0.1686874659,0.2600106882,0.3243530955,0.3854144394,0.5116168218
TQQQ_SP500_SMA_TO_TBILL,SP500,200,50,LAG2,25,20,240,0.1041863186,0.1725905003,0.1918799644,0.216971582,0.2322811154,0.2607805027,0.287715238
TQQQ_SP500_SMA_TO_TBILL,SP500,200,50,LAG2,25,30,120,0.1937388476,0.2088343498,0.2271666334,0.2450664165,0.2617522364,0.2772106699,0.2852365631
TQQQ_NDX_SMA_TO_NASDAQ,NASDAQ100,200,50,LAG2,25,10,360,-0.1423830997,0.0287749619,0.1117086134,0.2033174741,0.3405603006,0.397428948,0.5580531712
TQQQ_NDX_SMA_TO_NASDAQ,NASDAQ100,200,50,LAG2,25,20,240,0.03872544643,0.1009473618,0.1257025333,0.1532015354,0.206099811,0.2501617427,0.3082792158
TQQQ_NDX_SMA_TO_NASDAQ,NASDAQ100,200,50,LAG2,25,30,120,0.1261047773,0.1361459997,0.1829988682,0.2097521216,0.2290001207,0.2403476416,0.2532921341
TQQQ_NDX_SMA_TO_TBILL,NASDAQ100,200,50,LAG2,25,10,360,-0.03671925382,0.04680208136,0.1172297892,0.1971827028,0.3022749947,0.3436135646,0.4711611379
TQQQ_NDX_SMA_TO_TBILL,NASDAQ100,200,50,LAG2,25,20,240,0.05765655181,0.1149886772,0.1469807104,0.1702352848,0.191324158,0.2241358422,0.2722749912
TQQQ_NDX_SMA_TO_TBILL,NASDAQ100,200,50,LAG2,25,30,120,0.1144380216,0.1212522528,0.1781443556,0.2078691531,0.2271067731,0.2429913528,0.2559272051
NASDAQ100_1X,NONE,200,50,LAG1,0,10,360,-0.0675230807,0.04064453585,0.1057058549,0.1421051732,0.1923304009,0.2241525697,0.3451816561
NASDAQ100_1X,NONE,200,50,LAG1,0,20,240,0.05080195991,0.08912770444,0.1051645302,0.1181901885,0.1332779979,0.1483092275,0.1684665393
NASDAQ100_1X,NONE,200,50,LAG1,0,30,120,0.1234742921,0.1289999319,0.1335468453,0.1387550428,0.142854002,0.1485790242,0.1547528732
TQQQ_ALWAYS,NONE,200,50,LAG1,0,10,360,-0.4729720434,-0.2541709192,-0.1253922156,0.1670271837,0.3865803264,0.5124104559,0.7538884146
TQQQ_ALWAYS,NONE,200,50,LAG1,0,20,240,-0.1267546987,-0.07954189462,-0.04115969693,-0.01655356655,0.1698324314,0.2396710077,0.2970537846
TQQQ_ALWAYS,NONE,200,50,LAG1,0,30,120,0.0400911113,0.0568052359,0.08579725994,0.09865412026,0.1129726744,0.1272399907,0.1462962314
