series,benchmark,sessions,total_log_advantage,top1_day_share,top5_day_share,top20_day_share,best_day,best_day_share,top_month,top_month_share,advantage_excluding_top_month,advantage_excluding_top_20_days,wealth_ratio_excluding_top_20_days
SP500_1X,UPRO_ALWAYS_3X,10059,-0.8670387873,0.2172987332,0.9712297761,2.895828999,2008-10-13,0.2172987332,1987-01,0.2649966202,-0.6372764391,1.643757276,5.174575341
SSO_ALWAYS_2X,UPRO_ALWAYS_3X,10059,0.1307083756,3.272191904,7.313750067,16.9164417,1987-10-19,3.272191904,1987-10,3.890654694,-0.3778327795,-2.08041224,0.1248787215
UPRO_SMA_TO_SP500,UPRO_ALWAYS_3X,10059,1.190631291,0.6080016808,1.442501887,3.377438096,1987-10-19,0.6080016808,1987-10,0.4796227954,0.6195773827,-2.830652189,0.05897437868
UPRO_SMA_TO_TBILL,UPRO_ALWAYS_3X,10059,0.704761494,1.352871278,3.352159601,8.081088993,1987-10-19,1.352871278,2008-10,1.033508767,-0.02361568893,-4.990478858,0.006802406324
UPRO60_TMF40,UPRO_ALWAYS_3X,10059,1.148852928,0.4935674269,1.62942523,4.012728341,1987-10-19,0.4935674269,1987-10,0.5978846447,0.4619714032,-3.461181775,0.03139264106
UPRO55_TMF45,UPRO_ALWAYS_3X,10059,0.9930612723,0.6165815898,1.995655345,4.947430215,1987-10-19,0.6165815898,1987-10,0.7523567514,0.2459249195,-3.920040072,0.0198402997
UPRO50_LT50,UPRO_ALWAYS_3X,10059,0.2724854745,2.454639461,6.588072089,15.7627362,1987-10-19,2.454639461,1987-10,2.715791656,-0.4675283034,-4.022631177,0.0179057896
UPRO60_TMF40_SMA,UPRO_ALWAYS_3X,10059,0.2474173802,2.925848723,6.941662232,16.25925194,1987-10-19,2.925848723,1987-10,2.871463821,-0.4630326757,-3.77540414,0.02292782273
LEAPS_ATM_50_TBILL,UPRO_ALWAYS_3X,10059,1.753218517,0.3779549519,0.9488422294,2.092425399,1987-10-19,0.3779549519,1987-10,0.5307698666,0.8226629587,-1.915260438,0.1473034641
LEAPS_ATM_40_TBILL,UPRO_ALWAYS_3X,10059,1.164137086,0.6401460133,1.579929177,3.554435761,1987-10-19,0.6401460133,1987-10,0.8326983412,0.1947620656,-2.973713403,0.05111315376
LEAPS_ATM_50_TREASURY,UPRO_ALWAYS_3X,10059,2.174277627,0.3005924364,0.8069264287,1.847592488,1987-10-19,0.3005924364,1987-10,0.4423548182,1.212475443,-1.842901383,0.1583573038
LEAPS_ATM_40_TREASURY,UPRO_ALWAYS_3X,10059,1.692914935,0.4359779112,1.140692101,2.678101973,1987-10-19,0.4359779112,1987-10,0.5938580914,0.6875637029,-2.840883892,0.05837404679
LEAPS_ITM_30_TREASURY,UPRO_ALWAYS_3X,10059,0.5304466536,1.513877707,3.940354872,9.462418623,1987-10-19,1.513877707,1987-10,1.936617818,-0.4968257872,-4.48886164,0.01123342422
LEAPS_RESTRUCK_3X,UPRO_ALWAYS_3X,10059,0.1594654409,2.613985388,8.33748438,19.38345044,1987-10-19,2.613985388,1987-10,4.926811336,-0.626190701,-2.93152503,0.05331566813
UPRO_ALWAYS_3X,SP500_1X,10059,0.8670387873,0.2172987332,0.9712297761,2.895828999,2008-10-13,0.2172987332,1987-01,0.2649966202,0.6372764391,-1.643757276,0.1932525732
SSO_ALWAYS_2X,SP500_1X,10059,0.9977471629,0.09882806838,0.4397744283,1.299441588,2008-10-13,0.09882806838,1987-01,0.1159266497,0.882081677,-0.2987669947,0.7417322169
UPRO_SMA_TO_SP500,SP500_1X,10059,2.057670078,0.04498254439,0.1806705574,0.5621396666,1997-10-28,0.04498254439,1987-01,0.1116614129,1.82790773,0.9009721063,2.461995269
UPRO_SMA_TO_TBILL,SP500_1X,10059,1.571800281,0.1444475035,0.4087554901,1.114442941,1987-10-19,0.1444475035,1987-01,0.1461778261,1.342037933,-0.1798814468,0.8353692412
UPRO60_TMF40,SP500_1X,10059,2.015891715,0.07864392667,0.3233342804,0.8153217556,2020-03-20,0.07864392667,2008-12,0.1298363549,1.754155683,0.3722913428,1.451055674
UPRO55_TMF45,SP500_1X,10059,1.86010006,0.09210674583,0.3931253083,0.9701484904,2020-03-20,0.09210674583,2008-12,0.1482879023,1.584269724,0.05552679471,1.057097341
UPRO50_LT50,SP500_1X,10059,1.139524262,0.06223710438,0.2813655424,0.6817293043,2020-03-20,0.06223710438,2023-11,0.075420803,1.053580427,0.3626771795,1.437171836
UPRO60_TMF40_SMA,SP500_1X,10059,1.114456168,0.07153877593,0.2356610212,0.7185059261,2020-03-06,0.07153877593,2023-12,0.1072402365,0.9949416245,0.3137128068,1.368496657
LEAPS_ATM_50_TBILL,SP500_1X,10059,2.620257304,0.0731633111,0.2271643296,0.6751677756,1987-10-20,0.0731633111,2015-10,0.08996957429,2.38451387,0.8511440086,2.34232496
LEAPS_ATM_40_TBILL,SP500_1X,10059,2.031175873,0.06006064439,0.2056449418,0.6207079219,1987-10-20,0.06006064439,1987-01,0.08740895526,1.853632912,0.7704089179,2.160649602
LEAPS_ATM_50_TREASURY,SP500_1X,10059,3.041316414,0.06542131478,0.187519129,0.5466301365,1987-10-20,0.06542131478,1987-01,0.07657996601,2.808412506,1.378841207,3.970298209
LEAPS_ATM_40_TREASURY,SP500_1X,10059,2.559953722,0.04980264775,0.1678162114,0.5002886324,1987-10-20,0.04980264775,1987-01,0.0684201191,2.384801384,1.279237976,3.593900042
LEAPS_ITM_30_TREASURY,SP500_1X,10059,1.397485441,0.06688252825,0.3009127336,0.8678631378,2020-03-16,0.06688252825,1987-10,0.120573645,1.228985527,0.1846593412,1.202808623
LEAPS_RESTRUCK_3X,SP500_1X,10059,1.026504228,0.325584928,1.169042323,3.313284215,1987-10-20,0.325584928,2011-10,0.3824041632,0.6339647378,-2.374596028,0.09305207206
