bond_weight,bond_leverage,duration_exposure,cagr,max_drawdown,cohort_10y_min_cagr,cohort_10y_min_cagr_from_2000,dot_com_return,rates_shock_2022
0,0,0,0.1472419332,-0.9805108848,-0.2720845133,-0.2322731872,-0.9228187153,-0.5634959865
0.2,0,0,0.1523198367,-0.9333731827,-0.191196535,-0.1564755287,-0.8506871441,-0.4614482441
0.2,1,0.2,0.1641465752,-0.9197872892,-0.1759935627,-0.1366905021,-0.8380205525,-0.511564356
0.2,2,0.4,0.1737407884,-0.9049448212,-0.1618811598,-0.1179305997,-0.8251965573,-0.5572689785
0.2,3,0.6,0.1825026153,-0.8875725303,-0.1476447516,-0.09901751669,-0.8114050103,-0.5981204973
0.3,0,0,0.1480343067,-0.8885010219,-0.15502796,-0.1235834687,-0.7985029911,-0.4074373935
0.3,1,0.3,0.1638400642,-0.856641005,-0.1336128,-0.09584627269,-0.7744200859,-0.4858656214
0.3,2,0.6,0.1755329047,-0.8217060781,-0.1148689456,-0.0705640025,-0.7497765557,-0.5552238682
0.3,3,0.9,0.1852474091,-0.7951450004,-0.09676227932,-0.04719546649,-0.7230019546,-0.6152179661
0.4,0,0,0.1400146816,-0.8228214517,-0.1215285794,-0.09375962163,-0.7327105865,-0.3515044525
0.4,1,0.4,0.158934734,-0.7622058878,-0.09439755004,-0.05897835394,-0.6926173485,-0.4603918754
0.4,2,0.8,0.1715581328,-0.732956937,-0.07202243389,-0.02916547616,-0.6512967695,-0.5538683384
0.4,3,1.2,0.1807723342,-0.7032474823,-0.0513406761,-0.009874189579,-0.6061171015,-0.6321367859
0.5,0,0,0.1286763947,-0.7307330598,-0.09033545008,-0.06690251308,-0.6508678766,-0.2937079852
0.5,1,0.5,0.1500130075,-0.6709719437,-0.05814036719,-0.02586011557,-0.5891435,-0.4351790679
0.5,2,1,0.1626259814,-0.6277586136,-0.03295595089,0.001546684299,-0.5252725918,-0.5531855001
0.5,3,1.5,0.1701583965,-0.7166451376,-0.01077628326,0.02124324053,-0.4552285313,-0.6488517943
