iv_premium,moneyness,premium_budget,safe_asset,mean_implied_vol,mean_delta_exposure,total_exposure,cagr,max_drawdown,cohort_10y_min_cagr
0,0.7,0.15,TBILL_3M_1X,0.1724913094,0.4601914147,1.310191415,0.0706280615,-0.2146171726,0.01102515593
0,0.7,0.15,LONG_TREASURY_1X,0.1724913094,0.4588348681,1.308834868,0.09445024036,-0.4085384201,0.03708426306
0,0.7,0.2,TBILL_3M_1X,0.1724913094,0.6088013243,1.408801324,0.08256488935,-0.2852766875,0.005361026585
0,0.7,0.2,LONG_TREASURY_1X,0.1724913094,0.6070484047,1.407048405,0.105612574,-0.4198808176,0.05121746291
0,0.7,0.25,TBILL_3M_1X,0.1724913094,0.7553959826,1.505395983,0.09400528678,-0.3519874579,-0.002794468641
0,0.7,0.25,LONG_TREASURY_1X,0.1724913094,0.7532936608,1.503293661,0.1162457748,-0.4348115197,0.04190331032
0,0.7,0.3,TBILL_3M_1X,0.1724913094,0.9001838006,1.600183801,0.1049402718,-0.4148803213,-0.01177178508
0,0.7,0.3,LONG_TREASURY_1X,0.1724913094,0.8977855844,1.597785584,0.1263418696,-0.4511321007,0.03179999148
0,0.7,0.4,TBILL_3M_1X,0.1724913094,1.185137784,1.785137784,0.1252394717,-0.5322645028,-0.03197422347
0,0.7,0.4,LONG_TREASURY_1X,0.1724913094,1.182322827,1.782322827,0.1448683227,-0.4852738509,0.009060230435
0,0.7,0.5,TBILL_3M_1X,0.1724913094,1.465238651,1.965238651,0.1433074826,-0.6318614659,-0.05548086754
0,0.7,0.5,LONG_TREASURY_1X,0.1724913094,1.462245754,1.962245754,0.1610273946,-0.574925333,-0.01743293694
0,0.7,0.6,TBILL_3M_1X,0.1724913094,1.742114247,2.142114247,0.1588917578,-0.7357423975,-0.0828178365
0,0.7,0.6,LONG_TREASURY_1X,0.1724913094,1.73916654,2.13916654,0.174534473,-0.673741712,-0.04834023165
0,0.75,0.15,TBILL_3M_1X,0.1724913094,0.5218007149,1.371800715,0.07596853447,-0.2243303341,0.01047218882
0,0.75,0.15,LONG_TREASURY_1X,0.1724913094,0.5199333041,1.369933304,0.0997033971,-0.4184407774,0.0443652784
0,0.75,0.2,TBILL_3M_1X,0.1724913094,0.6895118847,1.489511885,0.08945104246,-0.3017092706,0.004446547687
0,0.75,0.2,LONG_TREASURY_1X,0.1724913094,0.6871556903,1.48715569,0.1123958612,-0.4329479219,0.05101088773
