series,cagr,max_drawdown,annualized_volatility,terminal_multiple,mean_delta_exposure,cohort_20y_min_cagr,cohort_20y_median_cagr,cohort_30y_min_cagr,cohort_30y_median_cagr
SP500_1X,0.1126353848,-0.5525024107,0.1834804905,70.90685227,1,0.04788163336,0.08783863295,0.0933527571,0.1030718628
UPRO_ALWAYS_3X,0.1370617512,-0.9820109229,0.5504594435,168.7478963,3,-0.03187310567,0.06090215039,0.07745327156,0.1244216884
SSO_ALWAYS_2X,0.1407903177,-0.8838247466,0.3669689764,192.3110741,2,0.02327785523,0.09036078653,0.1010207013,0.128313937
UPRO_SMA_TO_SP500,0.1714805974,-0.75410237,0.3769749479,555.0383186,2.514663485,0.06810601239,0.1358319929,0.1309783617,0.162505766
UPRO_SMA_TO_TBILL,0.1573109673,-0.6415374917,0.3493154612,341.4384257,2.271995228,0.06798865585,0.1340055863,0.125635371,0.1530856088
UPRO60_TMF40,0.1702554096,-0.7068610561,0.3195337505,532.3274411,1.8,0.1087069255,0.163439423,0.1500654845,0.1815589459
UPRO55_TMF45,0.1656979675,-0.7046774582,0.3049641521,455.5325324,1.65,0.1170319504,0.1640578205,0.1462773119,0.1803299163
UPRO50_LT50,0.1448484536,-0.6725352168,0.249895434,221.6038521,1.5,0.07846660189,0.1219662376,0.125422541,0.1413904927
UPRO60_TMF40_SMA,0.1441298715,-0.6106477848,0.2747891697,216.1177166,1.363197137,0.07585232969,0.1293815855,0.1259954532,0.1474011582
LEAPS_ATM_50_TBILL,0.1761251657,-0.8273311668,0.4210450086,650.0303658,2.686436452,0.0315056723,0.1217579685,0.1133820548,0.1627163342
LEAPS_ATM_40_TBILL,0.1590775278,-0.7096953733,0.3388772687,362.8775583,2.186648175,0.03855206631,0.1173844468,0.1065316146,0.1489773281
LEAPS_ATM_50_TREASURY,0.1927075941,-0.7546989475,0.415174955,1136.846519,2.677738945,0.06912963197,0.1561861129,0.1476606245,0.1884065392
LEAPS_ATM_40_TREASURY,0.1774715199,-0.637115283,0.3365639978,680.4115279,2.177636689,0.0789627389,0.1531837341,0.1444642901,0.1764614328
LEAPS_ITM_30_TREASURY,0.1485208798,-0.5074290194,0.2195031009,251.8315929,1.360705437,0.09558222144,0.1383254492,0.1350004131,0.1531679234
LEAPS_RESTRUCK_3X,0.1668921353,-0.9717273521,0.5593509211,474.5407018,3.115160688,0.00185557434,0.08213062588,0.1035377561,0.1374547601
