leverage,reset,cagr,max_drawdown,terminal_multiple,wiped_out
2,daily,0.1507670666,-0.8743801986,272.2630265,False
2,weekly,0.1569956549,-0.8652756362,337.7438982,False
2,monthly,0.1620097383,-0.8488838396,401.3934422,False
2,quarterly,0.1572680761,-0.8740936423,340.9335622,False
2,annual,0.1495200131,-0.9847244552,260.7281765,False
3,daily,0.1472419332,-0.9805108848,240.8744241,False
3,weekly,0.165924943,-0.9769810544,459.0873381,False
3,monthly,0.1791076109,-0.9675264066,719.197774,False
3,quarterly,-1,-1,0,True
3,annual,-1,-1,0,True
