treasury_share,moneyness,premium_budget,duration_exposure,mean_delta_exposure,cagr,max_drawdown,cohort_20y_min_cagr,cohort_30y_min_cagr,dot_com_return,rates_shock_2022
0,0.8,0.25,0,0.9206742783,0.1027718306,-0.3946351248,0.04987767931,0.08271560846,-0.3653186526,-0.1679279886
0,0.8,0.35,0,1.268356096,0.1262865439,-0.5311943977,0.05702090198,0.09877629931,-0.5050130599,-0.2407662679
0,0.8,0.45,0,1.608245363,0.1469056853,-0.6458369014,0.06035961831,0.1123043917,-0.6222519016,-0.3121168251
0,0.8,0.55,0,1.942762495,0.1643928579,-0.7381260896,0.05956186691,0.1230004339,-0.7194616784,-0.3819974362
0,0.8,0.65,0,2.274478289,0.1783438956,-0.833456063,0.05406365581,0.130388608,-0.7988944462,-0.4504245442
0,0.85,0.25,0,1.030373298,0.1088869167,-0.4205574449,0.05151236373,0.08588710185,-0.3889953707,-0.1836461099
0,0.85,0.35,0,1.416957828,0.1338028779,-0.5630105258,0.05863807985,0.1024716418,-0.5323055991,-0.2623681812
0,0.85,0.45,0,1.794208014,0.1552594479,-0.6785216552,0.06116973824,0.1161059115,-0.6507004082,-0.3393775717
0,0.85,0.55,0,2.165227173,0.1729948962,-0.7694377189,0.05900978247,0.1264639726,-0.7471113877,-0.4146951366
0,0.85,0.65,0,2.533282781,0.1865375484,-0.8600084709,0.05153733526,0.1330096744,-0.8242431434,-0.4883397383
0,0.9,0.25,0,1.150615044,0.1144849533,-0.4451299938,0.04998692112,0.08797920637,-0.4114905385,-0.1981615889
0,0.9,0.35,0,1.579317875,0.1403565516,-0.5926513698,0.05595754145,0.1044877422,-0.5578372036,-0.2822803381
0,0.9,0.45,0,1.996999197,0.1621101237,-0.7082145269,0.05776883296,0.1175669437,-0.676840776,-0.3644583341
0,0.9,0.55,0,2.40760505,0.1794667201,-0.8032053793,0.05497529965,0.1268754983,-0.771983213,-0.4447195847
0,0.9,0.65,0,2.815242805,0.1918851786,-0.8860659684,0.04497628682,0.1318233962,-0.8464574832,-0.5230852375
0,0.95,0.25,0,1.279361758,0.1191823003,-0.4700231501,0.04614763752,0.08860432788,-0.4325394337,-0.2111475926
0,0.95,0.35,0,1.752556623,0.1453698674,-0.6197192618,0.04986811506,0.1042398315,-0.5813712055,-0.3000559327
0,0.95,0.45,0,2.213007727,0.1666853472,-0.7347470677,0.04901909634,0.1159029235,-0.7005197339,-0.3867984217
0,0.95,0.55,0,2.665684614,0.1828458867,-0.8375707466,0.04312256064,0.1232533877,-0.7940489827,-0.4714022783
0,0.95,0.65,0,3.115690101,0.1932420572,-0.9108971796,0.03136471659,0.1256578619,-0.8656630728,-0.5538908014
0,1,0.25,0,1.413954823,0.1226630282,-0.4928729958,0.03960985583,0.08750718326,-0.4519657665,-0.2224562955
0,1,0.35,0,1.932938309,0.1483625097,-0.6441047003,0.04011799977,0.1013258383,-0.6027801083,-0.3154964557
0,1,0.45,0,2.43756317,0.1683463674,-0.7739532233,0.03570518277,0.1105663439,-0.7217022305,-0.4061534288
0,1,0.55,0,2.934024277,0.182345911,-0.8709449184,0.02586003217,0.1149102534,-0.8133947707,-0.4944577229
0,1,0.65,0,3.428592291,0.1896878414,-0.9334053759,0.009704037057,0.1136940389,-0.8820819432,-0.5804347205
0,1.05,0.25,0,1.551460182,0.1247309567,-0.5136088701,0.03019507652,0.08461182322,-0.469678528,-0.2320871362
0,1.05,0.35,0,2.11632311,0.1490311977,-0.686563386,0.02652603066,0.09560245706,-0.6220337785,-0.3286069017
0,1.05,0.45,0,2.665466331,0.1666961928,-0.8167233279,0.01767338006,0.1013539402,-0.7404494634,-0.42253718
0,1.05,0.55,0,3.206530852,0.1774921449,-0.9014338357,0.003089096824,0.1015912951,-0.8301888806,-0.5139118848
0,1.05,0.65,0,3.747152923,0.1806881028,-0.9525350322,-0.01816791878,0.09563368049,-0.8959920887,-0.6027585223
0.25,0.8,0.25,0.1875,0.9191144736,0.1091821509,-0.3607850184,0.06281930657,0.09428408518,-0.3272319392,-0.2335844816
0.25,0.8,0.35,0.1625,1.266612318,0.1320780505,-0.5063171416,0.07009069335,0.1092685027,-0.4764430307,-0.2963321289
0.25,0.8,0.45,0.1375,1.606505633,0.1520781952,-0.6263632545,0.07329232326,0.121693978,-0.6015528964,-0.3580118236
0.25,0.8,0.55,0.1125,1.941183037,0.1689362121,-0.7251729509,0.07103277846,0.1312389006,-0.705141761,-0.4186362179
