series,1987_1999,2000_2009,2010_2019,2020_2021,2022,2023_latest
SP500_1X,0.1735907154,-0.009499564574,0.1357772917,0.2349809395,-0.183032874,0.2245834047
UPRO_ALWAYS_3X,0.2852644218,-0.2268123535,0.3286011617,0.4823875965,-0.5674196027,0.5382219276
SSO_ALWAYS_2X,0.2441035777,-0.1063634025,0.2368823778,0.3986850411,-0.3901193417,0.3814711967
UPRO_SMA_TO_SP500,0.2722003455,-0.04616056316,0.2336753409,0.6467444726,-0.4657432109,0.3602617554
UPRO_SMA_TO_TBILL,0.2423157361,0.004661262305,0.1794268434,0.6227401473,-0.4455301936,0.2712833826
UPRO60_TMF40,0.2536982796,-0.01982818084,0.329203608,0.5488125904,-0.6354637126,0.2314377347
UPRO55_TMF45,0.2440995684,-0.002018874064,0.3202415844,0.5244964522,-0.6437749782,0.1943840732
UPRO50_LT50,0.2227638248,-0.03009890123,0.2334892637,0.4049648018,-0.4375815325,0.2560256781
UPRO60_TMF40_SMA,0.2145945778,-0.02131218824,0.2408990279,0.5156274466,-0.4022607717,0.1579941082
LEAPS_ATM_50_TBILL,0.3629551407,-0.08210570421,0.2354653977,0.4670433472,-0.4236362566,0.4265600297
LEAPS_ATM_40_TBILL,0.3208401395,-0.04992889986,0.1936044694,0.3797687791,-0.3330891889,0.3526387083
LEAPS_ATM_50_TREASURY,0.3765728356,-0.04947969334,0.2764648594,0.5127533171,-0.5994835923,0.3929666283
LEAPS_ATM_40_TREASURY,0.3377501618,-0.01353579465,0.2412226267,0.4319976037,-0.5422519256,0.3132056132
LEAPS_ITM_30_TREASURY,0.2453163738,0.02738955444,0.2046807155,0.3084259479,-0.463907701,0.2108453611
LEAPS_RESTRUCK_3X,0.3107059554,-0.197449999,0.2837000481,0.6787837771,-0.7333045334,0.5809164018
