variant,cell,family,regime,moneyness,premium_budget,maturity_months,roll_months,canonical_mean_delta,fixed_budget_mean_delta,delta_ratio,matched_delta_budget,matched_budget_inside_grid,matched_budget_change,treasury_weight,matched_treasury_weight,treasury_weight_change,median_30y_cagr
NDX_80_20_15M_R6,NDX_80_20,NDX,15m/6m,0.8,0.2,15,6,0.6368033273,0.697003971,1.094535693,0.1821293772,False,-0.01787062281,0.7865544004,0.8056264294,0.01907202901,0.1278172858
NDX_80_25_15M_R6,NDX_80_25,NDX,15m/6m,0.8,0.25,15,6,0.7861401871,0.8654386258,1.100870608,0.2264601772,True,-0.02353982285,0.7357570495,0.7606379785,0.02488092897,0.1411774575
NDX_80_30_15M_R6,NDX_80_30,NDX,15m/6m,0.8,0.3,15,6,0.9325865047,1.032299693,1.106921114,0.2701208946,True,-0.02987910539,0.6857067588,0.7170094284,0.03130266959,0.1533586566
NDX_80_35_15M_R6,NDX_80_35,NDX,15m/6m,0.8,0.35,15,6,1.076571109,1.197911507,1.112710064,0.3133660199,True,-0.0366339801,0.6362913491,0.6743601933,0.03806884423,0.1632833576
NDX_80_40_15M_R6,NDX_80_40,NDX,15m/6m,0.8,0.4,15,6,1.218490223,1.362585384,1.118257133,0.3562483242,True,-0.04375167579,0.5874071695,0.6325362389,0.04512906938,0.171523738
NDX_80_20_15M_R12,NDX_80_20,NDX,15m/12m,0.8,0.2,15,12,0.6368033273,0.7200320788,1.130697733,0.1754290057,False,-0.0245709943,0.7736486567,0.8014570446,0.02780838783,0.1337850676
NDX_80_25_15M_R12,NDX_80_25,NDX,15m/12m,0.8,0.25,15,12,0.7861401871,0.8893959036,1.13134517,0.2195165964,True,-0.0304834036,0.7218027671,0.7557243612,0.03392159412,0.1476143736
NDX_80_30_15M_R12,NDX_80_30,NDX,15m/12m,0.8,0.3,15,12,0.9325865047,1.055879757,1.132205701,0.2629714084,True,-0.03702859163,0.6713148192,0.7118839837,0.04056916444,0.1596502683
NDX_80_35_15M_R12,NDX_80_35,NDX,15m/12m,0.8,0.35,15,12,1.076571109,1.22003281,1.133257989,0.3063024572,True,-0.04369754282,0.6219865092,0.6691815397,0.04719503057,0.1700337283
NDX_80_40_15M_R12,NDX_80_40,NDX,15m/12m,0.8,0.4,15,12,1.218490223,1.382365125,1.134490125,0.3495301376,True,-0.05046986239,0.5736424597,0.6274379756,0.05379551598,0.1790877941
NDX_80_20_24M_R12,NDX_80_20,NDX,24m/12m,0.8,0.2,24,12,0.6368033273,0.6368033273,1,0.2,True,0,0.7712450665,0.7712450665,0,0.1247857387
NDX_80_25_24M_R12,NDX_80_25,NDX,24m/12m,0.8,0.25,24,12,0.7861401871,0.7861401871,1,0.25,True,0,0.7184763057,0.7184763057,0,0.1377635797
NDX_80_30_24M_R12,NDX_80_30,NDX,24m/12m,0.8,0.3,24,12,0.9325865047,0.9325865047,1,0.3,True,0,0.6670381895,0.6670381895,0,0.149422447
