frontier,basis,variant,cell,family,regime,maturity_months,roll_months,moneyness,premium_budget,cagr_p50,cagr_p5,median_max_drawdown,prob_drawdown_worse_than_60,mean_delta_exposure,option_turnover_per_year,theta_burden_per_year,vega_per_nav,mean_entry_years,cagr_per_volatility_point,on_growth_frontier,on_robust_frontier,on_frontier
SPX fixed budget,fixed,SP500_1X,SP500_1X,SPX,index,,,,,0.1124602013,0.06218612231,-0.415347138,0.0428,,,,,,,False,False,False
SPX fixed budget,fixed,SPX_80_25_15M_R6,SPX_80_25,SPX,15m/6m,15,6,0.8,0.25,0.1209793516,0.06832283072,-0.3831865804,0.016,0.9849595859,0.5009257354,-0.01825922224,0.159060613,1.24705681,0.0033189706,False,False,False
SPX fixed budget,fixed,SPX_80_25_15M_R12,SPX_80_25,SPX,15m/12m,15,12,0.8,0.25,0.127347875,0.07200647168,-0.3936561421,0.0194,1.002704059,0.2504628677,-0.01646531779,0.1080888948,1.248596851,0.002636470138,False,False,False
SPX fixed budget,fixed,SPX_80_25_18M_R6,SPX_80_25,SPX,18m/6m,18,6,0.8,0.25,0.1179745684,0.06701865306,-0.3734669859,0.0124,0.9435116381,0.5071873071,-0.01812805167,0.2016462534,1.495880549,0.003344668672,False,False,False
SPX fixed budget,fixed,SPX_80_25_18M_R12,SPX_80_25,SPX,18m/12m,18,12,0.8,0.25,0.1244001165,0.07133883315,-0.379456476,0.0146,0.9617123835,0.2567244394,-0.01696405429,0.1540170836,1.491594464,0.002926645682,False,True,True
SPX fixed budget,fixed,SPX_80_25_24M_R6,SPX_80_25,SPX,24m/6m,24,6,0.8,0.25,0.1140568474,0.06589076875,-0.3579788281,0.0066,0.8760604115,0.4946641638,-0.01591416899,0.2651518133,2.000433204,0.003303502843,False,False,False
SPX fixed budget,fixed,SPX_80_25_24M_R12,SPX_80_25,SPX,24m/12m,24,12,0.8,0.25,0.1201350522,0.07014075547,-0.3632403868,0.0068,0.8930707881,0.2504628677,-0.01429592937,0.2072062134,2.004928131,0.003148444951,False,False,False
SPX fixed budget,fixed,SPX_80_25_30M_R12,SPX_80_25,SPX,30m/12m,30,12,0.8,0.25,0.11684052,0.06902649666,-0.3490344038,0.0038,0.8407281096,0.2504628677,-0.01356484535,0.2722674695,2.490759754,0.003167443558,False,False,False
SPX fixed budget,fixed,SPX_80_25_30M_R18,SPX_80_25,SPX,30m/18m,30,18,0.8,0.25,0.1185892713,0.0698355441,-0.3562812083,0.0058,0.8555254296,0.1690624357,-0.01083555196,0.2057706569,2.489010571,0.003127863352,False,False,False
SPX fixed budget,fixed,SPX_80_30_15M_R6,SPX_80_30,SPX,15m/6m,15,6,0.8,0.3,0.1312070245,0.07032428029,-0.4306985536,0.0512,1.177572996,0.6011108825,-0.02200900398,0.1914561099,1.24705681,0.003912634799,False,False,False
SPX fixed budget,fixed,SPX_80_30_15M_R12,SPX_80_30,SPX,15m/12m,15,12,0.8,0.3,0.1378678862,0.07472236075,-0.4439489677,0.0616,1.194553883,0.3005554413,-0.02006438603,0.1307765153,1.248596851,0.003108233776,False,False,False
SPX fixed budget,fixed,SPX_80_30_18M_R6,SPX_80_30,SPX,18m/6m,18,6,0.8,0.3,0.1279163077,0.06908659822,-0.4188087965,0.0408,1.128326594,0.6086247686,-0.02181791656,0.2424201091,1.495880549,0.003961428271,False,False,False
SPX fixed budget,fixed,SPX_80_30_18M_R12,SPX_80_30,SPX,18m/12m,18,12,0.8,0.3,0.1346661842,0.07425972878,-0.425802751,0.0438,1.145988078,0.3080693273,-0.02060330395,0.186141093,1.491594464,0.003441687774,False,False,False
SPX fixed budget,fixed,SPX_80_30_24M_R6,SPX_80_30,SPX,24m/6m,24,6,0.8,0.3,0.1231493073,0.06816004747,-0.3974243404,0.0228,1.047495103,0.5935969965,-0.01912942645,0.3184130754,2.000433204,0.003908189875,False,False,False
SPX fixed budget,fixed,SPX_80_30_24M_R12,SPX_80_30,SPX,24m/12m,24,12,0.8,0.3,0.1302143178,0.07285277153,-0.4038651949,0.0222,1.064129455,0.3005554413,-0.01718943333,0.2488403003,2.004928131,0.003707136329,False,True,True
SPX fixed budget,fixed,SPX_80_30_30M_R12,SPX_80_30,SPX,30m/12m,30,12,0.8,0.3,0.1259811362,0.07231109845,-0.3854320503,0.0138,1.001956155,0.3005554413,-0.01636504124,0.3274768413,2.490759754,0.003727486513,False,True,True
SPX fixed budget,fixed,SPX_80_30_30M_R18,SPX_80_30,SPX,30m/18m,30,18,0.8,0.3,0.1284490567,0.07335585369,-0.3941914214,0.0152,1.016969855,0.2028749229,-0.01302317839,0.2462528011,2.489010571,0.003669824813,True,True,True
SPX fixed budget,fixed,SPX_80_35_15M_R6,SPX_80_35,SPX,15m/6m,15,6,0.8,0.35,0.1397829377,0.07110007574,-0.4811698923,0.1276,1.369511895,0.7012960296,-0.02580823806,0.2241715586,1.24705681,0.004479187932,False,False,False
SPX fixed budget,fixed,SPX_80_35_15M_R12,SPX_80_35,SPX,15m/12m,15,12,0.8,0.35,0.1472580105,0.07523666182,-0.4941557873,0.1542,1.384847035,0.3506480148,-0.02380291613,0.1539823805,1.248596851,0.003562002916,False,False,False
SPX fixed budget,fixed,SPX_80_35_18M_R6,SPX_80_35,SPX,18m/6m,18,6,0.8,0.35,0.1363240744,0.07005281449,-0.4669687454,0.0948,1.312473975,0.71006223,-0.02554058068,0.2834500823,1.495880549,0.004557400052,False,False,False
SPX fixed budget,fixed,SPX_80_35_18M_R12,SPX_80_35,SPX,18m/12m,18,12,0.8,0.35,0.1440238226,0.07492802206,-0.4736933597,0.1084,1.32839865,0.3594142152,-0.02435257445,0.2188884171,1.491594464,0.003933170023,True,False,True
SPX fixed budget,fixed,SPX_80_35_24M_R6,SPX_80_35,SPX,24m/6m,24,6,0.8,0.35,0.131493503,0.06957295372,-0.4415346747,0.0592,1.218233004,0.6925298293,-0.02236359802,0.3718681583,2.000433204,0.004491534124,False,False,False
SPX fixed budget,fixed,SPX_80_35_24M_R12,SPX_80_35,SPX,24m/12m,24,12,0.8,0.35,0.1390796082,0.07471026331,-0.4470021168,0.0582,1.233599765,0.3506480148,-0.02010920806,0.2907094525,2.004928131,0.004242688552,False,False,False
SPX fixed budget,fixed,SPX_80_35_30M_R12,SPX_80_35,SPX,30m/12m,30,12,0.8,0.35,0.1348459464,0.07458786627,-0.4260983077,0.0378,1.161715047,0.3506480148,-0.01920736676,0.3831437978,2.490759754,0.004263301049,False,False,False
SPX fixed budget,fixed,SPX_80_35_30M_R18,SPX_80_35,SPX,30m/18m,30,18,0.8,0.35,0.1370852349,0.07504973916,-0.435484389,0.0448,1.176186909,0.23668741,-0.01523308205,0.2867237088,2.489010571,0.004187116044,True,False,True
SPX fixed budget,fixed,SPX_85_25_15M_R6,SPX_85_25,SPX,15m/6m,15,6,0.85,0.25,0.1264761599,0.06697035227,-0.4124241895,0.0356,1.117472546,0.5009257354,-0.03041836426,0.2708989437,1.24705681,0.005438460329,False,False,False
SPX fixed budget,fixed,SPX_85_25_15M_R12,SPX_85_25,SPX,15m/12m,15,12,0.85,0.25,0.1332402866,0.07050332563,-0.4290789167,0.0484,1.146747316,0.2504628677,-0.0276388453,0.1847399608,1.248596851,0.004536691609,False,False,False
SPX fixed budget,fixed,SPX_85_25_18M_R6,SPX_85_25,SPX,18m/6m,18,6,0.85,0.25,0.1228566679,0.06659209488,-0.3980456401,0.026,1.056901313,0.5071873071,-0.02874699823,0.3241940665,1.495880549,0.005067448557,False,False,False
SPX fixed budget,fixed,SPX_85_25_18M_R12,SPX_85_25,SPX,18m/12m,18,12,0.85,0.25,0.1295819495,0.07025896573,-0.4090462845,0.0308,1.085025369,0.2567244394,-0.0273629685,0.248933105,1.491594464,0.004794458932,False,False,False
SPX fixed budget,fixed,SPX_85_25_24M_R6,SPX_85_25,SPX,24m/6m,24,6,0.85,0.25,0.1180966094,0.06594597345,-0.3769519872,0.0126,0.9645302965,0.4946641638,-0.02387773244,0.395632704,2.000433204,0.00456767174,False,False,False
