variant,cell,family,underlying,regime,moneyness,premium_budget,maturity_months,roll_months,cagr,terminal_multiple,annualized_volatility,max_drawdown,mean_delta_exposure,delta_exposure_sd,mean_option_weight,mean_treasury_weight,gross_notional,option_turnover_per_year,cost_drag_bps,theta_burden_per_year,vega_per_nav,mean_entry_years,mean_exit_years,mean_held_years,rolls,mean_premium_fraction_of_nav,mean_exit_premium_ratio,cohort_10y_min_cagr,cohort_20y_min_cagr,cohort_20y_median_cagr,cohort_30y_min_cagr,cohort_30y_median_cagr,cagr_per_volatility_point,delta_exposure_p5,delta_exposure_p50,delta_exposure_p95,sessions_after_major_loss,min_exposure_after_loss,mean_exposure_after_loss,recovery_exposure,recovery_exposure_ratio,underexposed_recovery,1987_crash,1987_crash_trough,1987_crash_mean_delta,1987_crash_min_delta,1987_crash_recovery_delta,2000_2002_bust,2000_2002_bust_trough,2000_2002_bust_mean_delta,2000_2002_bust_min_delta,2000_2002_bust_recovery_delta,2008_2009_gfc,2008_2009_gfc_trough,2008_2009_gfc_mean_delta,2008_2009_gfc_min_delta,2008_2009_gfc_recovery_delta,2020_covid,2020_covid_trough,2020_covid_mean_delta,2020_covid_min_delta,2020_covid_recovery_delta,2022_rates,2022_rates_trough,2022_rates_mean_delta,2022_rates_min_delta,2022_rates_recovery_delta
NDX_80_20_15M_R6,NDX_80_20,NDX,NASDAQ100_1X,15m/6m,0.8,0.2,15,6,0.140783167,192.2629512,0.173824501,-0.4957599847,0.697003971,0.1533414044,0.2134455996,0.7865544004,1.483558371,0.4007405884,103.1555809,-0.02960469264,0.1372300152,1.24705681,0.7473292959,0.4997444095,80,0.2,1.27177081,0.03375917885,0.108182794,0.14289761,0.1336692616,0.1498411948,0.003119297985,0.3966848756,0.7170516722,0.9268689248,433,0.4416442063,0.6812062052,0.7281648045,1.044706823,False,-0.1726549475,-0.2388047112,0.5570845777,0.1990818349,0.5271217464,-0.2600630798,-0.2936248331,0.3810783867,0.04876402451,0.5407175346,-0.1651439393,-0.2560731956,0.5633160259,0.1271584325,0.6644381408,-0.1172358346,-0.2090307126,0.7307207322,0.5384692307,0.7982850128,-0.46266603,-0.457913605,0.6271239619,0.4416442063,0.7286110702
NDX_80_20_15M_R12,NDX_80_20,NDX,NASDAQ100_1X,15m/12m,0.8,0.2,15,12,0.1496200877,261.6359716,0.1801963241,-0.5044603739,0.7200320788,0.1712563163,0.2263513433,0.7736486567,1.493680736,0.2003702942,58.48610675,-0.02721279802,0.09301555581,1.248596851,0.2491444216,0.9995261412,40,0.2,1.607372495,0.02972361137,0.1108350296,0.1490005932,0.1415831112,0.1583451454,0.002635469565,0.3861964863,0.7389628047,0.9546865907,415,0.3192588096,0.6945030852,0.7698517288,1.069190876,False,-0.1694534012,-0.236052828,0.5631487776,0.1990818349,0.4926855969,-0.2742288295,-0.2988451583,0.4025552637,0.000176422414,0.5965057095,-0.1591700258,-0.2507499373,0.5158444371,0.1271584325,0.5295422635,-0.1119020019,-0.2090307126,0.7260395663,0.5217248584,0.7766448634,-0.4719374376,-0.4672670131,0.6027074418,0.3192588096,0.7715343332
NDX_80_20_24M_R12,NDX_80_20,NDX,NASDAQ100_1X,24m/12m,0.8,0.2,24,12,0.1364097484,164.9273835,0.1632163146,-0.4736965438,0.6368033273,0.1576273497,0.2287549335,0.7712450665,1.408048394,0.2003702942,56.12989038,-0.02223210411,0.1540756418,2.004928131,0.9993155373,1.005844258,40,0.2,1.522360845,0.03541937866,0.1108808826,0.1379319842,0.1311076759,0.1465931848,0.002761695633,0.3397462354,0.6488856269,0.8778429373,466,0.1166589971,0.4739088876,0.6945169059,1.090630146,False,-0.2609359588,-0.2834780685,0.6881781172,0.5146216597,0.5559586131,-0.2873625218,-0.3444166097,0.3185939715,0.08797202577,0.3985263997,-0.08454525893,-0.1874097812,0.4879300674,0.04786534225,0.7025678739,-0.04033575768,-0.1763094356,0.5348184096,0.3555113288,0.6398381108,-0.425726957,-0.4200020776,0.4684701772,0.3067741381,0.6591181381
NDX_80_25_15M_R6,NDX_80_25,NDX,NASDAQ100_1X,15m/6m,0.8,0.25,15,6,0.1578368046,347.6875051,0.2038502828,-0.527095667,0.8654386258,0.1832425339,0.2642429505,0.7357570495,1.601195675,0.5009257354,128.7473817,-0.03704545637,0.1720363734,1.24705681,0.7473292959,0.4997444095,80,0.25,1.27177081,0.02058886663,0.1135091903,0.1542369975,0.1511506191,0.1667836688,0.003834808242,0.5040955331,0.8900565875,1.141931093,777,0.1574783088,0.6914248477,0.8973917549,1.036921312,False,-0.2182807489,-0.2780989541,0.6995517155,0.2623226782,0.6664562296,-0.3823181092,-0.4000873508,0.4785759771,0.06480284283,0.6699190876,-0.2527211833,-0.3274412255,0.710063864,0.1683621489,0.8134366499,-0.1709560365,-0.2507277951,0.908242912,0.6907806929,0.9599828316,-0.4964179017,-0.4934997048,0.7945656338,0.573059351,0.8986889156
NDX_80_25_15M_R12,NDX_80_25,NDX,NASDAQ100_1X,15m/12m,0.8,0.25,15,12,0.1687079676,504.9347168,0.2109018859,-0.5386818214,0.8893959036,0.2024921852,0.2781972329,0.7218027671,1.611198671,0.2504628677,71.96323762,-0.03409611687,0.1169295203,1.248596851,0.2491444216,0.9995261412,40,0.25,1.607372495,0.01821222079,0.1182669201,0.1624707884,0.161093273,0.1765158365,0.003223706344,0.4978863341,0.9122766306,1.174230729,828,0.0002352288658,0.6317046168,0.9440690556,1.061472233,False,-0.2134748533,-0.2736153446,0.6944984172,0.2623226782,0.6310264651,-0.3829500413,-0.3943415837,0.4952826052,0.0002352288658,0.7299298649,-0.2473351954,-0.3225937799,0.6596890064,0.1683621489,0.6698445727,-0.1647533253,-0.2507277951,0.9030640352,0.6700178978,0.9445873972,-0.5087556612,-0.5059089602,0.7705442171,0.4204009774,0.9468308202
NDX_80_25_24M_R12,NDX_80_25,NDX,NASDAQ100_1X,24m/12m,0.8,0.25,24,12,0.1526945607,291.0768818,0.1887017006,-0.5001886852,0.7861401871,0.1861970239,0.2815236943,0.7184763057,1.504616493,0.2504628677,69.18206956,-0.02769418211,0.1925099171,2.004928131,0.9993155373,1.005844258,40,0.25,1.522360845,0.02379201219,0.1148449284,0.1501710503,0.1479832741,0.1626257626,0.003363553773,0.4337384877,0.8006694637,1.073250229,1180,0.1162474758,0.5247833578,0.8426295553,1.071856609,False,-0.3110528066,-0.3299090463,0.8312647898,0.6513724829,0.6878500096,-0.4040256081,-0.4468998125,0.4022550845,0.1162474758,0.4969969226,-0.1587568998,-0.2311038517,0.6153766818,0.06366813182,0.8451051026,-0.08316787024,-0.1874548487,0.6753133895,0.4593316155,0.7850952823,-0.4538607522,-0.4498789578,0.5990622519,0.4017418553,0.8036698211
NDX_80_30_15M_R6,NDX_80_30,NDX,NASDAQ100_1X,15m/6m,0.8,0.3,15,6,0.1734225354,592.9837228,0.2364923807,-0.5573778819,1.032299693,0.2110910426,0.3142932412,0.6857067588,1.718006452,0.6011108825,154.2452496,-0.04453661289,0.2071765635,1.24705681,0.7473292959,0.4997444095,80,0.3,1.27177081,0.005634498661,0.1156116501,0.1648886969,0.1653316561,0.1814889572,0.004523371254,0.6218817992,1.056498388,1.350453957,1464,0.08300301176,0.8146758882,1.062584503,1.029337227,False,-0.2632119616,-0.3166515337,0.8443076542,0.3328017879,0.8092874848,-0.4898123335,-0.4979931367,0.5777563066,0.08300301176,0.7970066608,-0.3341983396,-0.3976768899,0.8600819633,0.2147539351,0.9572171418,-0.2210756453,-0.2895836681,1.084432135,0.851316305,1.110822545,-0.5286265089,-0.527293159,0.9668820712,0.7148699384,1.064921784
NDX_80_30_15M_R12,NDX_80_30,NDX,NASDAQ100_1X,15m/12m,0.8,0.3,15,12,0.1863284427,917.7245314,0.243720662,-0.5720792106,1.055879757,0.2313791705,0.3286851808,0.6713148192,1.727194577,0.3005554413,85.07960082,-0.04106701576,0.1412388822,1.248596851,0.2491444216,0.9995261412,40,0.3,1.607372495,0.005797722888,0.1226340552,0.1747782536,0.1764802709,0.1934542565,0.003786372922,0.6192244142,1.078711948,1.371521912,1223,0.0003024356151,0.7344042913,1.113053376,1.05414785,False,-0.2567875705,-0.3103755202,0.8252824384,0.3328017879,0.7766158901,-0.4770462484,-0.4828830558,0.5864596822,0.0003024356151,0.8581713175,-0.3299642173,-0.3938464553,0.8108278701,0.2147539351,0.8141008435,-0.2141534833,-0.2895836681,1.079074505,0.8266628474,1.104295398,-0.5442827908,-0.542993727,0.946737494,0.532964078,1.116830717
NDX_80_30_24M_R12,NDX_80_30,NDX,NASDAQ100_1X,24m/12m,0.8,0.3,24,12,0.1677321228,488.3722131,0.216479596,-0.5360399659,0.9325865047,0.212093071,0.3329618105,0.6670381895,1.599624694,0.3005554413,81.93963774,-0.03315401064,0.2310938645,2.004928131,0.9993155373,1.005844258,40,0.3,1.522360845,0.01086683267,0.1175219575,0.1620558474,0.1600368853,0.176593309,0.003934437285,0.5289841226,0.9429030374,1.267585339,1868,0.1100902858,0.717884528,0.4717590841,0.505860938,True,-0.3558470426,-0.3756800234,0.9663385128,0.7916090924,0.817139989,-0.5044849196,-0.5360399659,0.48803844,0.1479495169,0.595394082,-0.229536406,-0.2873584137,0.7458050687,0.08163634448,0.9781475412,-0.1249416945,-0.2164165376,0.8190086439,0.5703766864,0.9256614951,-0.4817888099,-0.4794437241,0.7360544086,0.5062138899,0.9428288677
NDX_80_35_15M_R6,NDX_80_35,NDX,NASDAQ100_1X,15m/6m,0.8,0.35,15,6,0.1875171675,955.1648723,0.2709369608,-0.5869161494,1.197911507,0.237409197,0.3637086509,0.6362913491,1.834202856,0.7012960296,179.6280986,-0.05209671252,0.2427256037,1.24705681,0.7473292959,0.4997444095,80,0.35,1.27177081,-0.01113562561,0.1161979569,0.1741346359,0.1742399879,0.1943745383,0.005183484493,0.7380984408,1.22077544,1.554930238,2219,0.1038329821,1.01440687,0.9201954776,0.7681664897,False,-0.3074858354,-0.3545051807,0.9919865142,0.4118372869,0.9559105927,-0.5835229005,-0.5869161494,0.6790583122,0.1038329821,0.9221020828,-0.4098425074,-0.4630983213,1.013950409,0.2673794902,1.096395473,-0.2679361859,-0.3258791607,1.259624506,1.020760651,1.252190186,-0.5593455081,-0.5593703972,1.144434321,0.8683602429,1.227698545
