variant,horizon_years,paths,block_days,cell,family,regime,underlying,moneyness,premium_budget,maturity_months,roll_months,mean_cagr,median_max_drawdown,worst_max_drawdown,prob_negative_cagr,prob_below_index,prob_below_canonical,cagr_p5,cagr_p10,cagr_p50,cagr_p90,cagr_p95,terminal_wealth_p5,terminal_wealth_p50,terminal_wealth_p95,prob_drawdown_worse_than_50,prob_drawdown_worse_than_60,prob_drawdown_worse_than_75,mean_delta_exposure,min_exposure_after_loss,underexposed_recovery,delta_p5,delta_p50,delta_p95,mean_option_weight,recovery_exposure_ratio
SP500_1X,10,5000,63,SP500_1X,SPX,index,SP500_1X,,,,,0.113506341,-0.3373955664,-0.7886772753,0.019,0,0,0.02533961104,0.04450340786,0.1147929562,0.1806745764,0.1987788526,1.284288183,2.963995598,6.127495657,0.0626,0.0114,0.0004,,,,,,,,
NASDAQ100_1X,10,5000,63,NASDAQ100_1X,NDX,index,NASDAQ100_1X,,,,,0.1532811293,-0.4569898411,-0.9345217988,0.0378,0,0,0.01231376078,0.04176517321,0.1529715588,0.2665757691,0.2982594051,1.130170931,4.150509139,13.59751687,0.3474,0.134,0.017,,,,,,,,
NDX_80_20_15M_R6,10,5000,63,NDX_80_20,NDX,15m/6m,NASDAQ100_1X,0.8,0.2,15,6,0.1307468701,-0.3042794436,-0.7372976675,0.0174,0.6822,0.3688,0.02805388696,0.04815150398,0.1303600377,0.2140880455,0.2391228485,1.31868897,3.404827411,8.531319177,0.0328,0.005,0,0.6681860565,0.3384422695,0.07178502879,0.4589692589,0.6797711967,0.8373993193,0.2105470689,0.9677002548
NDX_80_20_15M_R12,10,5000,63,NDX_80_20,NDX,15m/12m,NASDAQ100_1X,0.8,0.2,15,12,0.1367857857,-0.3164934203,-0.7373644873,0.0158,0.6532,0.2414,0.03085060162,0.04994548942,0.1359092387,0.2241400951,0.250274229,1.354999776,3.575695741,9.330824477,0.0434,0.0054,0,0.6891966482,0.2863431349,0.1508986097,0.4068175334,0.7117921849,0.8805650364,0.2220461383,0.9655380164
NDX_80_20_24M_R12,10,5000,63,NDX_80_20,NDX,24m/12m,NASDAQ100_1X,0.8,0.2,24,12,0.1275008794,-0.2842832403,-0.7033067279,0.0132,0.7,0,0.03297789255,0.05111007478,0.1274206993,0.206101676,0.2282328979,1.383219111,3.317330835,7.810612486,0.0188,0.0024,0,0.5956662956,0.3191587637,0.1533364884,0.3624659327,0.6039440402,0.7892664335,0.2202038482,0.958410047
NDX_80_25_15M_R6,10,5000,63,NDX_80_25,NDX,15m/6m,NASDAQ100_1X,0.8,0.25,15,6,0.1452074743,-0.3532058195,-0.7857925233,0.024,0.5914,0.3728,0.02484417518,0.04764447266,0.1435575245,0.24491166,0.2751764872,1.278096924,3.823846128,11.36471235,0.0924,0.0172,0.0014,0.8302512161,0.3728519993,0.06144067797,0.5883139932,0.8466416045,1.017601715,0.2610033223,0.9614929141
NDX_80_25_15M_R12,10,5000,63,NDX_80_25,NDX,15m/12m,NASDAQ100_1X,0.8,0.25,15,12,0.1519085464,-0.3686161101,-0.7930322621,0.0224,0.5338,0.253,0.02709856846,0.04975144643,0.1497212552,0.2567764456,0.2885964322,1.306487869,4.034991834,12.61881382,0.1136,0.0224,0.0008,0.8514502211,0.3167733431,0.1329761325,0.5281305348,0.8830892808,1.057425221,0.2730586048,0.9643252722
NDX_80_25_24M_R12,10,5000,63,NDX_80_25,NDX,24m/12m,NASDAQ100_1X,0.8,0.25,24,12,0.1413934151,-0.3257253919,-0.7494812178,0.0174,0.6312,0,0.03211320834,0.05204080721,0.139763233,0.2336070432,0.2598594339,1.371685563,3.698866533,10.07126715,0.0454,0.008,0,0.7361396342,0.3691977077,0.1498902477,0.4665852933,0.7513463025,0.9473669739,0.2715368308,0.9480001073
NDX_80_30_15M_R6,10,5000,63,NDX_80_30,NDX,15m/6m,NASDAQ100_1X,0.8,0.3,15,6,0.1582845724,-0.4041911953,-0.857567374,0.0324,0.4444,0.3816,0.01934928395,0.04417636007,0.1556914298,0.276108856,0.3100926492,1.211208275,4.249451743,14.88879516,0.1948,0.0566,0.003,0.9910695424,0.4054015274,0.0565008726,0.7242775681,1.011999388,1.192098662,0.310878706,0.955886071
NDX_80_30_15M_R12,10,5000,63,NDX_80_30,NDX,15m/12m,NASDAQ100_1X,0.8,0.3,15,12,0.1654547458,-0.4211057376,-0.8429262209,0.0308,0.3786,0.269,0.02008581082,0.04573000276,0.1624463177,0.2884028028,0.3247497208,1.219987165,4.504427207,16.64068414,0.2306,0.0694,0.0038,1.011652471,0.3223715691,0.1160904823,0.6579569759,1.049278073,1.230159521,0.3228394591,0.9635826845
