variant,cell,family,regime,moneyness,premium_budget,maturity_months,roll_months,cagr,p5,drawdown,tail,resolution,improves,worsens,mixed,unresolved,matched_cagr,matched_p5,matched_drawdown,matched_tail,matched_resolution,matched_improves,matched_worsens,matched_mixed,matched_unresolved,matched_inside_grid
NDX_80_20_15M_R6,NDX_80_20,NDX,15m/6m,0.8,0.2,15,6,0.003031547144,-0.001642272276,-0.02593674028,0.0114,0.003119297985,False,True,False,False,0.003031547144,-0.001642272276,-0.02593674028,0.0114,0.003119297985,False,True,False,False,False
NDX_80_20_15M_R12,NDX_80_20,NDX,15m/12m,0.8,0.2,15,12,0.008999328883,0.00172657538,-0.03959718051,0.0142,0.002761695633,False,False,True,False,0.008999328883,0.00172657538,-0.03959718051,0.0142,0.002761695633,False,False,True,False,False
NDX_80_25_15M_R6,NDX_80_25,NDX,15m/6m,0.8,0.25,15,6,0.003413877827,-0.003408951898,-0.03541877987,0.0404,0.003834808242,False,True,False,False,-0.00287604365,-0.00442557299,-0.008914231706,0.01827256652,0.003834808242,False,True,False,False,True
NDX_80_25_15M_R12,NDX_80_25,NDX,15m/12m,0.8,0.25,15,12,0.009850793917,0.0001841473215,-0.05150800741,0.0596,0.003363553773,False,False,True,False,0.00141950759,-0.001269067206,-0.01570461445,0.02094704424,0.003363553773,False,True,False,False,True
NDX_80_30_15M_R6,NDX_80_30,NDX,15m/6m,0.8,0.3,15,6,0.003936209653,-0.00377624366,-0.04519922076,0.092,0.004523371254,False,True,False,False,-0.003343057007,-0.004690714187,-0.008952678788,0.02554886961,0.004523371254,False,True,False,False,True
NDX_80_30_15M_R12,NDX_80_30,NDX,15m/12m,0.8,0.3,15,12,0.01022782132,-0.000904539697,-0.06212698949,0.1308,0.003934437285,False,False,True,False,0.00131437671,-0.00150358015,-0.01658635811,0.0339332043,0.003934437285,False,True,False,False,True
NDX_80_35_15M_R6,NDX_80_35,NDX,15m/6m,0.8,0.35,15,6,0.003628137395,-0.005924168897,-0.05187061678,0.165,0.005183484493,False,True,False,False,-0.003643488537,-0.004899242822,-0.00796807723,0.03165231244,0.005183484493,False,True,False,False,True
NDX_80_35_15M_R12,NDX_80_35,NDX,15m/12m,0.8,0.35,15,12,0.01037850814,-0.002402816796,-0.06832216475,0.2258,0.004474962216,False,False,True,False,0.001303874369,-0.001748030654,-0.01637077233,0.04751402531,0.004474962216,False,True,False,False,True
NDX_80_40_15M_R6,NDX_80_40,NDX,15m/6m,0.8,0.4,15,6,0.002688460565,-0.008790102534,-0.05845183878,0.2314,0.005813163575,False,True,False,False,-0.004522148517,-0.005932233233,-0.006246268016,0.03031729805,0.005813163575,False,True,False,False,True
NDX_80_40_15M_R12,NDX_80_40,NDX,15m/12m,0.8,0.4,15,12,0.01025251668,-0.005384017046,-0.07171402431,0.2814,0.004985039657,False,False,True,False,0.001100874906,-0.001995698534,-0.01468354978,0.06048296144,0.004985039657,False,True,False,False,True
