strategy,family,underlying,moneyness,premium_budget,classification,family_classification,family_sensitivities_held,dominated_by,dominated_by_same_family,on_growth_frontier,on_robust_frontier,sensitivities_held,sensitivities_tested,failed_sensitivities,median_cagr,p5_cagr,median_max_drawdown,prob_drawdown_worse_than_60,mean_delta_exposure,lattice_neighbours,neighbours_on_frontier,neighbour_support,family_neighbours_on_frontier,family_neighbour_support,median_cagr_at_plus_3,median_cagr_move_when_dearer,median_cagr_move_when_cheaper,p5_cagr_at_plus_3,p5_cagr_move_when_dearer,p5_cagr_move_when_cheaper
SPX_80_25,SP500 LEAPS,SP500_1X,0.8,0.25,robust frontier,robust frontier,7,NDX_80_20,,False,True,5,7,block_21:baseline;iv_premium:iv_6,0.1200139264,0.06939809132,-0.3632060892,0.007266666667,0.8923531357,,,,,,0.1198978902,-0.009332526998,0.009388016031,0.07055730183,-0.007615230135,0.007076147351
SPX_85_30,SP500 LEAPS,SP500_1X,0.85,0.3,dominated,robust frontier,7,NDX_80_25,,False,False,3,7,block_126:baseline;block_21:baseline;iv_premium:iv_6;roll_interval:roll_18m,0.1346503557,0.07147548674,-0.4298890266,0.04126666667,1.17546364,2,0,0,1,0.5,0.1348480974,-0.01436473267,0.01574579255,0.0736024451,-0.0110490254,0.01086733303
SPX_85_35,SP500 LEAPS,SP500_1X,0.85,0.35,dominated,robust frontier,6,NDX_85_25,,False,False,0,7,block_126:baseline;block_21:baseline;iv_premium:iv_0;iv_premium:iv_6;roll_interval:roll_18m;roll_interval:roll_9m;treasury_leverage:tsy_125,0.1440537726,0.07193632502,-0.4766506229,0.1067333333,1.361961176,3,0,0,2,0.6666666667,0.1438457758,-0.01609769691,0.01775989555,0.07424243004,-0.01113533193,0.01270833882
SPX_85_40,SP500 LEAPS,SP500_1X,0.85,0.4,dominated,robust frontier,7,NDX_85_30,,False,False,0,7,block_126:baseline;block_21:baseline;iv_premium:iv_0;iv_premium:iv_6;roll_interval:roll_18m;roll_interval:roll_9m;treasury_leverage:tsy_125,0.1524352981,0.07166723662,-0.5235053437,0.2178666667,1.54692294,3,0,0,2,0.6666666667,0.152115573,-0.01828372104,0.01980486737,0.07407791567,-0.01243257846,0.01277842511
SPX_85_45,SP500 LEAPS,SP500_1X,0.85,0.45,dominated,robust frontier,6,NDX_90_30,,False,False,0,7,block_126:baseline;block_21:baseline;iv_premium:iv_0;iv_premium:iv_6;roll_interval:roll_18m;roll_interval:roll_9m;treasury_leverage:tsy_125,0.1596790979,0.06934031385,-0.5705960678,0.3832666667,1.730636671,3,0,0,2,0.6666666667,0.1589973874,-0.01966147212,0.02163299675,0.07175397679,-0.01328313661,0.01509562633
SPX_85_50,SP500 LEAPS,SP500_1X,0.85,0.5,dominated,robust frontier,6,NDX_85_35,,False,False,0,7,block_126:baseline;block_21:baseline;iv_premium:iv_0;iv_premium:iv_6;roll_interval:roll_18m;roll_interval:roll_9m;treasury_leverage:tsy_125,0.1665037973,0.06606412534,-0.6166252475,0.569,1.914152189,2,0,0,2,1,0.165308364,-0.02127672525,0.02358242028,0.06983360372,-0.01519134704,0.0155397235
SPX_90_30,SP500 LEAPS,SP500_1X,0.9,0.3,dominated,dominated,3,NDX_80_25,SPX_85_35,False,False,0,7,block_126:baseline;block_21:baseline;iv_premium:iv_0;iv_premium:iv_6;roll_interval:roll_18m;roll_interval:roll_9m;treasury_leverage:tsy_125,0.1383523022,0.06943737137,-0.4569319073,0.07473333333,1.294465645,3,0,0,1,0.3333333333,0.1384741495,-0.01808443032,0.02177124306,0.07158043542,-0.0128936909,0.01361290257
SPX_90_35,SP500 LEAPS,SP500_1X,0.9,0.35,dominated,dominated,1,NDX_90_25,SPX_85_40,False,False,0,7,block_126:baseline;block_21:baseline;iv_premium:iv_0;iv_premium:iv_6;roll_interval:roll_18m;roll_interval:roll_9m;treasury_leverage:tsy_125,0.1476207165,0.06876602895,-0.5072931731,0.173,1.498563159,4,0,0,1,0.25,0.147501694,-0.02026429759,0.02427378913,0.07074226809,-0.01334140316,0.01677378926
SPX_90_40,SP500 LEAPS,SP500_1X,0.9,0.4,dominated,dominated,1,NDX_85_30,SPX_85_45,False,False,0,7,block_126:baseline;block_21:baseline;iv_premium:iv_0;iv_premium:iv_6;roll_interval:roll_18m;roll_interval:roll_9m;treasury_leverage:tsy_125,0.1557311729,0.06693484206,-0.5575262039,0.3327333333,1.701300029,4,0,0,1,0.25,0.1554294748,-0.02298977965,0.02688522267,0.06939608839,-0.01460958033,0.01812391472
SPX_90_45,SP500 LEAPS,SP500_1X,0.9,0.45,dominated,dominated,1,NDX_95_30,SPX_85_50,False,False,0,7,block_126:baseline;block_21:baseline;iv_premium:iv_0;iv_premium:iv_6;roll_interval:roll_18m;roll_interval:roll_9m;treasury_leverage:tsy_125,0.162756137,0.0634725422,-0.6067360017,0.5248666667,1.902833005,4,0,0,2,0.5,0.1617889282,-0.02431380441,0.02977190128,0.0671366268,-0.0161757627,0.01904170834
