strategy,family,underlying,moneyness,premium_budget,cagr,annualized_volatility,max_drawdown,terminal_multiple,mean_delta_exposure,mean_option_weight,treasury_notional,gross_notional,cohort_10y_min_cagr,cohort_20y_min_cagr,cohort_20y_median_cagr,cohort_30y_min_cagr,cohort_30y_median_cagr,1987_crash,2000_2002_bust,2008_2009_gfc,2020_covid,2022_rates,cohort_20y_min_cagr_post_proxy,cohort_20y_entries_post_proxy,cagr_one_point_cheaper,cagr_one_point_dearer,cagr_per_volatility_point
SP500_1X,index,SP500_1X,,,0.1126353848,0.1834804905,-0.5525024107,70.90685227,1,,,1,-0.03201496806,0.04788163336,0.08783863295,0.0933527571,0.1030718628,-0.3282437828,-0.4737343705,-0.5488705681,-0.3346748342,-0.2400993568,0.04788163336,90,,,
NASDAQ100_1X,index,NASDAQ100_1X,,,0.149296473,0.2606112603,-0.8287281904,258.7114787,1,,,1,-0.07720148065,0.03688980808,0.1181901885,0.1228274544,0.1387550428,-0.3773391244,-0.8265106794,-0.5131725098,-0.2714686422,-0.3347736542,0.03688980808,90,,,
SPX_80_25,SP500 LEAPS,SP500_1X,0.8,0.25,0.1246550497,0.1625605479,-0.4587386717,108.8935242,0.9172115733,0.2738215529,0.7261784471,1.64339002,0.03713561393,0.09364541465,0.1206036985,0.1116762301,0.1295901317,-0.3006755545,-0.2053241593,-0.2249948211,-0.1062895748,-0.4362337222,0.1023308975,90,0.127791179,0.1214942891,0.003148444951
SPX_85_30,SP500 LEAPS,SP500_1X,0.85,0.3,0.1425885916,0.2010073597,-0.4944916535,204.7934226,1.220249952,0.3266264966,0.6733735034,1.893623456,0.02171569589,0.09742096999,0.1339706038,0.128998442,0.1466392412,-0.3714916809,-0.3292566776,-0.3207148526,-0.1624127586,-0.4743809287,0.1080785061,90,0.147929956,0.1373752209,0.005277367564
SPX_85_35,SP500 LEAPS,SP500_1X,0.85,0.35,0.1537399566,0.2280753643,-0.517703975,301.8048383,1.411905012,0.3770108382,0.6229891618,2.034894174,0.008456836608,0.09956065047,0.1408780599,0.1390417317,0.1565776448,-0.4097332162,-0.4169075008,-0.395334443,-0.2113835828,-0.5010312938,0.1108119147,90,0.1598392729,0.1477840764,0.006027598259
SPX_85_40,SP500 LEAPS,SP500_1X,0.85,0.4,0.1640112776,0.2565851511,-0.5407502168,429.9439439,1.601366839,0.4265762745,0.5734237255,2.174790564,-0.00587827571,0.1006235118,0.1462590865,0.1474397035,0.1651205449,-0.4437393408,-0.4964787159,-0.4647674556,-0.2598516239,-0.5275240271,0.1122444902,90,0.17083161,0.1573482001,0.006741704925
SPX_85_45,SP500 LEAPS,SP500_1X,0.85,0.45,0.1733727084,0.2863090266,-0.6052602357,591.9792223,1.789017235,0.475427393,0.524572607,2.313589842,-0.0213587817,0.1005616499,0.149860711,0.1519320284,0.1716273101,-0.4741767681,-0.5684352277,-0.5292622755,-0.3078245854,-0.5538605229,0.1105989793,90,0.180876126,0.1660386635,0.00741873125
SPX_85_50,SP500 LEAPS,SP500_1X,0.85,0.5,0.1817834319,0.317171438,-0.6655370242,787.3244506,1.975234998,0.5236642728,0.4763357272,2.451570725,-0.0380706619,0.0993117007,0.1520838927,0.1555448521,0.1775716506,-0.5015792549,-0.633227374,-0.5890535161,-0.3553100144,-0.5800421593,0.1076248494,90,0.1899303191,0.1738162084,0.008057055325
SPX_90_30,SP500 LEAPS,SP500_1X,0.9,0.3,0.1485208798,0.2195031009,-0.5074290194,251.8315929,1.360705437,0.3276781267,0.6723218733,2.03302731,0.01606458177,0.09558222144,0.1383254492,0.1350004131,0.1531679234,-0.4017050595,-0.3578392355,-0.3381820209,-0.1689840079,-0.4859716182,0.1072834328,90,0.1558977002,0.1415479704,0.007174864914
SPX_90_35,SP500 LEAPS,SP500_1X,0.9,0.35,0.1600685215,0.2497688678,-0.5327067829,375.4731928,1.573129824,0.377823588,0.622176412,2.195306236,0.00164298857,0.09702468052,0.145121135,0.1441775266,0.1620451567,-0.4404445414,-0.4468128195,-0.4136284766,-0.2188346677,-0.5144849644,0.1094531211,90,0.1684665618,0.1521267287,0.008169916567
