case,arm,dial,block_days,iv_premium,roll,treasury_leverage,horizon_years,paths,strategy,family,underlying,moneyness,premium_budget,mean_cagr,max_drawdown_median,worst_max_drawdown,prob_negative_cagr,prob_below_own_underlying,prob_below_sp500,cagr_p5,terminal_wealth_p5,cagr_p10,terminal_wealth_p10,cagr_p50,terminal_wealth_p50,cagr_p90,terminal_wealth_p90,cagr_p95,terminal_wealth_p95,max_drawdown_p90,max_drawdown_p95,prob_drawdown_worse_than_40,prob_drawdown_worse_than_50,prob_drawdown_worse_than_60,prob_drawdown_worse_than_75,mean_delta_exposure,mean_option_weight,treasury_notional,gross_notional,on_growth_frontier,on_robust_frontier,on_frontier,adjacent_lower_risk,prob_beat_adjacent_lower_risk
primary,baseline,none,63,0.03,12m,1,10,15000,SP500_1X,index,SP500_1X,,,0.1129924018,-0.3379046365,-0.8406408759,0.02026666667,0,0,0.02371196991,1.264048929,0.04470767205,1.5485379,0.1136732541,2.934363353,0.1807483846,5.265926859,0.1997269372,6.176121666,-0.4669292927,-0.5171349601,0.2461333333,0.06286666667,0.01213333333,0.0003333333333,,,,,,,False,,
primary,baseline,none,63,0.03,12m,1,10,15000,NASDAQ100_1X,index,NASDAQ100_1X,,,0.1526741666,-0.4563555016,-0.9496384925,0.03793333333,0,0.2262,0.01107520986,1.116421208,0.0408589527,1.492433581,0.1518484187,4.110259658,0.268082086,10.74811916,0.2994546998,13.72321148,-0.624179641,-0.6787537929,0.6912,0.3554,0.1332666667,0.0158,,,,,,,False,NDX_85_35,0.3229333333
primary,baseline,none,63,0.03,12m,1,10,15000,SPX_80_25,SP500 LEAPS,SP500_1X,0.8,0.25,0.121472435,-0.2929238544,-0.7261880101,0.01086666667,0.4106666667,0.4106666667,0.03340275367,1.388918017,0.05195790198,1.659409184,0.1206588106,3.123678828,0.1921331352,5.796196634,0.2128712766,6.88703637,-0.4059647482,-0.4455543059,0.1093333333,0.01726666667,0.0016,0,0.891566571,0.2678650116,0.7321349884,1.623210666,False,True,True,,
primary,baseline,none,63,0.03,12m,1,10,15000,SPX_85_30,SP500 LEAPS,SP500_1X,0.85,0.3,0.1370647789,-0.3491764739,-0.8012865876,0.01873333333,0.2445333333,0.2445333333,0.02656119311,1.299669247,0.05003163409,1.629276561,0.1352137859,3.553866981,0.2269260958,7.727917043,0.2544376134,9.646192105,-0.4727214743,-0.517576056,0.2804,0.0664,0.009866666667,0.0001333333333,1.173925282,0.318912455,0.681087545,1.854596525,False,False,False,,
primary,baseline,none,63,0.03,12m,1,10,15000,SPX_85_35,SP500 LEAPS,SP500_1X,0.85,0.35,0.1470375147,-0.3905143833,-0.8406074168,0.02506666667,0.1849333333,0.1849333333,0.02132793058,1.234922043,0.04819264297,1.6009697,0.1444031796,3.852213668,0.250118719,9.319226459,0.2814322531,11.93463334,-0.519461882,-0.5661362131,0.4563333333,0.1317333333,0.02853333333,0.0006666666667,1.360447965,0.3687003111,0.6312996889,1.990820566,False,False,False,,
primary,baseline,none,63,0.03,12m,1,10,15000,SPX_85_40,SP500 LEAPS,SP500_1X,0.85,0.4,0.1561837359,-0.4311065512,-0.8747575838,0.033,0.1625333333,0.1625333333,0.01388975522,1.147887025,0.0447710379,1.549477281,0.152828612,4.145366328,0.2726175429,11.13873144,0.3077428913,14.62393238,-0.5684686882,-0.6157492281,0.6310666667,0.2442666667,0.06393333333,0.003733333333,1.545501285,0.4178105594,0.5821894406,2.126425003,False,False,False,NDX_80_35,0.4397333333
primary,baseline,none,63,0.03,12m,1,10,15000,SPX_85_45,SP500 LEAPS,SP500_1X,0.85,0.45,0.1645019549,-0.4732034118,-0.9055704266,0.04253333333,0.1616,0.1616,0.006118956695,1.062893376,0.04002233352,1.480482663,0.160569586,4.432240554,0.29460234,13.2193582,0.3342548809,17.87378628,-0.6163926165,-0.6650999681,0.7753333333,0.3943333333,0.1261333333,0.01013333333,1.729118755,0.466424388,0.533575612,2.261164456,False,False,False,NDX_80_40,0.4337333333
primary,baseline,none,63,0.03,12m,1,10,15000,SPX_85_50,SP500 LEAPS,SP500_1X,0.85,0.5,0.1719824776,-0.5143117765,-0.9354302749,0.05273333333,0.1676666667,0.1676666667,-0.002657709747,0.9737420858,0.03418666514,1.399488585,0.1673882904,4.699604543,0.3160584522,15.5807554,0.3603244171,21.68912285,-0.6640910188,-0.7115856072,0.8751333333,0.5562666667,0.2186666667,0.02713333333,1.911652194,0.5146011862,0.4853988138,2.396161937,False,False,False,NDX_90_40,0.4302666667
primary,baseline,none,63,0.03,12m,1,10,15000,SPX_90_30,SP500 LEAPS,SP500_1X,0.9,0.3,0.1414024087,-0.3718624943,-0.8285976701,0.02486666667,0.2342666667,0.2342666667,0.02078683307,1.228395917,0.04563792048,1.562380161,0.1384583981,3.656744006,0.241418534,8.690678479,0.2725322774,11.13127174,-0.5006561406,-0.5455670215,0.376,0.1014,0.01813333333,0.0004,1.291473766,0.3188478476,0.6811521524,1.97220138,False,False,False,,
primary,baseline,none,63,0.03,12m,1,10,15000,SPX_90_35,SP500 LEAPS,SP500_1X,0.9,0.35,0.1515124936,-0.4156059237,-0.8670780832,0.03393333333,0.1954666667,0.1954666667,0.01379601591,1.146826332,0.04230097868,1.513236556,0.1473885259,3.953878198,0.2666265308,10.62539998,0.3018488293,13.97811934,-0.5512634917,-0.5989579669,0.5698,0.1992,0.049,0.001866666667,1.495837288,0.3683250259,0.6316749741,2.126525241,False,False,False,NDX_80_35,0.4032666667
primary,baseline,none,63,0.03,12m,1,10,15000,SPX_90_40,SP500 LEAPS,SP500_1X,0.9,0.4,0.1606533036,-0.4587983226,-0.9000397,0.04426666667,0.1858666667,0.1858666667,0.004651699769,1.047496245,0.03729581687,1.442130281,0.1558104526,4.25382961,0.2901027211,12.76707696,0.3307991554,17.41627467,-0.6028840532,-0.650221111,0.7374666667,0.3432,0.1037333333,0.007466666667,1.698031876,0.417150383,0.582849617,2.280314097,False,False,False,NDX_90_35,0.4144
