case,arm,dial,block_days,iv_premium,roll,treasury_leverage,horizon_years,paths,strategy,family,underlying,moneyness,premium_budget,mean_cagr,max_drawdown_median,worst_max_drawdown,prob_negative_cagr,prob_below_own_underlying,prob_below_sp500,cagr_p5,terminal_wealth_p5,cagr_p10,terminal_wealth_p10,cagr_p50,terminal_wealth_p50,cagr_p90,terminal_wealth_p90,cagr_p95,terminal_wealth_p95,max_drawdown_p90,max_drawdown_p95,prob_drawdown_worse_than_40,prob_drawdown_worse_than_50,prob_drawdown_worse_than_60,prob_drawdown_worse_than_75,mean_delta_exposure,mean_option_weight,treasury_notional,gross_notional
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,SP500_1X,index,SP500_1X,,,0.1119844398,-0.4157060392,-0.7767613858,0,0,0,0.06231028142,6.131652723,0.07245775549,8.155440994,0.1117870253,24.0276365,0.1514301177,68.74029416,0.1623048874,91.1362953,-0.546522691,-0.588483996,0.575,0.196,0.043,0.001333333333,,,,
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,NASDAQ100_1X,index,NASDAQ100_1X,,,0.1500240492,-0.5631256841,-0.9282673494,0,0,0.108,0.06698958025,6.995905191,0.08513615101,11.60314627,0.1500135923,66.24793169,0.2179794206,370.9503173,0.2360234704,576.6730964,-0.7156025337,-0.7574168851,0.969,0.736,0.377,0.06,,,,
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,SPX_80_25,SP500 LEAPS,SP500_1X,0.8,0.25,0.1296523913,-0.371714812,-0.7297404675,0,0.1813333333,0.1813333333,0.07763344918,9.422721364,0.08834829108,12.67906852,0.1292859062,38.38747339,0.1716721204,115.9516915,0.1832874597,155.8863917,-0.4821712377,-0.5169924711,0.349,0.073,0.007333333333,0,0.9482276817,0.2708004723,0.7291995277,1.67731942
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,SPX_85_30,SP500 LEAPS,SP500_1X,0.85,0.3,0.1512373625,-0.4451548001,-0.8064238671,0,0.03066666667,0.03066666667,0.08446977813,11.39127554,0.09743611764,16.27169616,0.1505938899,67.2582103,0.2073682673,285.3020148,0.2216922369,406.4185572,-0.56105724,-0.5984443633,0.7313333333,0.2456666667,0.04933333333,0.002,1.272386499,0.3231858314,0.6768141686,1.949578842
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,SPX_85_35,SP500 LEAPS,SP500_1X,0.85,0.35,0.1629616116,-0.4932606389,-0.8599921559,0,0.01266666667,0.01266666667,0.08695076886,12.19964467,0.101055715,17.96123424,0.1616056714,89.5057262,0.2274984256,468.5437931,0.2444422907,706.9244702,-0.6155671709,-0.6518322428,0.9116666667,0.4643333333,0.1236666667,0.005333333333,1.473251527,0.3728799199,0.6271200801,2.099972184
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,SPX_85_40,SP500 LEAPS,SP500_1X,0.85,0.4,0.1736714349,-0.5410822453,-0.9016892664,0,0.009333333333,0.009333333333,0.08685634078,12.16785733,0.1036038881,19.25109155,0.1719204404,116.691228,0.2457448179,729.4642605,0.2666841398,1202.793728,-0.6702234917,-0.7087332652,0.9803333333,0.689,0.26,0.02133333333,1.671634519,0.4217481071,0.5782518929,2.249089453
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,SPX_85_45,SP500 LEAPS,SP500_1X,0.85,0.45,0.183363444,-0.5903698716,-0.9325448437,0,0.01133333333,0.01133333333,0.08684960312,12.16558982,0.1049447235,19.96531865,0.1806303842,145.7200184,0.2636568245,1119.47282,0.2873312882,1953.70912,-0.7206719898,-0.7614532462,0.9973333333,0.8653333333,0.458,0.06266666667,1.868792697,0.4701004336,0.5298995664,2.398262297
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,SPX_85_50,SP500 LEAPS,SP500_1X,0.85,0.5,0.1920228457,-0.6360978844,-0.9549168929,0.001,0.013,0.013,0.08537332722,11.67948093,0.1048028235,19.88852489,0.1888907843,179.6228913,0.2810709541,1687.884808,0.308689315,3200.789257,-0.7692509178,-0.8087007405,0.9996666667,0.953,0.6493333333,0.1286666667,2.065544692,0.5178519066,0.4821480934,2.546667352
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,SPX_90_30,SP500 LEAPS,SP500_1X,0.9,0.3,0.1612080783,-0.4758581037,-0.8431900031,0,0.02033333333,0.02033333333,0.085193338,11.62150364,0.1001290213,17.51319665,0.1602453926,86.41399369,0.2246364098,436.8532405,0.2423840912,672.6753201,-0.5957474689,-0.6360186818,0.8586666667,0.3826666667,0.093,0.002666666667,1.431434687,0.3244364875,0.6755635125,2.106151179
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,SPX_90_35,SP500 LEAPS,SP500_1X,0.9,0.35,0.1736792442,-0.5278326144,-0.8920855053,0,0.01166666667,0.01166666667,0.08751605735,12.39157553,0.1035254129,19.21006246,0.1717754831,116.2591685,0.2472317051,756.0417806,0.2680746956,1243.043384,-0.6537517429,-0.6926193545,0.9653333333,0.63,0.2143333333,0.015,1.654936764,0.3736388694,0.6263611306,2.280804889
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,SPX_90_40,SP500 LEAPS,SP500_1X,0.9,0.4,0.1849180585,-0.5788586398,-0.9274130813,0,0.01366666667,0.01366666667,0.0875200031,12.39274671,0.1051315073,20.06680944,0.1823146975,152.087091,0.2672622425,1219.371158,0.2919159648,2173.62267,-0.7088370714,-0.7496989835,0.996,0.8336666667,0.4126666667,0.04966666667,1.875835457,0.4224748986,0.5775251014,2.453429242
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,SPX_90_45,SP500 LEAPS,SP500_1X,0.9,0.45,0.1949252052,-0.6286404948,-0.9524330535,0.0003333333333,0.01466666667,0.01466666667,0.08617833514,11.94217481,0.1054465622,20.23915729,0.1915608295,192.1281842,0.2868380848,1931.377602,0.3156986937,3757.140635,-0.7597978635,-0.8014282065,0.9996666667,0.9503333333,0.616,0.117,2.095235232,0.4702134488,0.5297865512,2.624371618
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,SPX_90_50,SP500 LEAPS,SP500_1X,0.9,0.5,0.2036860073,-0.6761727008,-0.9697563109,0.001333333333,0.01966666667,0.01966666667,0.08427475924,11.32997774,0.1039840294,19.45102791,0.2001427004,238.2841238,0.3052008157,2954.467236,0.337609046,6166.645267,-0.8061971669,-0.8449791901,1,0.988,0.8016666667,0.223,2.31409299,0.5175969739,0.4824030261,2.794993322
iv_premium,iv_0,iv_premium,63,0,12m,1,30,3000,SPX_95_30,SP500 LEAPS,SP500_1X,0.95,0.3,0.1706523318,-0.5093310061,-0.8775849475,0,0.02,0.02,0.08499202044,11.55699228,0.1009312391,17.90041167,0.1685763157,107.1038337,0.2435078965,691.173934,0.2650727702,1157.72399,-0.6290415088,-0.675917501,0.939,0.5456666667,0.1633333333,0.01033333333,1.602127403,0.3252929549,0.6747070451,2.277266963
