strategy,horizon_years,block_days,paths,mean_cagr,sd_cagr,mean_terminal_wealth,median_terminal_wealth,median_max_drawdown,worst_max_drawdown,median_annualized_volatility,median_min_wealth,p5_min_wealth,prob_negative_10y,prob_negative_20y,negative_20y_basis,prob_below_sp500,cagr_p5,terminal_wealth_p5,cagr_p10,terminal_wealth_p10,cagr_p50,terminal_wealth_p50,cagr_p90,terminal_wealth_p90,cagr_p95,terminal_wealth_p95,prob_drawdown_worse_than_40,prob_drawdown_worse_than_50,prob_drawdown_worse_than_60,prob_drawdown_worse_than_75,mean_delta_exposure_median,mean_delta_exposure_mean,min_exposure_after_loss_median,min_exposure_after_loss_mean,consecutive_poor_rolls_median,consecutive_poor_rolls_mean,depleted_roll_fraction_median,depleted_roll_fraction_mean,underexposed_recovery_median,underexposed_recovery_mean,rolls_median,rolls_mean,mean_delta_exposure_p5,paths_with_major_loss
SP500_1X,30,63,5000,0.1124428301,0.03064523035,33.77636138,24.46796482,-0.415347138,-0.801888118,0.1825202663,0.9210236015,0.6381517088,0.01864333333,0.00207,pooled overlapping windows,0,0.06218612231,6.11018781,0.07287523252,8.25122486,0.1124602013,24.46796482,0.1520208582,69.80627221,0.1632783918,93.4544488,0.5732,0.1958,0.0428,0.0016,,,,,,,,,,,,,,0
UPRO_SMA_TO_SP500,30,63,5000,0.1190808686,0.08199768407,385.599815,26.60336635,-0.7914847396,-0.9946539684,0.4108697888,0.6405010168,0.1566630966,0.1980383333,0.111605,pooled overlapping windows,0.4716,-0.009452523941,0.7520618498,0.01687502863,1.652104593,0.1155671461,26.60336635,0.2244542995,434.909345,0.2595365902,1014.98785,1,0.999,0.9736,0.6522,,,,,,,,,,,,,,0
UPRO60_TMF40,30,63,5000,0.1554679433,0.06078884745,242.5304069,73.54790329,-0.6621583807,-0.9688078126,0.3200346055,0.7955258245,0.3569313229,0.06400083333,0.01667666667,pooled overlapping windows,0.131,0.0575716091,5.361999894,0.07817506693,9.565846817,0.1540275213,73.54790329,0.2349507398,561.8425348,0.2567609764,949.9849723,0.9998,0.968,0.726,0.219,,,,,,,,,,,,,,0
LEAPS_80_25_TREASURY_ROLL_9M,30,63,5000,0.1185803025,0.03070439219,40.00059924,28.24638942,-0.3568460349,-0.7026432867,0.1657553593,0.9294792394,0.720844117,0.01013416667,0.00047,pooled overlapping windows,0.3858,0.06980781005,7.572043015,0.07918287799,9.837773365,0.1177977321,28.24638942,0.1585509934,82.70697598,0.1701708454,111.5762228,0.2878,0.057,0.0054,0,0.8736226221,0.8726579805,0.4364236345,0.4637785384,0,0.1066,0,0.01161764706,0,0.1722989053,35,35,0.8176154959,4202
LEAPS_80_25_TREASURY,30,63,5000,0.1206014259,0.03125966977,42.67204723,30.07316107,-0.3632403868,-0.7261880101,0.1679704745,0.9288495919,0.7201349017,0.010475,0.0005266666667,pooled overlapping windows,0.3376,0.07014075547,7.643062994,0.08073378531,10.27089129,0.1201350522,30.07316107,0.1611110032,88.36923194,0.1726321753,118.8362349,0.312,0.0618,0.0068,0,0.8930707881,0.8918410092,0.4294402278,0.4608465545,0,0.1426,0,0.01892413793,0,0.1755442334,30,30,0.8354310588,4318
LEAPS_80_25_TREASURY_ROLL_18M,30,63,5000,0.1228625953,0.03204921217,46.07712309,31.78963842,-0.3716814228,-0.7232235282,0.1702171275,0.9285204319,0.7107838659,0.01098833333,0.00048,pooled overlapping windows,0.2968,0.07120534181,7.874496991,0.08122345308,10.41142626,0.1222093978,31.78963842,0.1645250404,96.50626264,0.176895652,132.5060145,0.3488,0.076,0.0086,0,0.9072374944,0.9054481379,0.4179223885,0.4484075809,0,0.1736,0.05263157895,0.04271578947,0,0.1922814983,20,20,0.8376583265,4405
LEAPS_85_30_TREASURY_ROLL_9M,30,63,5000,0.1332354777,0.03860501187,70.92927872,41.30164905,-0.4205604995,-0.8093009083,0.2051792431,0.9054999337,0.6593826467,0.01705666667,0.001203333333,pooled overlapping windows,0.139,0.07166104578,7.975621387,0.08364722622,11.13487857,0.132043516,41.30164905,0.1841413968,159.2969862,0.1983522948,227.8468879,0.6062,0.18,0.0344,0.001,1.146228855,1.145112882,0.4275595759,0.4692839235,0,0.1514,0,0.01622941176,0,0.1937525521,35,35,1.065651275,4898
LEAPS_85_30_TREASURY,30,63,5000,0.1357621138,0.03965812508,77.82085856,44.47142581,-0.430445584,-0.8075631966,0.2091370594,0.9033905668,0.6539855822,0.01797666667,0.001446666667,pooled overlapping windows,0.1188,0.07277480346,8.228087244,0.08449524715,11.39929084,0.1348371042,44.47142581,0.1880096372,175.6715164,0.2020895915,250.158078,0.6556,0.2042,0.0396,0.0014,1.176290443,1.175037518,0.4084400138,0.4499265944,0,0.1966,0.03448275862,0.02502068966,0,0.1968376242,30,30,1.091181172,4933
LEAPS_85_30_TREASURY_ROLL_18M,30,63,5000,0.1383738901,0.04112151818,86.44628842,46.86445626,-0.4443910386,-0.8277107161,0.2129844963,0.9023699594,0.6464889296,0.0199975,0.001413333333,pooled overlapping windows,0.0968,0.07236018712,8.133210263,0.08560998882,11.75614164,0.1368214109,46.86445626,0.1923752657,196.1071361,0.2073443158,285.1322069,0.7164,0.2554,0.0546,0.0014,1.19640178,1.194213395,0.3647209435,0.4032359056,0,0.244,0.05263157895,0.0572,0,0.2146755609,20,20,1.096469476,4947
LEAPS_95_50_TREASURY_ROLL_9M,30,63,5000,0.1703792509,0.07459941583,700.6867289,100.0369646,-0.6737896741,-0.9796540267,0.3867400824,0.7694196358,0.3476900146,0.07985583333,0.02183666667,pooled overlapping windows,0.0964,0.05420181339,4.872413625,0.07672548694,9.187425014,0.1659205945,100.0369646,0.2679539244,1239.496528,0.2987080482,2543.908412,1,0.982,0.7842,0.2448,2.226766307,2.226359318,0.6250621743,0.642788331,0,0.2586,0.02941176471,0.02815882353,0,0.1906,35,35,2.053583584,5000
