strategy,horizon_years,block_days,paths,mean_cagr,sd_cagr,mean_terminal_wealth,median_terminal_wealth,median_max_drawdown,worst_max_drawdown,median_annualized_volatility,median_min_wealth,p5_min_wealth,prob_negative_10y,prob_negative_20y,negative_20y_basis,prob_below_sp500,cagr_p5,terminal_wealth_p5,cagr_p10,terminal_wealth_p10,cagr_p50,terminal_wealth_p50,cagr_p90,terminal_wealth_p90,cagr_p95,terminal_wealth_p95,prob_drawdown_worse_than_40,prob_drawdown_worse_than_50,prob_drawdown_worse_than_60,prob_drawdown_worse_than_75,mean_delta_exposure_median,mean_delta_exposure_mean,min_exposure_after_loss_median,min_exposure_after_loss_mean,consecutive_poor_rolls_median,consecutive_poor_rolls_mean,depleted_roll_fraction_median,depleted_roll_fraction_mean,underexposed_recovery_median,underexposed_recovery_mean,rolls_median,rolls_mean,mean_delta_exposure_p5,paths_with_major_loss
SP500_1X,20,21,2000,0.1130316671,0.04006527996,10.79510678,8.540029265,-0.3670828999,-0.8222385609,0.1826167162,0.924964593,0.6506504886,0.02139166667,0.0035,across paths,0,0.04799677331,2.553870883,0.06140587751,3.293288604,0.1131994037,8.540029265,0.1654953934,21.39002863,0.1802041155,27.4879842,0.36,0.127,0.0225,0.0015,,,,,,,,,,,,,,0
UPRO_SMA_TO_SP500,20,21,2000,0.1111498607,0.1073699893,52.14205936,6.787746336,-0.7739793925,-0.9929044458,0.4319945459,0.6139671096,0.1398094981,0.2283291667,0.144,across paths,0.558,-0.04783924707,0.3751507335,-0.01870531157,0.6854708104,0.1004904551,6.787746336,0.2544654023,93.14805914,0.3033877125,200.2044238,1,0.9965,0.937,0.5865,,,,,,,,,,,,,,0
UPRO60_TMF40,20,21,2000,0.1553654908,0.08105984389,43.59310008,18.13230164,-0.6283394573,-0.9539132991,0.3271925281,0.7954392861,0.3304993475,0.079325,0.0235,across paths,0.2045,0.02221665521,1.551883557,0.04898049925,2.602246068,0.1559063347,18.13230164,0.2546304129,93.39340878,0.2875038642,156.6645819,0.988,0.8925,0.595,0.1735,,,,,,,,,,,,,,0
LEAPS_80_25_TREASURY,20,21,2000,0.1197195359,0.04032930728,12.21495224,9.733168074,-0.3366210696,-0.6681122746,0.174152601,0.9263338286,0.6932122431,0.01495,0.001,across paths,0.381,0.05223785919,2.768717164,0.0670571369,3.662306551,0.1205021854,9.733168074,0.16842012,22.48953835,0.1864429918,30.54486373,0.213,0.044,0.006,0,0.883295354,0.8829890241,0.5207918586,0.5127037957,0,0.1055,0,0.02147368421,0,0.1197771588,20,20,0.8223199941,1436
LEAPS_85_30_TREASURY,20,21,2000,0.1337614472,0.05087926264,17.94132372,12.35463371,-0.4036526797,-0.7355822836,0.217591337,0.9026434899,0.6219422098,0.02601666667,0.0025,across paths,0.1695,0.05199819544,2.756136365,0.0690680812,3.802839037,0.133943702,12.35463371,0.1962972555,36.03978019,0.2170856551,50.86545375,0.52,0.169,0.036,0,1.158694558,1.158333351,0.5161450654,0.5393057274,0,0.151,0,0.03002631579,0,0.1325494388,20,20,1.071303294,1871
LEAPS_95_50_TREASURY,20,21,2000,0.1654297624,0.097427671,78.06305435,20.16322548,-0.6629545285,-0.9636049729,0.412254881,0.7513702765,0.2948262499,0.09901666667,0.0375,across paths,0.188,0.01250790708,1.282238864,0.04629734851,2.472307551,0.1620585051,20.16322548,0.2919389287,167.8184482,0.3344017686,320.4292689,0.9985,0.967,0.728,0.2385,2.2495116,2.248731859,0.747604837,0.7696983654,0,0.2945,0.05263157895,0.05260526316,0,0.1025,20,20,2.066613015,2000
SP500_1X,30,21,2000,0.1127334911,0.03291209448,35.40694021,25.33295758,-0.4032306991,-0.8222385609,0.1828558577,0.9249048031,0.6489724817,0.02190833333,0.002958333333,pooled overlapping windows,0,0.05856584759,5.5153134,0.06966222712,7.541189885,0.1137491613,25.33295758,0.1561039845,77.62350904,0.1663882902,101.247918,0.5145,0.184,0.0355,0.002,,,,,,,,,,,,,,0
UPRO_SMA_TO_SP500,30,21,2000,0.1087868987,0.08773344625,290.5837778,17.24818246,-0.8246071387,-0.9997260312,0.4333022753,0.5972887546,0.1207495818,0.2371645833,0.1504541667,pooled overlapping windows,0.5675,-0.0237584678,0.4860759371,0.001249285352,1.03816723,0.09957002699,17.24818246,0.2267314073,459.8392472,0.2644748656,1141.43149,1,1,0.981,0.756,,,,,,,,,,,,,,0
UPRO60_TMF40,30,21,2000,0.1534289622,0.0658543459,255.8970952,74.86019489,-0.6730229844,-0.9603829994,0.3275540605,0.7934960361,0.3235885417,0.08382083333,0.02779166667,pooled overlapping windows,0.1535,0.04536333021,3.78481929,0.06876254107,7.353212634,0.1547079897,74.86019489,0.2371877937,593.1922664,0.2618311301,1071.952917,0.9985,0.969,0.7575,0.256,,,,,,,,,,,,,,0
LEAPS_80_25_TREASURY,30,21,2000,0.1187361371,0.03287784455,41.49719415,29.47324497,-0.3647991026,-0.6811532501,0.1743790594,0.9263338286,0.6932122431,0.01615625,0.0009833333333,pooled overlapping windows,0.3785,0.06416495711,6.461146184,0.07742903594,9.369245019,0.1193829735,29.47324497,0.1597700283,85.35818546,0.1718658173,116.5281747,0.32,0.0685,0.0095,0,0.8840841616,0.8828335487,0.4634839315,0.4701285598,0,0.166,0,0.02165517241,0,0.1171693735,30,30,0.832165399,1724
LEAPS_85_30_TREASURY,30,21,2000,0.1325455804,0.04159434532,73.46420343,42.79949306,-0.4358834687,-0.7615612199,0.2179131158,0.9026097165,0.6201995918,0.02739166667,0.003354166667,pooled overlapping windows,0.137,0.06545814622,6.701059726,0.08004984465,10.07767024,0.133388505,42.79949306,0.1851881269,163.5764747,0.1999006644,236.8469684,0.6975,0.249,0.0545,0.001,1.159357107,1.158011349,0.4361303144,0.458682611,0,0.2335,0.03448275862,0.03,0,0.1243023846,30,30,1.085232744,1971
LEAPS_95_50_TREASURY,30,21,2000,0.162811393,0.07975243364,614.6071615,87.23498876,-0.7120785626,-0.9860644209,0.4125746081,0.7512574134,0.285367287,0.1060395833,0.0400375,pooled overlapping windows,0.154,0.03563940976,2.859420338,0.06202936665,6.083232554,0.1606109624,87.23498876,0.2681083479,1244.034989,0.2970754547,2449.69635,1,0.9955,0.8795,0.3585,2.248579628,2.247836244,0.6105574875,0.6331621427,0,0.425,0.03448275862,0.05293103448,0,0.097,30,30,2.09583498,2000
SP500_1X,20,63,5000,0.1124509016,0.03782967873,10.44101945,8.56749408,-0.3877253433,-0.7886772753,0.1818148051,0.9211412831,0.6381517088,0.01892333333,0.0018,across paths,0,0.05038632973,2.672890853,0.06428365856,3.476545182,0.113378141,8.56749408,0.1599360013,19.4392972,0.1727436858,24.21375721,0.4376,0.1314,0.0282,0.001,,,,,,,,,,,,,,0
UPRO_SMA_TO_SP500,20,63,5000,0.1207599814,0.1011687408,54.22678905,8.970345887,-0.7465605818,-0.9893742006,0.4095267658,0.6494268943,0.1774332966,0.1982816667,0.1112,across paths,0.4696,-0.0342799258,0.4977659697,-0.006027366092,0.8861118861,0.1159390067,8.970345887,0.2502446712,87.07635872,0.2925166139,169.3256243,1,0.9924,0.9038,0.4884,,,,,,,,,,,,,,0
UPRO60_TMF40,20,63,5000,0.1562099063,0.07489406862,39.43335107,17.80980071,-0.6216529889,-0.9551984567,0.3198853176,0.7955387756,0.3575713231,0.06374666667,0.014,across paths,0.1672,0.035328255,2.002448392,0.06031368757,3.226170799,0.1548696094,17.80980071,0.2529636702,90.94307632,0.2825963083,145.1442138,0.9906,0.8984,0.5802,0.146,,,,,,,,,,,,,,0
LEAPS_80_25_TREASURY,20,63,5000,0.1209098052,0.03844367231,12.25890067,9.725688153,-0.3379285886,-0.7261880101,0.1677146165,0.9288495919,0.7201349017,0.01036,0.0008,across paths,0.366,0.05917441864,3.157545923,0.07246840803,4.052193347,0.1204591217,9.725688153,0.1707685706,23.41106214,0.1848586376,29.73930532,0.2154,0.0362,0.0044,0,0.8932524923,0.8910686645,0.4815108086,0.4982342315,0,0.0978,0,0.01931578947,0,0.1765028822,20,20,0.8199764592,3643
LEAPS_85_30_TREASURY,20,63,5000,0.1361413446,0.04882109909,18.32762725,12.44928797,-0.4005432031,-0.8012865876,0.2087666716,0.9034387301,0.6539855822,0.01806,0.0014,across paths,0.1546,0.05913847757,3.155403917,0.07425518159,4.189374248,0.1343765115,12.44928797,0.1990428506,37.73063371,0.2172541495,51.00647534,0.5028,0.138,0.0224,0.0008,1.176782813,1.173786257,0.4763642926,0.5228400993,0,0.1344,0,0.02514736842,0,0.2091880342,20,20,1.069552713,4680
LEAPS_95_50_TREASURY,20,63,5000,0.173588434,0.09559150483,93.72999615,22.64946122,-0.6501712168,-0.9642655145,0.3968635044,0.7587606251,0.3260904738,0.08706,0.0264,across paths,0.1514,0.02430997859,1.616694909,0.05406955865,2.866721107,0.1688341317,22.64946122,0.2962654648,179.4233737,0.3375072951,335.6782474,0.9998,0.9518,0.6954,0.1982,2.30092698,2.296305995,0.6710736159,0.7098100534,0,0.2418,0.05263157895,0.04450526316,0,0.1856,20,20,2.074144397,5000
SP500_1X,30,63,5000,0.1124428301,0.03064523035,33.77636138,24.46796482,-0.415347138,-0.801888118,0.1825202663,0.9210236015,0.6381517088,0.01864333333,0.00207,pooled overlapping windows,0,0.06218612231,6.11018781,0.07287523252,8.25122486,0.1124602013,24.46796482,0.1520208582,69.80627221,0.1632783918,93.4544488,0.5732,0.1958,0.0428,0.0016,,,,,,,,,,,,,,0
UPRO_SMA_TO_SP500,30,63,5000,0.1190808686,0.08199768407,385.599815,26.60336635,-0.7914847396,-0.9946539684,0.4108697888,0.6405010168,0.1566630966,0.1980383333,0.111605,pooled overlapping windows,0.4716,-0.009452523941,0.7520618498,0.01687502863,1.652104593,0.1155671461,26.60336635,0.2244542995,434.909345,0.2595365902,1014.98785,1,0.999,0.9736,0.6522,,,,,,,,,,,,,,0
UPRO60_TMF40,30,63,5000,0.1554679433,0.06078884745,242.5304069,73.54790329,-0.6621583807,-0.9688078126,0.3200346055,0.7955258245,0.3569313229,0.06400083333,0.01667666667,pooled overlapping windows,0.131,0.0575716091,5.361999894,0.07817506693,9.565846817,0.1540275213,73.54790329,0.2349507398,561.8425348,0.2567609764,949.9849723,0.9998,0.968,0.726,0.219,,,,,,,,,,,,,,0
LEAPS_80_25_TREASURY,30,63,5000,0.1206014259,0.03125966977,42.67204723,30.07316107,-0.3632403868,-0.7261880101,0.1679704745,0.9288495919,0.7201349017,0.010475,0.0005266666667,pooled overlapping windows,0.3376,0.07014075547,7.643062994,0.08073378531,10.27089129,0.1201350522,30.07316107,0.1611110032,88.36923194,0.1726321753,118.8362349,0.312,0.0618,0.0068,0,0.8930707881,0.8918410092,0.4294402278,0.4608465545,0,0.1426,0,0.01892413793,0,0.1755442334,30,30,0.8354310588,4318
