strategy,horizon_years,block_days,threshold,probability
SP500_1X,20,63,0.4,0.4376
SP500_1X,20,63,0.5,0.1314
SP500_1X,20,63,0.6,0.0282
SP500_1X,20,63,0.75,0.001
UPRO_SMA_TO_SP500,20,63,0.4,1
UPRO_SMA_TO_SP500,20,63,0.5,0.9924
UPRO_SMA_TO_SP500,20,63,0.6,0.9038
UPRO_SMA_TO_SP500,20,63,0.75,0.4884
UPRO60_TMF40,20,63,0.4,0.9906
UPRO60_TMF40,20,63,0.5,0.8984
UPRO60_TMF40,20,63,0.6,0.5802
UPRO60_TMF40,20,63,0.75,0.146
LEAPS_80_25_TREASURY_ROLL_9M,20,63,0.4,0.1944
LEAPS_80_25_TREASURY_ROLL_9M,20,63,0.5,0.0332
LEAPS_80_25_TREASURY_ROLL_9M,20,63,0.6,0.0028
LEAPS_80_25_TREASURY_ROLL_9M,20,63,0.75,0
LEAPS_80_25_TREASURY,20,63,0.4,0.2154
LEAPS_80_25_TREASURY,20,63,0.5,0.0362
LEAPS_80_25_TREASURY,20,63,0.6,0.0044
LEAPS_80_25_TREASURY,20,63,0.75,0
LEAPS_80_25_TREASURY_ROLL_18M,20,63,0.4,0.2414
LEAPS_80_25_TREASURY_ROLL_18M,20,63,0.5,0.0458
LEAPS_80_25_TREASURY_ROLL_18M,20,63,0.6,0.0044
LEAPS_80_25_TREASURY_ROLL_18M,20,63,0.75,0
LEAPS_85_30_TREASURY_ROLL_9M,20,63,0.4,0.4538
LEAPS_85_30_TREASURY_ROLL_9M,20,63,0.5,0.1184
LEAPS_85_30_TREASURY_ROLL_9M,20,63,0.6,0.0188
LEAPS_85_30_TREASURY_ROLL_9M,20,63,0.75,0.0004
LEAPS_85_30_TREASURY,20,63,0.4,0.5028
LEAPS_85_30_TREASURY,20,63,0.5,0.138
LEAPS_85_30_TREASURY,20,63,0.6,0.0224
LEAPS_85_30_TREASURY,20,63,0.75,0.0008
LEAPS_85_30_TREASURY_ROLL_18M,20,63,0.4,0.572
LEAPS_85_30_TREASURY_ROLL_18M,20,63,0.5,0.172
LEAPS_85_30_TREASURY_ROLL_18M,20,63,0.6,0.0318
LEAPS_85_30_TREASURY_ROLL_18M,20,63,0.75,0.0002
LEAPS_95_50_TREASURY_ROLL_9M,20,63,0.4,0.9986
LEAPS_95_50_TREASURY_ROLL_9M,20,63,0.5,0.9348
LEAPS_95_50_TREASURY_ROLL_9M,20,63,0.6,0.6288
LEAPS_95_50_TREASURY_ROLL_9M,20,63,0.75,0.1584
LEAPS_95_50_TREASURY,20,63,0.4,0.9998
LEAPS_95_50_TREASURY,20,63,0.5,0.9518
LEAPS_95_50_TREASURY,20,63,0.6,0.6954
LEAPS_95_50_TREASURY,20,63,0.75,0.1982
LEAPS_95_50_TREASURY_ROLL_18M,20,63,0.4,0.9998
LEAPS_95_50_TREASURY_ROLL_18M,20,63,0.5,0.971
LEAPS_95_50_TREASURY_ROLL_18M,20,63,0.6,0.7688
LEAPS_95_50_TREASURY_ROLL_18M,20,63,0.75,0.2532
SP500_1X,30,63,0.4,0.5732
SP500_1X,30,63,0.5,0.1958
SP500_1X,30,63,0.6,0.0428
SP500_1X,30,63,0.75,0.0016
UPRO_SMA_TO_SP500,30,63,0.4,1
UPRO_SMA_TO_SP500,30,63,0.5,0.999
UPRO_SMA_TO_SP500,30,63,0.6,0.9736
UPRO_SMA_TO_SP500,30,63,0.75,0.6522
UPRO60_TMF40,30,63,0.4,0.9998
UPRO60_TMF40,30,63,0.5,0.968
UPRO60_TMF40,30,63,0.6,0.726
UPRO60_TMF40,30,63,0.75,0.219
LEAPS_80_25_TREASURY_ROLL_9M,30,63,0.4,0.2878
LEAPS_80_25_TREASURY_ROLL_9M,30,63,0.5,0.057
LEAPS_80_25_TREASURY_ROLL_9M,30,63,0.6,0.0054
LEAPS_80_25_TREASURY_ROLL_9M,30,63,0.75,0
LEAPS_80_25_TREASURY,30,63,0.4,0.312
LEAPS_80_25_TREASURY,30,63,0.5,0.0618
LEAPS_80_25_TREASURY,30,63,0.6,0.0068
LEAPS_80_25_TREASURY,30,63,0.75,0
LEAPS_80_25_TREASURY_ROLL_18M,30,63,0.4,0.3488
LEAPS_80_25_TREASURY_ROLL_18M,30,63,0.5,0.076
LEAPS_80_25_TREASURY_ROLL_18M,30,63,0.6,0.0086
LEAPS_80_25_TREASURY_ROLL_18M,30,63,0.75,0
LEAPS_85_30_TREASURY_ROLL_9M,30,63,0.4,0.6062
LEAPS_85_30_TREASURY_ROLL_9M,30,63,0.5,0.18
LEAPS_85_30_TREASURY_ROLL_9M,30,63,0.6,0.0344
LEAPS_85_30_TREASURY_ROLL_9M,30,63,0.75,0.001
LEAPS_85_30_TREASURY,30,63,0.4,0.6556
LEAPS_85_30_TREASURY,30,63,0.5,0.2042
LEAPS_85_30_TREASURY,30,63,0.6,0.0396
