strategy,horizon_years,block_days,metric,statistic,value
SP500_1X,20,63,cagr,p5,0.05038632973
SP500_1X,20,63,cagr,p10,0.06428365856
SP500_1X,20,63,cagr,p50,0.113378141
SP500_1X,20,63,cagr,p90,0.1599360013
SP500_1X,20,63,cagr,p95,0.1727436858
SP500_1X,20,63,cagr,mean,0.1124509016
SP500_1X,20,63,terminal_wealth,p5,2.672890853
SP500_1X,20,63,terminal_wealth,p10,3.476545182
SP500_1X,20,63,terminal_wealth,p50,8.56749408
SP500_1X,20,63,terminal_wealth,p90,19.4392972
SP500_1X,20,63,terminal_wealth,p95,24.21375721
SP500_1X,20,63,terminal_wealth,mean,10.44101945
UPRO_SMA_TO_SP500,20,63,cagr,p5,-0.0342799258
UPRO_SMA_TO_SP500,20,63,cagr,p10,-0.006027366092
UPRO_SMA_TO_SP500,20,63,cagr,p50,0.1159390067
UPRO_SMA_TO_SP500,20,63,cagr,p90,0.2502446712
UPRO_SMA_TO_SP500,20,63,cagr,p95,0.2925166139
UPRO_SMA_TO_SP500,20,63,cagr,mean,0.1207599814
UPRO_SMA_TO_SP500,20,63,terminal_wealth,p5,0.4977659697
UPRO_SMA_TO_SP500,20,63,terminal_wealth,p10,0.8861118861
UPRO_SMA_TO_SP500,20,63,terminal_wealth,p50,8.970345887
UPRO_SMA_TO_SP500,20,63,terminal_wealth,p90,87.07635872
UPRO_SMA_TO_SP500,20,63,terminal_wealth,p95,169.3256243
UPRO_SMA_TO_SP500,20,63,terminal_wealth,mean,54.22678905
UPRO60_TMF40,20,63,cagr,p5,0.035328255
UPRO60_TMF40,20,63,cagr,p10,0.06031368757
UPRO60_TMF40,20,63,cagr,p50,0.1548696094
UPRO60_TMF40,20,63,cagr,p90,0.2529636702
UPRO60_TMF40,20,63,cagr,p95,0.2825963083
UPRO60_TMF40,20,63,cagr,mean,0.1562099063
UPRO60_TMF40,20,63,terminal_wealth,p5,2.002448392
UPRO60_TMF40,20,63,terminal_wealth,p10,3.226170799
UPRO60_TMF40,20,63,terminal_wealth,p50,17.80980071
UPRO60_TMF40,20,63,terminal_wealth,p90,90.94307632
UPRO60_TMF40,20,63,terminal_wealth,p95,145.1442138
UPRO60_TMF40,20,63,terminal_wealth,mean,39.43335107
LEAPS_80_25_TREASURY_ROLL_9M,20,63,cagr,p5,0.05895818343
LEAPS_80_25_TREASURY_ROLL_9M,20,63,cagr,p10,0.07124546142
LEAPS_80_25_TREASURY_ROLL_9M,20,63,cagr,p50,0.1188560877
LEAPS_80_25_TREASURY_ROLL_9M,20,63,cagr,p90,0.1676105993
LEAPS_80_25_TREASURY_ROLL_9M,20,63,cagr,p95,0.1822263737
LEAPS_80_25_TREASURY_ROLL_9M,20,63,cagr,mean,0.1189326545
LEAPS_80_25_TREASURY_ROLL_9M,20,63,terminal_wealth,p5,3.144678286
LEAPS_80_25_TREASURY_ROLL_9M,20,63,terminal_wealth,p10,3.960772509
LEAPS_80_25_TREASURY_ROLL_9M,20,63,terminal_wealth,p50,9.451148492
LEAPS_80_25_TREASURY_ROLL_9M,20,63,terminal_wealth,p90,22.17995091
LEAPS_80_25_TREASURY_ROLL_9M,20,63,terminal_wealth,p95,28.44545414
LEAPS_80_25_TREASURY_ROLL_9M,20,63,terminal_wealth,mean,11.71621594
LEAPS_80_25_TREASURY,20,63,cagr,p5,0.05917441864
LEAPS_80_25_TREASURY,20,63,cagr,p10,0.07246840803
LEAPS_80_25_TREASURY,20,63,cagr,p50,0.1204591217
LEAPS_80_25_TREASURY,20,63,cagr,p90,0.1707685706
LEAPS_80_25_TREASURY,20,63,cagr,p95,0.1848586376
LEAPS_80_25_TREASURY,20,63,cagr,mean,0.1209098052
LEAPS_80_25_TREASURY,20,63,terminal_wealth,p5,3.157545923
LEAPS_80_25_TREASURY,20,63,terminal_wealth,p10,4.052193347
LEAPS_80_25_TREASURY,20,63,terminal_wealth,p50,9.725688153
LEAPS_80_25_TREASURY,20,63,terminal_wealth,p90,23.41106214
LEAPS_80_25_TREASURY,20,63,terminal_wealth,p95,29.73930532
LEAPS_80_25_TREASURY,20,63,terminal_wealth,mean,12.25890067
LEAPS_80_25_TREASURY_ROLL_18M,20,63,cagr,p5,0.0595346563
LEAPS_80_25_TREASURY_ROLL_18M,20,63,cagr,p10,0.07242289779
LEAPS_80_25_TREASURY_ROLL_18M,20,63,cagr,p50,0.1222358983
LEAPS_80_25_TREASURY_ROLL_18M,20,63,cagr,p90,0.1738953815
LEAPS_80_25_TREASURY_ROLL_18M,20,63,cagr,p95,0.1887934685
LEAPS_80_25_TREASURY_ROLL_18M,20,63,cagr,mean,0.1229836629
LEAPS_80_25_TREASURY_ROLL_18M,20,63,terminal_wealth,p5,3.179094073
