strategy,horizon_years,block_days,historical_rank,mean_rank,modal_rank,prob_at_historical_rank,prob_top_two,prob_bottom_two
SP500_1X,20,63,6,4.6912,5,0.313,0.0916,0.687
UPRO_SMA_TO_SP500,20,63,2,4.2186,6,0.1718,0.2562,0.5292
UPRO60_TMF40,20,63,3,2.5192,2,0.248,0.5584,0.097
LEAPS_80_25_TREASURY,20,63,5,4.3594,5,0.3088,0.1272,0.5326
LEAPS_85_30_TREASURY,20,63,4,3.158,3,0.3388,0.2212,0.0422
LEAPS_95_50_TREASURY,20,63,1,2.0536,1,0.5226,0.7454,0.112
SP500_1X,30,63,6,4.8356,5,0.3346,0.0716,0.7392
UPRO_SMA_TO_SP500,30,63,2,4.3352,6,0.1576,0.2124,0.5382
UPRO60_TMF40,30,63,3,2.389,2,0.2296,0.6198,0.0752
LEAPS_80_25_TREASURY,30,63,5,4.4634,5,0.3368,0.0868,0.5444
LEAPS_85_30_TREASURY,30,63,4,3.152,3,0.3352,0.2006,0.0284
LEAPS_95_50_TREASURY,30,63,1,1.8248,1,0.5958,0.8088,0.0746
