structure,roll,nominal_interval_years,moneyness,premium_budget,cagr,terminal_multiple,annualized_volatility,max_drawdown,mean_delta_exposure,delta_exposure_sd,delta_exposure_p5,mean_option_weight,rolls,mean_entry_years,min_entry_years,max_entry_years,mean_exit_years,mean_held_years,option_turnover_per_year,cost_drag_bps,cohort_10y_min_cagr,cohort_20y_min_cagr,cohort_20y_median_cagr,cohort_20y_sd_cagr,cohort_30y_min_cagr,cohort_30y_median_cagr,1987_crash,2000_2002_bust,2008_2009_gfc,2020_covid,2022_rates
LEAPS_80_25_TREASURY,6m,0.5,0.8,0.25,0.1149560536,77.05780023,0.1579581978,-0.441194777,0.8914473534,0.156869207,0.6425016255,0.2582857985,79,2.000433204,1.993155373,2.223134839,1.49756928,0.5029221292,0.4946641638,118.3722475,0.01958756247,0.07728507044,0.1057516275,0.01042889227,0.09881970108,0.1178772279,-0.1999081323,-0.2614441451,-0.2624450518,-0.1062895748,-0.4282993515
LEAPS_80_25_TREASURY,9m,0.75,0.8,0.25,0.1215772636,97.60777178,0.1572337078,-0.4555570955,0.8890974453,0.1729977119,0.5597362258,0.2663579148,47,2.098999519,1.746748802,2.245037645,1.248459959,0.8473648186,0.2942938696,74.1006548,0.03125284952,0.08751457639,0.1118883671,0.01164618929,0.1053131147,0.1247058704,-0.1721073297,-0.2144523154,-0.2124458484,-0.1417579617,-0.4396522336
LEAPS_80_25_TREASURY,12m,1,0.8,0.25,0.1246550497,108.8935242,0.1625605479,-0.4587386717,0.9172115733,0.1717032886,0.645251801,0.2738215529,40,2.004928131,1.995893224,2.223134839,0.9993155373,1.005844258,0.2504628677,64.74827883,0.03713561393,0.09364541465,0.1206036985,0.009443442407,0.1116762301,0.1295901317,-0.3006755545,-0.2053241593,-0.2249948211,-0.1062895748,-0.4362337222
LEAPS_80_25_TREASURY,13m,1.083333333,0.8,0.25,0.1253623587,111.6615764,0.1636567743,-0.462467537,0.9167975695,0.1729481797,0.6129431325,0.2668973493,40,1.917316906,1.828884326,2.223134839,0.9094578704,1.010126538,0.2504628677,64.8986659,0.03096363367,0.09311711305,0.120971808,0.009451118083,0.1122446281,0.129709777,-0.3006755545,-0.2351204548,-0.2484179273,-0.09512095285,-0.4434839551
LEAPS_80_25_TREASURY,18m,1.5,0.8,0.25,0.1295608582,129.5609737,0.1638698053,-0.4642373583,0.9091984366,0.2066223359,0.4554063196,0.2719754818,27,2.006641823,1.993155373,2.223134839,0.4982888433,1.50887169,0.1690624357,46.86573004,0.03241555949,0.0950086636,0.1219978564,0.009687246852,0.1151034163,0.1327607255,-0.3006755545,-0.1911864556,-0.1197181734,-0.103797489,-0.4477203584
LEAPS_85_30_TREASURY,6m,0.5,0.85,0.3,0.1300518074,131.828416,0.1941195772,-0.4750930365,1.184867566,0.2375135265,0.817042972,0.3090414553,79,2.000433204,1.993155373,2.223134839,1.49756928,0.5029221292,0.5935969965,143.3044763,-0.0007065251998,0.07620070861,0.1152426654,0.01286219417,0.111013543,0.1295064326,-0.2474640799,-0.3900872487,-0.3637314145,-0.1624127586,-0.4653790021
LEAPS_85_30_TREASURY,9m,0.75,0.85,0.3,0.1389696413,180.4298731,0.1931564418,-0.4933745353,1.179386998,0.2550524259,0.7218627479,0.318134355,47,2.098999519,1.746748802,2.245037645,1.248459959,0.8473648186,0.3531526435,89.53858371,0.01714494122,0.09132627875,0.1228252536,0.01322501782,0.1196648049,0.1391249179,-0.2120028561,-0.3359145083,-0.3045859186,-0.2062661903,-0.4828541085
LEAPS_85_30_TREASURY,12m,1,0.85,0.3,0.1425885916,204.7934226,0.2010073597,-0.4944916535,1.220249952,0.2602081258,0.811263118,0.3266264966,40,2.004928131,1.995893224,2.223134839,0.9993155373,1.005844258,0.3005554413,78.05050877,0.02171569589,0.09742096999,0.1339706038,0.01151883128,0.128998442,0.1466392412,-0.3714916809,-0.3292566776,-0.3207148526,-0.1624127586,-0.4743809287
LEAPS_85_30_TREASURY,13m,1.083333333,0.85,0.3,0.1436808998,212.7574208,0.2025899762,-0.5020841412,1.224355301,0.2617000243,0.7776256734,0.3182062657,40,1.917316906,1.828884326,2.223134839,0.9094578704,1.010126538,0.3005554413,78.29141888,0.01387224336,0.09634730904,0.1347850168,0.01186132118,0.1296437312,0.1478446677,-0.3714916809,-0.3631300155,-0.3512032616,-0.1468951143,-0.4865236938
LEAPS_85_30_TREASURY,18m,1.5,0.85,0.3,0.150429863,269.0958276,0.2027222123,-0.5077446901,1.21394894,0.3024086124,0.5602741337,0.3237536513,27,2.006641823,1.993155373,2.223134839,0.4982888433,1.50887169,0.2028749229,56.47185259,0.01793798209,0.1015668561,0.1380410556,0.01218056521,0.135314368,0.1534928579,-0.3714916809,-0.307954994,-0.1971395596,-0.1591674601,-0.4943410365
LEAPS_95_50_TREASURY,6m,0.5,0.95,0.5,0.1718152366,561.4038956,0.3713965043,-0.7672184638,2.379940892,0.5781730764,1.535045718,0.5060988823,79,2.000433204,1.993155373,2.223134839,1.49756928,0.5029221292,0.9893283275,239.9355956,-0.09734164044,0.04981806638,0.128898701,0.03005050435,0.1331557587,0.1597994243,-0.4131135413,-0.7373669142,-0.6695133926,-0.3730332415,-0.6038450978
LEAPS_95_50_TREASURY,9m,0.75,0.95,0.5,0.188881906,999.9868645,0.3673232354,-0.6883145026,2.348654373,0.5965716987,1.445820068,0.5144580388,47,2.098999519,1.746748802,2.245037645,1.248459959,0.8473648186,0.5885877391,147.0077595,-0.05717377847,0.08171235843,0.1489898192,0.02700995158,0.1518330388,0.178106359,-0.3496538994,-0.6883145026,-0.6077379171,-0.429644749,-0.6329108805
LEAPS_95_50_TREASURY,12m,1,0.95,0.5,0.1922001236,1117.69323,0.3805521523,-0.7285385375,2.432702719,0.6308044644,1.512943292,0.5226257289,40,2.004928131,1.995893224,2.223134839,0.9993155373,1.005844258,0.5009257354,125.9722905,-0.06251472697,0.08412129373,0.1577436087,0.02851161819,0.1543104168,0.1872692087,-0.5615300207,-0.6899907359,-0.6256702621,-0.3730332415,-0.6147016598
LEAPS_95_50_TREASURY,13m,1.083333333,0.95,0.5,0.193998847,1187.036344,0.3862846913,-0.7422267244,2.472123066,0.6408989172,1.493503958,0.5112995824,40,1.917316906,1.828884326,2.223134839,0.9094578704,1.010126538,0.5009257354,126.4673983,-0.07884982996,0.07683867363,0.1551909254,0.03037987725,0.1522615453,0.1886757074,-0.5615300207,-0.7200578326,-0.6676187711,-0.348693406,-0.6338236615
LEAPS_95_50_TREASURY,18m,1.5,0.95,0.5,0.2097096281,2000.476876,0.3835991675,-0.6847361224,2.442610738,0.7093289276,1.067175949,0.5119487103,27,2.006641823,1.993155373,2.223134839,0.4982888433,1.50887169,0.3381248714,88.76186482,-0.06240737377,0.09774249338,0.1667472907,0.0303579261,0.1676264481,0.2026786571,-0.5615300207,-0.6596244618,-0.4758010933,-0.3682428391,-0.6509530707
