strategy,median_30y_cagr,p5_30y_cagr,median_max_drawdown,prob_drawdown_worse_than_60,rates_shock_2022,synthetic_shock,prob_below_sp500
SP500_1X,0.1124602013,0.06218612231,-0.415347138,0.0428,-0.2400993568,-0.5611961429,0
LEAPS_80_25_TSY100,0.1201350522,0.07014075547,-0.3632403868,0.0068,-0.4362337222,-0.7997398486,0.3376
LEAPS_85_30_TSY100,0.1348371042,0.07277480346,-0.430445584,0.0396,-0.4743809287,-0.827779032,0.1188
LEAPS_95_50_TSY100,0.1681550048,0.05265139301,-0.6927455064,0.8328,-0.6147016598,-0.9127353063,0.1054
LEAPS_80_25_TSY125,0.1231207336,0.06888806678,-0.393402872,0.0222,-0.4853969815,-0.8485203796,0.3246
LEAPS_85_30_TSY125,0.138053283,0.07312407385,-0.4509898775,0.0706,-0.5201370441,-0.8695207863,0.1306
LEAPS_95_50_TSY125,0.1705467656,0.05486128058,-0.6950090976,0.8408,-0.6470158178,-0.933045157,0.0962
LEAPS_80_25_TSY150,0.1254348824,0.06653428004,-0.4285933276,0.056,-0.5306167927,-0.8857457555,0.321
LEAPS_85_30_TSY150,0.1398572106,0.07166976415,-0.4755151354,0.1136,-0.5622195046,-0.9014215329,0.1472
LEAPS_95_50_TSY150,0.1730798877,0.05655071525,-0.6992062331,0.8532,-0.6767250232,-0.9487207373,0.0912
LEAPS_80_25_TSY200,0.1280964373,0.05888547792,-0.5027342509,0.1918,-0.6101098235,-0.9354421133,0.3374
LEAPS_85_30_TSY200,0.1437681297,0.06670558097,-0.5324867385,0.272,-0.6361881091,-0.944104773,0.1858
LEAPS_95_50_TSY200,0.1773509897,0.05721438103,-0.7124715722,0.8856,-0.7289170971,-0.9700229337,0.0916
