structure,treasury_leverage,implementation,strategy,cagr,annualized_volatility,max_drawdown,mean_delta_exposure,treasury_notional,gross_notional,financing_drag_bps,cohort_10y_min_cagr,cohort_20y_min_cagr,cohort_20y_median_cagr,cohort_20y_sd_cagr,cohort_30y_min_cagr,cohort_30y_median_cagr,1987_crash,2000_2002_bust,2008_2009_gfc,2020_covid,2022_rates,joint_loss_3m,joint_loss_12m,worst_joint_12m,worst_joint_leg,worst_joint_sleeve,worst_joint_end
LEAPS_80_25,1,constant_leverage,LEAPS_80_25_TSY100,0.1246550497,0.1625605479,-0.4587386717,0.9172115733,0.7261784471,1.64339002,0,0.03713561393,0.09364541465,0.1206036985,0.009443442407,0.1116762301,0.1295901317,-0.3006755545,-0.2053241593,-0.2249948211,-0.1062895748,-0.4362337222,0.01400420126,0.01672104405,-0.4494574805,-0.7097435493,-0.3591334156,2022-11-09
LEAPS_80_25,1.25,constant_leverage,LEAPS_80_25_TSY125,0.1272920596,0.1749776354,-0.5121077411,0.9181317142,0.9073422056,1.82547392,77.55571945,0.04575901523,0.101572607,0.1286638802,0.01071710823,0.1140122083,0.1360938072,-0.3052912593,-0.1656259667,-0.1926750285,-0.07940831161,-0.4853969815,0.01860558167,0.02141109299,-0.5038233842,-0.7097435493,-0.4323421133,2022-11-09
LEAPS_80_25,1.5,constant_leverage,LEAPS_80_25_TSY150,0.1293429582,0.1896756954,-0.5613065529,0.9195395309,1.088148755,2.007688286,156.1883509,0.05176443435,0.1060997176,0.1363582366,0.01279420441,0.115738783,0.1427776127,-0.3101906854,-0.1249267685,-0.1608823789,-0.0533366552,-0.5306167927,0.02150645194,0.02365415987,-0.5529222376,-0.7097435493,-0.4983896569,2022-11-09
LEAPS_80_25,2,constant_leverage,LEAPS_80_25_TSY200,0.1316956184,0.223916217,-0.6463626582,0.9238217332,1.448282259,2.372103993,315.9863028,0.03021299408,0.1050089666,0.1496981184,0.01836209207,0.1173854485,0.1556540757,-0.3207773996,-0.04073696862,-0.09951894291,-0.004148869461,-0.6101098235,0.03100930279,0.02599918434,-0.6368903813,-0.7097435493,-0.6111371,2022-11-09
LEAPS_85_30,1,constant_leverage,LEAPS_85_30_TSY100,0.1425885916,0.2010073597,-0.4944916535,1.220249952,0.6733735034,1.893623456,0,0.02171569589,0.09742096999,0.1339706038,0.01151883128,0.128998442,0.1466392412,-0.3714916809,-0.3292566776,-0.3207148526,-0.1624127586,-0.4743809287,0.01430429129,0.01672104405,-0.4834703528,-0.7629111469,-0.3591334156,2022-11-09
LEAPS_85_30,1.25,constant_leverage,LEAPS_85_30_TSY125,0.1451949775,0.209442742,-0.5434629998,1.221129664,0.8413624974,2.062492161,72.73117358,0.03034632445,0.1054205135,0.1403909771,0.01158348933,0.1313283156,0.1524477214,-0.3759951068,-0.2957594775,-0.2922056958,-0.1369224624,-0.5201370441,0.01910573172,0.02141109299,-0.5340476037,-0.7629111469,-0.4323421133,2022-11-09
LEAPS_85_30,1.5,constant_leverage,LEAPS_85_30_TSY150,0.1472765439,0.2200099273,-0.5877408882,1.222561613,1.009003426,2.231565039,146.4862336,0.0385360098,0.1128995571,0.1460592083,0.0125296562,0.1331145964,0.1568966655,-0.3807325371,-0.26139908,-0.2640907069,-0.1121503953,-0.5622195046,0.02230669201,0.02385807504,-0.5797291021,-0.7629111469,-0.4983896569,2022-11-09
LEAPS_85_30,2,constant_leverage,LEAPS_85_30_TSY200,0.1498740141,0.2462775538,-0.6648828476,1.227081867,1.342833217,2.569915084,296.4515781,0.04874377066,0.1228896549,0.1599650925,0.01650189771,0.1350757861,0.1682388409,-0.3908492145,-0.1902580217,-0.2095822423,-0.06526067033,-0.6361881091,0.03280984295,0.02640701468,-0.6578652277,-0.7629111469,-0.6111371,2022-11-09
LEAPS_95_50,1,constant_leverage,LEAPS_95_50_TSY100,0.1922001236,0.3805521523,-0.7285385375,2.432702719,0.4773742711,2.91007699,0,-0.06251472697,0.08412129373,0.1577436087,0.02851161819,0.1543104168,0.1872692087,-0.5615300207,-0.6899907359,-0.6256702621,-0.3730332415,-0.6147016598,0.01500450135,0.01672104405,-0.609469317,-0.8504102792,-0.3591334156,2022-11-09
LEAPS_95_50,1.25,constant_leverage,LEAPS_95_50_TSY125,0.1946118762,0.3818768249,-0.7156259928,2.433285091,0.5964872841,3.029772375,53.75600457,-0.05430938469,0.09179985488,0.1638938065,0.02703452472,0.1612192867,0.1920440959,-0.5645657287,-0.6748872624,-0.609348285,-0.3537772859,-0.6470158178,0.02050615185,0.02151305057,-0.6451763182,-0.8504102792,-0.4323421133,2022-11-09
