strategy,horizon_years,block_days,paths,mean_cagr,sd_cagr,mean_terminal_wealth,median_max_drawdown,max_drawdown_p90,max_drawdown_p95,worst_max_drawdown,median_annualized_volatility,median_min_wealth,p5_min_wealth,prob_negative_10y,prob_negative_20y,negative_20y_basis,prob_below_SP500_1X,prob_below_LEAPS_85_30_TSY100,prob_below_LEAPS_95_50_TSY100,cagr_p5,terminal_wealth_p5,cagr_p10,terminal_wealth_p10,cagr_p50,terminal_wealth_p50,cagr_p90,terminal_wealth_p90,cagr_p95,terminal_wealth_p95,prob_drawdown_worse_than_40,prob_drawdown_worse_than_50,prob_drawdown_worse_than_60,prob_drawdown_worse_than_75,mean_delta_exposure_median,mean_delta_exposure_p5,mean_delta_exposure_p95,treasury_notional_median,treasury_notional_p5,treasury_notional_p95,gross_notional_median,gross_notional_p5,gross_notional_p95
SP500_1X,20,21,2000,0.1130316671,0.04006527996,10.79510678,-0.3670828999,-0.5154755049,-0.554723132,-0.8222385609,0.1826167162,0.924964593,0.6506504886,0.02139166667,0.0035,across paths,0,0.8305,0.812,0.04799677331,2.553870883,0.06140587751,3.293288604,0.1131994037,8.540029265,0.1654953934,21.39002863,0.1802041155,27.4879842,0.36,0.127,0.0225,0.0015,,,,,,,,,
LEAPS_80_25_TSY100,20,21,2000,0.1197195359,0.04032930728,12.21495224,-0.3366210696,-0.4518318316,-0.4920320481,-0.6681122746,0.174152601,0.9263338286,0.6932122431,0.01495,0.001,across paths,0.381,0.8845,0.7635,0.05223785919,2.768717164,0.0670571369,3.662306551,0.1205021854,9.733168074,0.16842012,22.48953835,0.1864429918,30.54486373,0.213,0.044,0.006,0,0.883295354,0.8223199941,0.9396692802,0.7331092697,0.710240763,0.7572658821,1.616939887,1.572659578,1.657556641
LEAPS_85_30_TSY100,20,21,2000,0.1337614472,0.05087926264,17.94132372,-0.4036526797,-0.5335873837,-0.579523937,-0.7355822836,0.217591337,0.9026434899,0.6219422098,0.02601666667,0.0025,across paths,0.1695,0,0.7255,0.05199819544,2.756136365,0.0690680812,3.802839037,0.133943702,12.35463371,0.1962972555,36.03978019,0.2170856551,50.86545375,0.52,0.169,0.036,0,1.158694558,1.071303294,1.241352986,0.6825595084,0.655040778,0.7117375988,1.841813187,1.773266827,1.905726622
LEAPS_95_50_TSY100,20,21,2000,0.1654297624,0.097427671,78.06305435,-0.6629545285,-0.8239112667,-0.8645139363,-0.9636049729,0.412254881,0.7513702765,0.2948262499,0.09901666667,0.0375,across paths,0.188,0.2745,0,0.01250790708,1.282238864,0.04629734851,2.472307551,0.1620585051,20.16322548,0.2919389287,167.8184482,0.3344017686,320.4292689,0.9985,0.967,0.728,0.2385,2.2495116,2.066613015,2.420987397,0.492064644,0.4551575818,0.533613926,2.740801411,2.583774727,2.894475286
LEAPS_80_25_TSY125,20,21,2000,0.1224966147,0.04297677306,13.22008465,-0.3646346297,-0.4921365917,-0.5292438158,-0.7230859649,0.1843241512,0.917239023,0.6538685124,0.0195,0.001,across paths,0.359,0.779,0.738,0.05034137087,2.670603728,0.06678427905,3.643613133,0.1235323047,10.27333287,0.1752042336,25.25032371,0.1919859968,33.52929931,0.3425,0.084,0.019,0,0.8831415767,0.8212230401,0.9412508466,0.9165132048,0.8876615379,0.9467888955,1.79983873,1.758870866,1.83948693
LEAPS_85_30_TSY125,20,21,2000,0.136528913,0.05267353821,19.26513315,-0.4223250907,-0.5604296111,-0.6028352005,-0.7653720913,0.2239821407,0.8964879348,0.5944361367,0.02870416667,0.0025,across paths,0.1775,0.29,0.6985,0.04978958714,2.642683884,0.06804917251,3.730997508,0.1367945415,12.99091054,0.2001379973,38.42589826,0.2224060069,55.50232852,0.6105,0.2205,0.0515,0.0025,1.158155721,1.069446407,1.242831611,0.8533134634,0.818657498,0.8900814791,2.011931408,1.94774327,2.07413285
LEAPS_95_50_TSY125,20,21,2000,0.1679195959,0.0978089401,81.76799731,-0.6664174023,-0.8272496523,-0.8653829222,-0.964291527,0.4122421867,0.7524350335,0.2860142185,0.09729166667,0.036,across paths,0.1795,0.2515,0.26,0.01331805565,1.302914403,0.04681882425,2.497068695,0.163568535,20.6937886,0.2940123199,173.287927,0.3370482978,333.3818424,0.998,0.966,0.733,0.2425,2.247616769,2.06432373,2.421403798,0.6153408068,0.56830512,0.6678900348,2.863808975,2.710746775,3.013826441
LEAPS_80_25_TSY150,20,21,2000,0.1246902504,0.04611845413,14.27875148,-0.3957344882,-0.5337441497,-0.5762169629,-0.7689959325,0.1969000618,0.9062337034,0.6152207626,0.02597916667,0.003,across paths,0.356,0.6935,0.7195,0.04710998677,2.51099646,0.06609803279,3.597020145,0.1260392268,10.7416366,0.1829955352,28.81788578,0.1987258355,37.53164627,0.4775,0.155,0.0385,0.001,0.8833098904,0.8199091156,0.9438571053,1.09968796,1.064486095,1.136221606,1.983409821,1.944606446,2.021521486
LEAPS_85_30_TSY150,20,21,2000,0.1387718492,0.05490857007,20.64893713,-0.44562941,-0.5908418594,-0.6366343239,-0.7966657732,0.2322283302,0.888859304,0.5669413748,0.03294166667,0.0045,across paths,0.1975,0.31,0.6715,0.0481394032,2.560831695,0.06693613935,3.654001837,0.1397163491,13.67525933,0.2052509182,41.83593455,0.2280626375,60.87107664,0.6905,0.2945,0.086,0.006,1.158185312,1.06845883,1.245424958,1.023973765,0.9815846852,1.068257076,2.183083096,2.121394229,2.242368659
LEAPS_95_50_TSY150,20,21,2000,0.1700778879,0.09838157698,85.54670808,-0.669973097,-0.830756976,-0.8683056808,-0.9653763691,0.4131978464,0.7518442491,0.2775736464,0.09645833333,0.0335,across paths,0.1735,0.2395,0.277,0.01422794922,1.326514948,0.04697502529,2.504531241,0.1659298653,21.55019252,0.2967823043,180.8595778,0.3377457914,336.8864348,0.9985,0.967,0.7505,0.257,2.246798785,2.060610107,2.423483136,0.7391208716,0.6822991654,0.8023373722,2.987631104,2.837270194,3.13517353
