structure,treasury_leverage,strategy,repeats,stressed_sessions,stressed_years,mean_return,worst_return,best_return,roll_luck_spread,mean_max_drawdown,worst_max_drawdown
LEAPS_80_25,1,LEAPS_80_25_TSY100,1,196,0.78,-0.4326379173,-0.4361569472,-0.4293187548,0.006838192377,-0.4340610258,-0.4376101375
LEAPS_80_25,1.25,LEAPS_80_25_TSY125,1,196,0.78,-0.482369081,-0.4858881109,-0.4790499185,0.006838192377,-0.4843515021,-0.4879305954
LEAPS_80_25,1.5,LEAPS_80_25_TSY150,1,196,0.78,-0.5281388651,-0.531657895,-0.5248197026,0.006838192377,-0.5305381452,-0.5341172385
LEAPS_80_25,2,LEAPS_80_25_TSY200,1,196,0.78,-0.6086751936,-0.6121942234,-0.6053560311,0.006838192377,-0.6114854886,-0.6150645819
LEAPS_80_25,3,LEAPS_80_25_TSY300,1,196,0.78,-0.731736819,-0.7352558489,-0.7284176565,0.006838192377,-0.7342256486,-0.7378047419
LEAPS_85_30,1,LEAPS_85_30_TSY100,1,196,0.78,-0.4689225767,-0.4734298156,-0.4646550137,0.008774801892,-0.4700496441,-0.4745878969
LEAPS_85_30,1.25,LEAPS_85_30_TSY125,1,196,0.78,-0.5153383295,-0.5198455684,-0.5110707665,0.008774801892,-0.5167649391,-0.5213331991
LEAPS_85_30,1.5,LEAPS_85_30_TSY150,1,196,0.78,-0.5580567947,-0.5625640335,-0.5537892317,0.008774801892,-0.5598001161,-0.5644407327
LEAPS_85_30,2,LEAPS_85_30_TSY200,1,196,0.78,-0.6332240346,-0.6377312735,-0.6289564716,0.008774801892,-0.6353492763,-0.6399915865
LEAPS_85_30,3,LEAPS_85_30_TSY300,1,196,0.78,-0.7480815517,-0.7525887906,-0.7438139887,0.008774801892,-0.7499067589,-0.7545490691
LEAPS_95_50,1,LEAPS_95_50_TSY100,1,196,0.78,-0.6051647099,-0.6124883785,-0.5981185657,0.01436981283,-0.605306065,-0.6127288931
LEAPS_95_50,1.25,LEAPS_95_50_TSY125,1,196,0.78,-0.638318819,-0.6456424877,-0.6312726748,0.01436981283,-0.6386576768,-0.6460913466
LEAPS_95_50,1.5,LEAPS_95_50_TSY150,1,196,0.78,-0.6688320084,-0.6761556771,-0.6617858642,0.01436981283,-0.6693187131,-0.6767523829
LEAPS_95_50,2,LEAPS_95_50_TSY200,1,196,0.78,-0.722522894,-0.7298465627,-0.7154767499,0.01436981283,-0.7231567646,-0.7305904344
LEAPS_95_50,3,LEAPS_95_50_TSY300,1,196,0.78,-0.8045639777,-0.8118876464,-0.7975178335,0.01436981283,-0.805089204,-0.8125228738
LEAPS_80_25,1,LEAPS_80_25_TSY100,2,392,1.56,-0.6594659915,-0.6677085271,-0.6444077066,0.02330082055,-0.6598666425,-0.6681295922
LEAPS_80_25,1.25,LEAPS_80_25_TSY125,2,392,1.56,-0.717503431,-0.7233836644,-0.7061386604,0.01724500405,-0.7180625457,-0.7239460259
LEAPS_80_25,1.5,LEAPS_80_25_TSY150,2,392,1.56,-0.7661597132,-0.7701412687,-0.7578252276,0.01231604108,-0.7668028309,-0.7707744013
LEAPS_80_25,2,LEAPS_80_25_TSY200,2,392,1.56,-0.840663,-0.8431128044,-0.8367711784,0.006341626006,-0.8414253153,-0.8440223518
LEAPS_80_25,3,LEAPS_80_25_TSY300,2,392,1.56,-0.9269620068,-0.927861098,-0.9257817353,0.002079362747,-0.9275913896,-0.9285049097
LEAPS_85_30,1,LEAPS_85_30_TSY100,2,392,1.56,-0.6922554933,-0.7037733616,-0.6721591004,0.03161426116,-0.6923577654,-0.703870735
LEAPS_85_30,1.25,LEAPS_85_30_TSY125,2,392,1.56,-0.7444537311,-0.75309735,-0.7288011236,0.02429622636,-0.7446922323,-0.7533477068
LEAPS_85_30,1.5,LEAPS_85_30_TSY150,2,392,1.56,-0.7882621206,-0.7945636555,-0.7762875492,0.01827610636,-0.7886069067,-0.7949024871
LEAPS_85_30,2,LEAPS_85_30_TSY200,2,392,1.56,-0.8554533778,-0.8586694971,-0.8489584054,0.009711091762,-0.8558730973,-0.8591679542
LEAPS_85_30,3,LEAPS_85_30_TSY300,2,392,1.56,-0.9335481047,-0.9348696781,-0.9328303215,0.002039356563,-0.9338832791,-0.9352925588
LEAPS_95_50,1,LEAPS_95_50_TSY100,2,392,1.56,-0.8045379183,-0.8224940633,-0.7747818971,0.04771216621,-0.8045379183,-0.8224940633
LEAPS_95_50,1.25,LEAPS_95_50_TSY125,2,392,1.56,-0.8364239729,-0.8505665041,-0.8125112682,0.03805523586,-0.8364239729,-0.8505665041
LEAPS_95_50,1.5,LEAPS_95_50_TSY150,2,392,1.56,-0.8633497339,-0.8743295925,-0.8443287361,0.03000085634,-0.8633497339,-0.8743295925
LEAPS_95_50,2,LEAPS_95_50_TSY200,2,392,1.56,-0.9050412269,-0.9112907385,-0.8934562698,0.01783446873,-0.9050412269,-0.9112907385
LEAPS_95_50,3,LEAPS_95_50_TSY300,2,392,1.56,-0.9544866873,-0.9566144659,-0.9512007586,0.005413707222,-0.9544866873,-0.9566144659
LEAPS_80_25,1,LEAPS_80_25_TSY100,3,588,2.33,-0.7997398486,-0.8055647777,-0.7949923868,0.01057239095,-0.799999171,-0.8058512521
LEAPS_80_25,1.25,LEAPS_80_25_TSY125,3,588,2.33,-0.8485203796,-0.8526857693,-0.8449873898,0.007698379485,-0.8488458081,-0.8530307312
LEAPS_80_25,1.5,LEAPS_80_25_TSY150,3,588,2.33,-0.8857457555,-0.8886610308,-0.8831269039,0.005534126857,-0.8860890664,-0.889016179
LEAPS_80_25,2,LEAPS_80_25_TSY200,3,588,2.33,-0.9354421133,-0.9367405344,-0.9338734493,0.002867085036,-0.9357826766,-0.9371027787
LEAPS_80_25,3,LEAPS_80_25_TSY300,3,588,2.33,-0.9796086685,-0.9803867329,-0.9787417488,0.001644984078,-0.979822113,-0.9805698259
LEAPS_85_30,1,LEAPS_85_30_TSY100,3,588,2.33,-0.827779032,-0.8350204499,-0.8219807005,0.01303974945,-0.827848587,-0.8351207594
LEAPS_85_30,1.25,LEAPS_85_30_TSY125,3,588,2.33,-0.8695207863,-0.8748297867,-0.8651277402,0.009702046499,-0.8696734406,-0.8750071088
LEAPS_85_30,1.5,LEAPS_85_30_TSY150,3,588,2.33,-0.9014215329,-0.9052577804,-0.8981001391,0.007157641336,-0.9016128966,-0.9054664813
LEAPS_85_30,2,LEAPS_85_30_TSY200,3,588,2.33,-0.944104773,-0.9459957441,-0.9422171848,0.003778559262,-0.9442960753,-0.9461957292
LEAPS_85_30,3,LEAPS_85_30_TSY300,3,588,2.33,-0.982215981,-0.9830534615,-0.9812437022,0.001809759352,-0.9823372505,-0.983146533
LEAPS_95_50,1,LEAPS_95_50_TSY100,3,588,2.33,-0.9127353063,-0.9209240779,-0.905866468,0.0150576099,-0.9127353063,-0.9209240779
LEAPS_95_50,1.25,LEAPS_95_50_TSY125,3,588,2.33,-0.933045157,-0.9392337961,-0.9277011827,0.01153261347,-0.933045157,-0.9392337961
