strategy,cagr,terminal_multiple,annualized_volatility,max_drawdown,sharpe,fraction_days_leveraged,switches_per_year,worst_rolling_5y_cagr,covid_return,covid_max_drawdown,paper_target,difference_from_paper,kind,signal,lag,levered,risk_off,cost_bps,note,cagr_change_from_previous_row,difference_from_paper_rotation
SP500_1X,0.1534036847,5.172969105,0.1747013401,-0.3379046365,0.8745723919,,,0.06723543891,-0.3346748342,-0.3379046365,,,baseline,,,,,,,,
UPRO_ACTUAL_NAV,0.3540427794,32.79439528,0.524146997,-0.7672710389,0.8362597613,,,0.04776488057,-0.7639010432,-0.7672710389,0.354,4.277938511e-05,baseline,,,,,,,,
UPRO_ACTUAL_MARKET,0.3538144502,32.73077102,0.5190834624,-0.7681681977,0.8389397087,,,0.04787070022,-0.7648617414,-0.7681681977,0.354,-0.0001855498109,baseline,,,,,,,,
UPRO_SYNTHETIC,0.3542567474,32.85412026,0.524150153,-0.7668301233,0.8365381916,,,0.05013395339,-0.7634505676,-0.7668301233,,,baseline,,,,,,,,
A0_paper_like,0.2413321658,12.05474474,0.3713516828,-0.5150918263,0.7565138979,0.8662068966,5.210413695,0.06611221446,-0.4395630138,-0.4476377595,,,ladder,total_return,1,UPRO_NAV,TBILL_3M_1X,0,"total-return signal, earliest execution, no costs",,-0.00066783421
A0m_paper_like_market,0.2422775872,12.16089334,0.3677197646,-0.5123345067,0.7624057697,0.8662068966,5.210413695,0.06770470608,-0.4414238091,-0.4493533959,,,ladder,total_return,1,UPRO_MARKET,TBILL_3M_1X,0,as A0 on the fund market price the paper appears to quote,0.0009454214019,0.0002775871919
A1_tradable_execution,0.2327936242,11.13368974,0.3726746805,-0.5306112432,0.7364351758,0.8662068966,5.210413695,0.03709636225,-0.2894316453,-0.3449253642,,,ladder,total_return,2,UPRO_NAV,TBILL_3M_1X,0,one session to trade in,-0.009483963017,-0.009206375825
A2_price_signal,0.257559017,13.9993895,0.3646747148,-0.4458320856,0.7988998338,0.8479310345,6.42617689,0.05037788535,-0.2894316453,-0.3449253642,,,ladder,price,2,UPRO_NAV,TBILL_3M_1X,0,signal read off the price index,0.02476539284,0.01555901702
A3_risk_off_index,0.3114550333,22.69747777,0.3855827011,-0.4816273033,0.8850742422,0.8479310345,6.42617689,0.08844855426,-0.4741210876,-0.4816273033,,,ladder,price,2,UPRO_NAV,SP500_1X,0,risk-off in the unleveraged index rather than bills,0.05389601625,0.06945503326
A4_preferred,0.2374923039,11.63225782,0.3645176857,-0.4702467185,0.7549179545,0.8479310345,6.42617689,0.03161443234,-0.2982694501,-0.3464947663,,,ladder,price,2,UPRO_NAV,TBILL_3M_1X,25,"the repository convention: price signal, tradable, charged",-0.07396272939,-0.004507696125
A4_index_charged,0.2905283081,18.85960194,0.3854632524,-0.4880746446,0.8434614551,0.8479310345,6.42617689,0.06634412841,-0.4806617886,-0.4880746446,,,ladder,price,2,UPRO_NAV,SP500_1X,25,as A4 with the index as the risk-off asset,0.05303600421,0.04852830808
A5_synthetic,0.2380576383,11.69359861,0.3643149867,-0.4710735719,0.7563792198,0.8479310345,6.42617689,0.03493979398,-0.2980454698,-0.3463160776,,,ladder,price,2,UPRO_BASE,TBILL_3M_1X,25,as A4 on the reconstructed fund,-0.05247066979,-0.00394236171
