signal,lag,signal_close,execution_close,first_affected_return,into,upro_return,sp500_return,other_signal_state,signals_disagree,audit_period
price,1,2009-07-07,2009-07-07,2009-07-08,risk_off,-0.003162930613,-0.001071898237,1,True,
price,1,2009-07-09,2009-07-09,2009-07-10,UPRO,-0.01189494759,-0.004026972597,1,False,
price,1,2009-07-10,2009-07-10,2009-07-13,risk_off,0.07508939213,0.02504709217,1,True,
price,1,2009-07-13,2009-07-13,2009-07-14,UPRO,0.01600147805,0.005311328141,1,False,
price,1,2010-05-20,2010-05-20,2010-05-21,risk_off,0.04510433368,0.01503400172,0,False,2010
price,1,2010-06-15,2010-06-15,2010-06-16,UPRO,-0.001710987508,-0.0005337996895,1,False,2010
price,1,2010-06-22,2010-06-22,2010-06-23,risk_off,-0.009215686275,-0.002963708059,0,False,2010
price,1,2010-07-26,2010-07-26,2010-07-27,UPRO,-0.003073577687,-0.001044478608,1,False,2010
price,1,2010-07-27,2010-07-27,2010-07-28,risk_off,-0.02040687911,-0.006861080618,1,True,2010
price,1,2010-08-02,2010-08-02,2010-08-03,UPRO,-0.01443470844,-0.004787152803,1,False,2010
price,1,2010-08-11,2010-08-11,2010-08-12,risk_off,-0.01593107016,-0.005239041514,0,False,2010
price,1,2010-09-13,2010-09-13,2010-09-14,UPRO,-0.002184981263,-0.0007145572788,1,False,2010
price,1,2011-08-02,2011-08-02,2011-08-03,risk_off,0.01615557218,0.005377485999,0,False,2011
price,1,2011-10-27,2011-10-27,2011-10-28,UPRO,0.001216545073,0.0004144970078,1,False,2011
price,1,2011-10-31,2011-10-31,2011-11-01,risk_off,-0.08368887431,-0.02793902646,0,False,2011
price,1,2011-11-08,2011-11-08,2011-11-09,UPRO,-0.1100545596,-0.03660302701,1,False,2011
price,1,2011-11-09,2011-11-09,2011-11-10,risk_off,0.02644946569,0.008760045147,0,False,2011
price,1,2011-12-23,2011-12-23,2011-12-27,UPRO,0.0004884402475,9.668935644e-05,1,False,2011
price,1,2011-12-28,2011-12-28,2011-12-29,risk_off,0.03193646502,0.01073615949,1,True,2011
price,1,2011-12-29,2011-12-29,2011-12-30,UPRO,-0.01277222859,-0.004234163831,1,False,2011
price,1,2011-12-30,2011-12-30,2012-01-03,risk_off,0.04644219598,0.01549832874,1,True,
price,1,2012-01-03,2012-01-03,2012-01-04,UPRO,0.00110952601,0.0004014445322,1,False,
price,1,2012-06-01,2012-06-01,2012-06-04,risk_off,0.0001578035032,0.0001309780366,1,True,
price,1,2012-06-06,2012-06-06,2012-06-07,UPRO,-0.0002898551304,-6.137200819e-05,1,False,
price,1,2012-11-08,2012-11-08,2012-11-09,risk_off,0.004932338434,0.001742920847,1,True,
price,1,2012-11-19,2012-11-19,2012-11-20,UPRO,0.002229378251,0.0007494712232,1,False,
price,1,2014-10-13,2014-10-13,2014-10-14,risk_off,0.005082212257,0.001586159203,0,False,
price,1,2014-10-21,2014-10-21,2014-10-22,UPRO,-0.02159244265,-0.007185829592,1,False,
price,1,2015-07-08,2015-07-08,2015-07-09,risk_off,0.006780705825,0.002267908257,1,True,2015-2016
price,1,2015-07-10,2015-07-10,2015-07-13,UPRO,0.03336285797,0.0111550238,1,False,2015-2016
price,1,2015-08-20,2015-08-20,2015-08-21,risk_off,-0.09511125038,-0.03169459007,0,False,2015-2016
price,1,2015-10-23,2015-10-23,2015-10-26,UPRO,-0.005913570887,-0.001905392274,1,False,2015-2016
price,1,2015-11-12,2015-11-12,2015-11-13,risk_off,-0.03363866077,-0.01119473106,0,False,2015-2016
price,1,2015-11-18,2015-11-18,2015-11-19,UPRO,-0.00329193479,-0.001080718007,1,False,2015-2016
price,1,2015-12-03,2015-12-03,2015-12-04,risk_off,0.06141039739,0.02053185441,1,True,2015-2016
price,1,2015-12-04,2015-12-04,2015-12-07,UPRO,-0.02086416099,-0.0069136636,1,False,2015-2016
price,1,2015-12-08,2015-12-08,2015-12-09,risk_off,-0.02311248074,-0.007676198728,1,True,2015-2016
price,1,2015-12-16,2015-12-16,2015-12-17,UPRO,-0.04474885845,-0.0148872626,1,False,2015-2016
price,1,2015-12-17,2015-12-17,2015-12-18,risk_off,-0.05353728489,-0.01779599394,0,False,2015-2016
price,1,2015-12-23,2015-12-23,2015-12-24,UPRO,-0.004952027252,-0.00159646496,1,False,2015-2016
price,1,2015-12-24,2015-12-24,2015-12-28,risk_off,-0.006687402784,-0.002172752728,1,True,2015-2016
price,1,2015-12-29,2015-12-29,2015-12-30,UPRO,-0.02138307552,-0.007116147299,1,False,2015-2016
price,1,2015-12-31,2015-12-31,2016-01-04,risk_off,-0.04529505584,-0.01507486549,1,True,2015-2016
price,1,2016-03-11,2016-03-11,2016-03-14,UPRO,-0.003672174912,-0.001194725092,1,False,2015-2016
price,1,2016-03-15,2016-03-15,2016-03-16,risk_off,0.01684636117,0.005666963179,1,True,2015-2016
price,1,2016-03-16,2016-03-16,2016-03-17,UPRO,0.01971504309,0.006606122505,1,False,2015-2016
price,1,2016-06-27,2016-06-27,2016-06-28,risk_off,0.05397923875,0.01799250703,0,False,2015-2016
price,1,2016-06-28,2016-06-28,2016-06-29,UPRO,0.0513788575,0.01716009093,1,False,2015-2016
price,1,2018-04-02,2018-04-02,2018-04-03,risk_off,0.03785514864,0.01265602571,1,True,2018
price,1,2018-04-03,2018-04-03,2018-04-04,UPRO,0.0346546404,0.01163868657,1,False,2018
price,1,2018-10-11,2018-10-11,2018-10-12,risk_off,0.04256684492,0.01431418945,0,False,2018
price,1,2018-10-12,2018-10-12,2018-10-15,UPRO,-0.01784981535,-0.00588300429,1,False,2018
price,1,2018-10-15,2018-10-15,2018-10-16,risk_off,0.06454982244,0.02152402915,1,True,2018
price,1,2018-10-16,2018-10-16,2018-10-17,UPRO,-0.0009811616954,-0.000212105351,1,False,2018
price,1,2018-10-19,2018-10-19,2018-10-22,risk_off,-0.01295230263,-0.004274254505,1,True,2018
price,1,2018-11-07,2018-11-07,2018-11-08,UPRO,-0.006523028266,-0.001984557582,1,False,2018
price,1,2018-11-12,2018-11-12,2018-11-13,risk_off,-0.004566210046,-0.001447260656,0,False,2018
price,1,2018-12-03,2018-12-03,2018-12-04,UPRO,-0.09718826406,-0.03230804018,1,False,2018
price,1,2018-12-04,2018-12-04,2018-12-06,risk_off,-0.004287971113,-0.001208971845,0,False,2018
price,1,2019-02-12,2019-02-12,2019-02-13,UPRO,0.009103019538,0.003106655068,1,False,
price,1,2019-03-07,2019-03-07,2019-03-08,risk_off,-0.006190581472,-0.002035498793,1,True,
price,1,2019-03-11,2019-03-11,2019-03-12,UPRO,0.008953314858,0,1,False,
price,1,2019-05-31,2019-05-31,2019-06-03,risk_off,-0.008493518105,-0.002757649977,0,False,
price,1,2019-06-04,2019-06-04,2019-06-05,UPRO,0.02457106545,0.008284864698,1,False,
price,1,2020-02-27,2020-02-27,2020-02-28,risk_off,-0.02422988352,-0.008075005245,0,False,2020
price,1,2020-03-02,2020-03-02,2020-03-03,UPRO,-0.08446572912,-0.02807766205,1,False,2020
price,1,2020-03-03,2020-03-03,2020-03-04,risk_off,0.1266359054,0.04225741539,0,False,2020
price,1,2020-03-04,2020-03-04,2020-03-05,UPRO,-0.1014706097,-0.0337140057,1,False,2020
price,1,2020-03-05,2020-03-05,2020-03-06,risk_off,-0.05121286999,-0.01702199827,0,False,2020
price,1,2020-05-27,2020-05-27,2020-05-28,UPRO,-0.006053180848,-0.001990514917,1,False,2020
price,1,2020-06-11,2020-06-11,2020-06-12,risk_off,0.03998240587,0.01336307744,1,True,2020
price,1,2020-06-12,2020-06-12,2020-06-15,UPRO,0.02494654144,0.008346952851,1,False,2020
price,1,2020-06-26,2020-06-26,2020-06-29,risk_off,0.0442953514,0.01480973232,1,True,2020
price,1,2020-06-29,2020-06-29,2020-06-30,UPRO,0.04618434745,0.01549057522,1,False,2020
price,2,2009-07-07,2009-07-08,2009-07-09,risk_off,0.01031214072,0.00355357987,1,True,
price,2,2009-07-09,2009-07-10,2009-07-13,UPRO,0.07508939213,0.02504709217,1,False,
price,2,2009-07-10,2009-07-13,2009-07-14,risk_off,0.01600147805,0.005311328141,1,True,
price,2,2009-07-13,2009-07-14,2009-07-15,UPRO,0.08889535534,0.02966363776,1,False,
price,2,2010-05-20,2010-05-21,2010-05-24,risk_off,-0.03870373215,-0.01289002446,0,False,2010
price,2,2010-06-15,2010-06-16,2010-06-17,UPRO,0.004253825428,0.001418847924,1,False,2010
price,2,2010-06-22,2010-06-23,2010-06-24,risk_off,-0.05028915707,-0.01680016466,0,False,2010
price,2,2010-07-26,2010-07-27,2010-07-28,UPRO,-0.02040687911,-0.006861080618,1,False,2010
price,2,2010-07-27,2010-07-28,2010-07-29,risk_off,-0.01235360858,-0.003999649952,1,True,2010
price,2,2010-08-02,2010-08-03,2010-08-04,UPRO,0.0193081255,0.006395765912,1,False,2010
price,2,2010-08-11,2010-08-12,2010-08-13,risk_off,-0.01185671605,-0.003994208243,0,False,2010
price,2,2010-09-13,2010-09-14,2010-09-15,UPRO,0.01074224794,0.003559122197,1,False,2010
price,2,2011-08-02,2011-08-03,2011-08-04,risk_off,-0.143382894,-0.04777467358,0,False,2011
price,2,2011-10-27,2011-10-28,2011-10-31,UPRO,-0.07442284337,-0.02473434046,1,False,2011
price,2,2011-10-31,2011-11-01,2011-11-02,risk_off,0.04835243553,0.01620099278,0,False,2011
price,2,2011-11-08,2011-11-09,2011-11-10,UPRO,0.02644946569,0.008760045147,1,False,2011
price,2,2011-11-09,2011-11-10,2011-11-11,risk_off,0.05836177475,0.01948956221,0,False,2011
price,2,2011-12-23,2011-12-27,2011-12-28,UPRO,-0.03694060199,-0.01225756364,1,False,2011
price,2,2011-12-28,2011-12-29,2011-12-30,risk_off,-0.01277222859,-0.004234163831,1,True,2011
price,2,2011-12-29,2011-12-30,2012-01-03,UPRO,0.04644219598,0.01549832874,1,False,
price,2,2011-12-30,2012-01-03,2012-01-04,risk_off,0.00110952601,0.0004014445322,1,True,
price,2,2012-01-03,2012-01-04,2012-01-05,UPRO,0.008866371185,0.00294077869,1,False,
price,2,2012-06-01,2012-06-04,2012-06-05,risk_off,0.01735563256,0.005756987529,1,True,
price,2,2012-06-06,2012-06-07,2012-06-08,UPRO,0.02435488548,0.008134164659,1,False,
price,2,2012-11-08,2012-11-09,2012-11-12,risk_off,0.0005033978857,0.0001325927826,1,True,
price,2,2012-11-19,2012-11-20,2012-11-21,UPRO,0.006920415275,0.002337141473,1,False,
price,2,2014-10-13,2014-10-14,2014-10-15,risk_off,-0.02359706526,-0.008005979053,0,False,
price,2,2014-10-21,2014-10-22,2014-10-23,UPRO,0.03622988508,0.01230407,1,False,
price,2,2015-07-08,2015-07-09,2015-07-10,risk_off,0.03688963721,0.01233848255,1,True,2015-2016
price,2,2015-07-10,2015-07-13,2015-07-14,UPRO,0.01328571429,0.004462228999,1,False,2015-2016
price,2,2015-08-20,2015-08-21,2015-08-24,risk_off,-0.1184415584,-0.03938556736,0,False,2015-2016
price,2,2015-10-23,2015-10-26,2015-10-27,UPRO,-0.007626601556,-0.00255235995,1,False,2015-2016
price,2,2015-11-12,2015-11-13,2015-11-16,risk_off,0.04510540938,0.01507848725,0,False,2015-2016
price,2,2015-11-18,2015-11-19,2015-11-20,UPRO,0.0118600811,0.003964362309,1,False,2015-2016
