strategy,family,premium_budget,cagr,max_drawdown,annualized_volatility,terminal_multiple,mean_delta_exposure,mean_option_weight,cohort_10y_min_cagr,cohort_20y_min_cagr,cohort_20y_median_cagr,cohort_30y_min_cagr,cohort_30y_median_cagr,1987_crash,2000_2002_bust,2008_2009_gfc,2020_covid,2022_rates,cohort_20y_min_cagr_post_proxy,cohort_20y_entries_post_proxy,stress_1987_inside_proxy_era
SP500_1X,comparator,,0.1126353848,-0.5525024107,0.1834804905,70.90685227,1,,-0.03201496806,0.04788163336,0.08783863295,0.0933527571,0.1030718628,-0.3282437828,-0.4737343705,-0.5488705681,-0.3346748342,-0.2400993568,0.04788163336,90,True
NASDAQ100_1X,comparator,,0.149296473,-0.8287281904,0.2606112603,258.7114787,1,,-0.07720148065,0.03688980808,0.1181901885,0.1228274544,0.1387550428,-0.3773391244,-0.8265106794,-0.5131725098,-0.2714686422,-0.3347736542,0.03688980808,90,True
UPRO_SMA_TO_SP500,comparator,,0.1714805974,-0.75410237,0.3769749479,555.0383186,2.514663485,,-0.1009572807,0.06810601239,0.1358319929,0.1309783617,0.162505766,-0.5470609571,-0.6729952475,-0.650378128,-0.4804960248,-0.4615472597,0.06898646872,90,True
TQQQ_SMA_TO_NASDAQ,comparator,,0.2046018021,-0.9645529792,0.5809228114,1689.523477,2.508897505,,-0.1828686416,-0.002787336565,0.1532015354,0.1256147323,0.2097521216,-0.7090213581,-0.9634720546,-0.6872580423,-0.590913978,-0.5530610721,-0.002787336565,90,True
UPRO60_TMF40,comparator,,0.1702554096,-0.7068610561,0.3195337505,532.3274411,1.8,,-0.05979973081,0.1087069255,0.163439423,0.1500654845,0.1815589459,-0.4857808042,-0.6150148957,-0.7029098683,-0.2915467339,-0.6617158958,0.1284402781,90,True
LEAPS_80_25_TREASURY,SP500 LEAPS,0.25,0.1246550497,-0.4587386717,0.1625605479,108.8935242,0.9172115733,0.2738215529,0.03713561393,0.09364541465,0.1206036985,0.1116762301,0.1295901317,-0.3006755545,-0.2053241593,-0.2249948211,-0.1062895748,-0.4362337222,0.1023308975,90,True
LEAPS_85_30_TREASURY,SP500 LEAPS,0.3,0.1425885916,-0.4944916535,0.2010073597,204.7934226,1.220249952,0.3266264966,0.02171569589,0.09742096999,0.1339706038,0.128998442,0.1466392412,-0.3714916809,-0.3292566776,-0.3207148526,-0.1624127586,-0.4743809287,0.1080785061,90,True
LEAPS_95_50_TREASURY,SP500 LEAPS,0.5,0.1922001236,-0.7285385375,0.3805521523,1117.69323,2.432702719,0.5226257289,-0.06251472697,0.08412129373,0.1577436087,0.1543104168,0.1872692087,-0.5615300207,-0.6899907359,-0.6256702621,-0.3730332415,-0.6147016598,0.09874787606,90,True
NDX_LEAPS_80_20_TREASURY,NDX LEAPS,0.2,0.1364097484,-0.4736965438,0.1632163146,164.9273835,0.6368033273,0.2287549335,0.03541937866,0.1108808826,0.1379319842,0.1311076759,0.1465931848,-0.2609359588,-0.2873625218,-0.08454525893,-0.04033575768,-0.425726957,0.1108808826,90,True
NDX_LEAPS_80_25_TREASURY,NDX LEAPS,0.25,0.1526945607,-0.5001886852,0.1887017006,291.0768818,0.7861401871,0.2815236943,0.02379201219,0.1148449284,0.1501710503,0.1479832741,0.1626257626,-0.3110528066,-0.4040256081,-0.1587568998,-0.08316787024,-0.4538607522,0.1148449284,90,True
NDX_LEAPS_85_25_TREASURY,NDX LEAPS,0.25,0.1594486109,-0.5088706899,0.2009261068,367.5450561,0.8547459405,0.2831212937,0.02015193881,0.1182026169,0.1557029273,0.1540552489,0.1695465563,-0.3344536549,-0.4182066717,-0.1708755088,-0.09174127617,-0.4608408808,0.1182026169,90,True
NDX_LEAPS_85_30_TREASURY,NDX LEAPS,0.3,0.1753260113,-0.5499814858,0.231367206,632.6269147,1.013023415,0.3344502866,0.006378318557,0.1211463002,0.1676070793,0.1646202006,0.1840174682,-0.3807131969,-0.5187094932,-0.242781367,-0.1347937439,-0.4901016501,0.1211463002,90,True
