strategy,horizon_years,block_days,paths,premium_budget,underlying,mean_cagr,median_max_drawdown,worst_max_drawdown,prob_negative_cagr,prob_below_own_underlying,prob_below_sp500,mean_delta_exposure_median,mean_option_weight_median,cagr_p5,terminal_wealth_p5,cagr_p10,terminal_wealth_p10,cagr_p50,terminal_wealth_p50,cagr_p90,terminal_wealth_p90,cagr_p95,terminal_wealth_p95,prob_drawdown_worse_than_50,prob_drawdown_worse_than_60,prob_drawdown_worse_than_75
SP500_1X,10,63,2000,,SP500_1X,0.1123699453,-0.3379046365,-0.7731714301,0.019,0,0,,,0.02061259874,1.226301158,0.03939290339,1.471548368,0.1149171613,2.967299162,0.1812171463,5.286867571,0.1987495952,6.126000738,0.0715,0.012,0.0005
NASDAQ100_1X,10,63,2000,,NASDAQ100_1X,0.1526614285,-0.4601679559,-0.9075048469,0.042,0,0.215,,,0.01171386776,1.123492536,0.03920089083,1.468834674,0.151846408,4.110187984,0.2673485613,10.68611733,0.2962511217,13.38867362,0.353,0.1345,0.018
LEAPS_80_25_TREASURY,10,63,2000,0.25,SP500_1X,0.1201839917,-0.2950547732,-0.7035810958,0.0105,0.4305,0.4305,0.8911794952,0.2679746842,0.03024112801,1.347010938,0.04935199285,1.618763947,0.1202897305,3.113407944,0.1916229059,5.771441531,0.2120072318,6.838137875,0.017,0.002,0
LEAPS_85_30_TREASURY,10,63,2000,0.3,SP500_1X,0.1357367787,-0.3539495612,-0.7892721118,0.017,0.257,0.257,1.173307181,0.3190354013,0.02247224597,1.248826499,0.04668296205,1.578063317,0.1351574592,3.552104583,0.2267722777,7.718235445,0.2533286589,9.561268732,0.0765,0.0105,0.0005
LEAPS_95_50_TREASURY,10,63,2000,0.5,SP500_1X,0.1758921944,-0.5814031066,-0.9570657057,0.0905,0.2445,0.2445,2.292948713,0.5117886362,-0.03380790012,0.7090180966,0.007629027766,1.078952201,0.1670366504,4.685471161,0.3560182598,21.01233794,0.4135686519,31.83928539,0.7845,0.4395,0.091
NDX_LEAPS_80_20_TREASURY,10,63,2000,0.2,NASDAQ100_1X,0.1264968256,-0.2834363325,-0.7033067279,0.015,0.6955,0.395,0.5946540912,0.2199262674,0.0302543648,1.347184173,0.0482880267,1.602426874,0.1262545972,3.283184422,0.2060266025,6.508149736,0.2251099804,7.614301591,0.02,0.0025,0
NDX_LEAPS_80_25_TREASURY,10,63,2000,0.25,NASDAQ100_1X,0.1404214771,-0.3245171907,-0.7494812178,0.0195,0.6305,0.304,0.7353017304,0.2711410848,0.02853288575,1.324845243,0.04934344219,1.618631306,0.1387971897,3.667639135,0.2343147134,8.206045318,0.257906823,9.916271674,0.0485,0.0085,0
NDX_LEAPS_85_25_TREASURY,10,63,2000,0.25,NASDAQ100_1X,0.1451698293,-0.3391150907,-0.7622913207,0.0225,0.5885,0.2795,0.7878381374,0.2717627045,0.02650336277,1.298937546,0.04834009561,1.603223294,0.1424754259,3.78782255,0.2467926437,9.074259127,0.2748032631,11.33149786,0.0685,0.012,0.001
NDX_LEAPS_85_30_TREASURY,10,63,2000,0.3,NASDAQ100_1X,0.1583458309,-0.3867628355,-0.8070352156,0.0275,0.447,0.2345,0.9352820894,0.3216278979,0.0205654766,1.225735128,0.0458773958,1.565962954,0.1543360957,4.199885857,0.2776988002,11.59148832,0.309609898,14.83403713,0.152,0.0345,0.002
SP500_1X,20,63,2000,,SP500_1X,0.1111300517,-0.3887912365,-0.7731714301,0.0025,0,0,,,0.04906643223,2.606512588,0.06322615641,3.4081056,0.111425438,8.271926651,0.1592399302,19.20731469,0.170324692,23.23418309,0.139,0.028,0.001
