series,horizon_years,cohorts,first_entry,last_entry,min_cagr,median_cagr,max_cagr,min_terminal_multiple,median_terminal_multiple,window,rebalance,spread_bps
CLASSIC_60_40,20,240,1986-09-30,2006-08-31,0.06738599204,0.08845495581,0.1143491749,3.684936258,5.448914905,common,quarterly,50
CLASSIC_60_40,30,120,1986-09-30,1996-08-30,0.08438612603,0.09720122748,0.1057017758,11.36492928,16.16548603,common,quarterly,50
LONG_TREASURY_100,20,240,1986-09-30,2006-08-31,0.02808018938,0.07640321423,0.1041382145,1.74022606,4.360144127,common,quarterly,50
LONG_TREASURY_100,30,120,1986-09-30,1996-08-30,0.04580558248,0.07645978078,0.08851062262,3.83408562,9.120592564,common,quarterly,50
NASDAQ100_100,20,240,1986-09-30,2006-08-31,0.03688980808,0.1181901885,0.1703152388,2.06372637,9.339284376,common,quarterly,50
NASDAQ100_100,30,120,1986-09-30,1996-08-30,0.1228274544,0.1387550428,0.1548630243,32.31912299,49.30713683,common,quarterly,50
SP500_100,20,240,1986-09-30,2006-08-31,0.04788163336,0.08783863295,0.1226043042,2.548264871,5.387530213,common,quarterly,50
SP500_100,30,120,1986-09-30,1996-08-30,0.0933527571,0.1030718628,0.1107476051,14.5499732,18.97715059,common,quarterly,50
SSO60_LT40,20,240,1986-09-30,2006-08-31,0.07258973087,0.1093845713,0.1411591664,4.061371276,7.975283013,common,quarterly,50
SSO60_LT40,30,120,1986-09-30,1996-08-30,0.1107609457,0.1237055634,0.1399936822,23.37117238,33.09138805,common,quarterly,50
SSO_100,20,240,1986-09-30,2006-08-31,0.02327785523,0.09036078653,0.1588077093,1.584424368,5.642300758,common,quarterly,50
SSO_100,30,120,1986-09-30,1996-08-30,0.1010207013,0.128313937,0.1450451639,17.944103,37.4211359,common,quarterly,50
TQQQ50_LT50,20,240,1986-09-30,2006-08-31,0.07097674732,0.1691925862,0.2361804126,3.940949172,22.7887983,common,quarterly,50
TQQQ50_LT50,30,120,1986-09-30,1996-08-30,0.1749523406,0.197059527,0.2367274948,126.2079711,220.6285744,common,quarterly,50
TQQQ50_TMF50,20,240,1986-09-30,2006-08-31,0.1441910502,0.2164450729,0.2888735088,14.79009381,50.35971835,common,quarterly,50
TQQQ50_TMF50,30,120,1986-09-30,1996-08-30,0.1993537387,0.2369286097,0.3038242438,233.6290655,589.3065755,common,quarterly,50
TQQQ_100,20,240,1986-09-30,2006-08-31,-0.1653034601,-0.01655356655,0.3040407844,0.02695083743,0.7161678404,common,quarterly,50
TQQQ_100,30,120,1986-09-30,1996-08-30,0.03963849675,0.09865412026,0.1476747007,3.209916158,16.82240429,common,quarterly,50
UPRO40_TMF60,20,240,1986-09-30,2006-08-31,0.1123526012,0.1604994996,0.211201036,8.41594144,19.62904564,common,quarterly,50
UPRO40_TMF60,30,120,1986-09-30,1996-08-30,0.1260325757,0.172843833,0.2125968495,35.20458337,119.4928504,common,quarterly,50
UPRO50_LT50,20,240,1986-09-30,2006-08-31,0.07846660189,0.1219662376,0.1558871205,4.530373488,9.990705205,common,quarterly,50
UPRO50_LT50,30,120,1986-09-30,1996-08-30,0.125422541,0.1413904927,0.1633214105,34.6368611,52.85769438,common,quarterly,50
UPRO55_TMF45,20,240,1986-09-30,2006-08-31,0.1170319504,0.1640578205,0.2172247072,9.153245292,20.86852197,common,quarterly,50
UPRO55_TMF45,30,120,1986-09-30,1996-08-30,0.1462773119,0.1803299163,0.2185331878,60.08582944,144.6066527,common,quarterly,50
UPRO60_TMF40,20,240,1986-09-30,2006-08-31,0.1087069255,0.163439423,0.2172682153,7.880986977,20.64788261,common,quarterly,50
