series,family,sma_days,spread_bps,lag,switch_cost_bps,horizon_years,cohort_count,min,max,p1,p10,p25,p50,p75,p90,p99
SP500_1X,SP500,200,50,LAG1,0,10,360,-0.03201496806,0.1961421674,-0.02304209721,0.02905911199,0.07448022283,0.1085072471,0.141233658,0.1710129757,0.1908452016
SP500_1X,SP500,200,50,LAG1,0,20,240,0.04788163336,0.1226043042,0.05643778558,0.06413846662,0.07727483689,0.08783863295,0.09994564298,0.1088416284,0.1179557101
SP500_1X,SP500,200,50,LAG1,0,30,120,0.0933527571,0.1107476051,0.09381658218,0.09677620461,0.09877595517,0.1030718628,0.1055460815,0.1072475698,0.1095397856
NASDAQ100_1X,NASDAQ100,200,50,LAG1,0,10,360,-0.07720148065,0.356322075,-0.0675230807,0.04064453585,0.1057058549,0.1421051732,0.1923304009,0.2241525697,0.3451816561
NASDAQ100_1X,NASDAQ100,200,50,LAG1,0,20,240,0.03688980808,0.1703152388,0.05080195991,0.08912770444,0.1051645302,0.1181901885,0.1332779979,0.1483092275,0.1684665393
NASDAQ100_1X,NASDAQ100,200,50,LAG1,0,30,120,0.1228274544,0.1548630243,0.1234742921,0.1289999319,0.1335468453,0.1387550428,0.142854002,0.1485790242,0.1547528732
SSO_ALWAYS,SP500,200,50,LAG1,0,10,360,-0.1477707221,0.3126470453,-0.1323046002,-0.02513079176,0.07320174774,0.1303028173,0.224534771,0.2703400387,0.3017810474
SSO_ALWAYS,SP500,200,50,LAG1,0,20,240,0.02327785523,0.1588077093,0.0406868789,0.05542299506,0.0715037683,0.09036078653,0.1255555149,0.1401845611,0.1568898243
SSO_ALWAYS,SP500,200,50,LAG1,0,30,120,0.1010207013,0.1450451639,0.1035776307,0.1095381112,0.1206158384,0.128313937,0.1338446245,0.1375848569,0.14413895
SSO_SMA_TO_SP500,SP500,200,50,LAG1,0,10,360,-0.06001582513,0.2856051755,-0.05623157068,0.02840171236,0.09787212715,0.152636573,0.1947195164,0.2355953438,0.2767029641
SSO_SMA_TO_SP500,SP500,200,50,LAG1,0,20,240,0.05515566372,0.1623776532,0.06504553321,0.08153361977,0.09863113516,0.1169939336,0.1339130981,0.1418630357,0.1607424181
SSO_SMA_TO_SP500,SP500,200,50,LAG1,0,30,120,0.1210067057,0.1545329373,0.1230981285,0.1264397726,0.130790229,0.1377595208,0.1420534507,0.1459124803,0.1521428759
SSO_SMA_TO_TBILL,SP500,200,50,LAG1,0,10,360,-0.02958416677,0.2611500561,-0.01247170898,0.04077223715,0.08390303843,0.1244748324,0.1572144993,0.1958265905,0.2524210683
SSO_SMA_TO_TBILL,SP500,200,50,LAG1,0,20,240,0.05289348661,0.1468962859,0.05436758963,0.07134080724,0.09190085973,0.1062491457,0.116520884,0.1266170471,0.1347830318
SSO_SMA_TO_TBILL,SP500,200,50,LAG1,0,30,120,0.1063037102,0.1347977395,0.1073584609,0.1117416703,0.1154735747,0.1187808743,0.1227850046,0.126627462,0.1339647447
SSO_ALWAYS,SP500,200,50,LAG1,25,10,360,-0.1477707221,0.3126470453,-0.1323046002,-0.02513079176,0.07320174774,0.1303028173,0.224534771,0.2703400387,0.3017810474
SSO_ALWAYS,SP500,200,50,LAG1,25,20,240,0.02327785523,0.1588077093,0.0406868789,0.05542299506,0.0715037683,0.09036078653,0.1255555149,0.1401845611,0.1568898243
SSO_ALWAYS,SP500,200,50,LAG1,25,30,120,0.1010207013,0.1450451639,0.1035776307,0.1095381112,0.1206158384,0.128313937,0.1338446245,0.1375848569,0.14413895
SSO_SMA_TO_SP500,SP500,200,50,LAG1,25,10,360,-0.08141228894,0.2689775557,-0.07702142817,0.004156915214,0.07717617357,0.1340039209,0.1777059573,0.2187101927,0.2601931313
SSO_SMA_TO_SP500,SP500,200,50,LAG1,25,20,240,0.03540191131,0.1444775,0.04485251102,0.06141340941,0.07852353077,0.09710128118,0.1134181346,0.1226486728,0.1419799268
SSO_SMA_TO_SP500,SP500,200,50,LAG1,25,30,120,0.1022719787,0.1347679947,0.1038510144,0.107077296,0.1111187092,0.1181485115,0.1225855567,0.1264836129,0.1326987617
SSO_SMA_TO_TBILL,SP500,200,50,LAG1,25,10,360,-0.05167333359,0.2448387313,-0.03422553312,0.01915099602,0.06410959756,0.1056556164,0.1393810602,0.1797736531,0.2362252397
SSO_SMA_TO_TBILL,SP500,200,50,LAG1,25,20,240,0.03286487454,0.1278298779,0.03445353553,0.05149481552,0.07233952475,0.08638654397,0.09733748648,0.1078077387,0.1166447912
SSO_SMA_TO_TBILL,SP500,200,50,LAG1,25,30,120,0.08754245805,0.1154745447,0.08770622181,0.09235919234,0.09605600271,0.09977686209,0.1038622846,0.1077998417,0.1153354779
UPRO_ALWAYS,SP500,200,50,LAG1,0,10,360,-0.2785576574,0.429581348,-0.2598957054,-0.108860821,0.03755882139,0.121493287,0.2794240386,0.3601711101,0.4136327859
UPRO_ALWAYS,SP500,200,50,LAG1,0,20,240,-0.03187310567,0.1679665647,-0.007914600847,0.01446234653,0.03579700061,0.06090215039,0.1200170426,0.1438923827,0.165579154
UPRO_ALWAYS,SP500,200,50,LAG1,0,30,120,0.07745327156,0.1515133044,0.08064268311,0.09438712549,0.1132775896,0.1244216884,0.1333279875,0.1395283408,0.1466842844
UPRO_SMA_TO_SP500,SP500,200,50,LAG1,0,10,360,-0.1015984693,0.376837402,-0.09121285048,0.01868871334,0.1125319409,0.1860579632,0.2442125956,0.2999710375,0.3621819309
UPRO_SMA_TO_SP500,SP500,200,50,LAG1,0,20,240,0.05652924637,0.2047198282,0.0658603239,0.08892311188,0.1120019695,0.137690185,0.161265233,0.1719577676,0.2014169997
UPRO_SMA_TO_SP500,SP500,200,50,LAG1,0,30,120,0.1415395925,0.1907886128,0.1433668043,0.1484505189,0.1557901664,0.1644883309,0.1709318222,0.1781772128,0.1872676786
UPRO_SMA_TO_TBILL,SP500,200,50,LAG1,0,10,360,-0.07251303443,0.3506468393,-0.04925033632,0.03174702833,0.09832476847,0.157531061,0.2023762397,0.2543970966,0.3362742915
UPRO_SMA_TO_TBILL,SP500,200,50,LAG1,0,20,240,0.05342085221,0.1763276483,0.05463832852,0.08007369919,0.1084671166,0.1291063805,0.1405998139,0.1547461248,0.1716613927
UPRO_SMA_TO_TBILL,SP500,200,50,LAG1,0,30,120,0.1266370469,0.1704336726,0.1276242916,0.1348776867,0.1389844704,0.1461558482,0.1518988171,0.1572400876,0.1674914668
UPRO_ALWAYS,SP500,200,50,LAG1,25,10,360,-0.2785576574,0.429581348,-0.2598957054,-0.108860821,0.03755882139,0.121493287,0.2794240386,0.3601711101,0.4136327859
UPRO_ALWAYS,SP500,200,50,LAG1,25,20,240,-0.03187310567,0.1679665647,-0.007914600847,0.01446234653,0.03579700061,0.06090215039,0.1200170426,0.1438923827,0.165579154
UPRO_ALWAYS,SP500,200,50,LAG1,25,30,120,0.07745327156,0.1515133044,0.08064268311,0.09438712549,0.1132775896,0.1244216884,0.1333279875,0.1395283408,0.1466842844
UPRO_SMA_TO_SP500,SP500,200,50,LAG1,25,10,360,-0.1220484049,0.3590298128,-0.1112321208,-0.004165196597,0.09047352959,0.165963815,0.2270889119,0.2804040569,0.3445667167
UPRO_SMA_TO_SP500,SP500,200,50,LAG1,25,20,240,0.03674977888,0.1861676224,0.04562318834,0.06869581765,0.09161341845,0.1175757595,0.1410865995,0.1514256403,0.1817864759
UPRO_SMA_TO_SP500,SP500,200,50,LAG1,25,30,120,0.1224617114,0.1704029938,0.1239895627,0.128698858,0.1355662342,0.1446944516,0.1511479447,0.1577977256,0.1672307814
UPRO_SMA_TO_TBILL,SP500,200,50,LAG1,25,10,360,-0.09362502952,0.3331779907,-0.07019398034,0.009934270355,0.07791494776,0.1392204377,0.1846920886,0.2375579009,0.318994105
UPRO_SMA_TO_TBILL,SP500,200,50,LAG1,25,20,240,0.03305566942,0.158053824,0.0347426628,0.059747306,0.08818156657,0.1081468495,0.1204682911,0.1355414005,0.1527045958
UPRO_SMA_TO_TBILL,SP500,200,50,LAG1,25,30,120,0.1075309718,0.1503965185,0.1081103899,0.1150147086,0.1195576067,0.1260693282,0.1321409663,0.1377289524,0.1479185396
TQQQ_ALWAYS,NASDAQ100,200,50,LAG1,0,10,360,-0.4938753496,0.8098001055,-0.4729720434,-0.2541709192,-0.1253922156,0.1670271837,0.3865803264,0.5124104559,0.7538884146
TQQQ_ALWAYS,NASDAQ100,200,50,LAG1,0,20,240,-0.1653034601,0.3040407844,-0.1267546987,-0.07954189462,-0.04115969693,-0.01655356655,0.1698324314,0.2396710077,0.2970537846
TQQQ_ALWAYS,NASDAQ100,200,50,LAG1,0,30,120,0.03963849675,0.1476747007,0.0400911113,0.0568052359,0.08579725994,0.09865412026,0.1129726744,0.1272399907,0.1462962314
TQQQ_SMA_TO_NASDAQ,NASDAQ100,200,50,LAG1,0,10,360,-0.2312616444,0.6788781488,-0.1868108581,-0.012213431,0.09371324857,0.2045738877,0.3747671313,0.4277997628,0.6049358753
TQQQ_SMA_TO_NASDAQ,NASDAQ100,200,50,LAG1,0,20,240,-0.01611717025,0.337030517,0.02358954113,0.09719089416,0.1144471656,0.1360377061,0.2128626292,0.2681162623,0.3239487356
TQQQ_SMA_TO_NASDAQ,NASDAQ100,200,50,LAG1,0,30,120,0.1476399396,0.2471952518,0.1481395734,0.1599113705,0.183973232,0.2020638106,0.2235022755,0.23406672,0.2459065997
TQQQ_SMA_TO_TBILL,NASDAQ100,200,50,LAG1,0,10,360,-0.175476402,0.598078079,-0.1222434521,0.00226545867,0.08736941868,0.1957795142,0.3115857585,0.3753169626,0.5208032394
TQQQ_SMA_TO_TBILL,NASDAQ100,200,50,LAG1,0,20,240,-0.0161549069,0.2974267168,0.02337575876,0.09830516096,0.118133525,0.1359586072,0.1735318051,0.2286836554,0.283621466
TQQQ_SMA_TO_TBILL,NASDAQ100,200,50,LAG1,0,30,120,0.133142739,0.2345476788,0.1336360613,0.1422233634,0.1662172932,0.1843433561,0.2063023164,0.2203399462,0.2332549997
TQQQ_ALWAYS,NASDAQ100,200,50,LAG1,25,10,360,-0.4938753496,0.8098001055,-0.4729720434,-0.2541709192,-0.1253922156,0.1670271837,0.3865803264,0.5124104559,0.7538884146
TQQQ_ALWAYS,NASDAQ100,200,50,LAG1,25,20,240,-0.1653034601,0.3040407844,-0.1267546987,-0.07954189462,-0.04115969693,-0.01655356655,0.1698324314,0.2396710077,0.2970537846
TQQQ_ALWAYS,NASDAQ100,200,50,LAG1,25,30,120,0.03963849675,0.1476747007,0.0400911113,0.0568052359,0.08579725994,0.09865412026,0.1129726744,0.1272399907,0.1462962314
TQQQ_SMA_TO_NASDAQ,NASDAQ100,200,50,LAG1,25,10,360,-0.2487601118,0.6559261672,-0.2049618408,-0.03276842473,0.06902063698,0.182260863,0.351942124,0.4055529407,0.5821815976
TQQQ_SMA_TO_NASDAQ,NASDAQ100,200,50,LAG1,25,20,240,-0.03695027003,0.316278847,0.002095822132,0.07450610887,0.09212598696,0.1133305341,0.1892630179,0.2459349328,0.3033973133
TQQQ_SMA_TO_NASDAQ,NASDAQ100,200,50,LAG1,25,30,120,0.125451268,0.2257378478,0.1259412418,0.1373770562,0.1616862794,0.1800037815,0.2015676944,0.2119509337,0.2244546974
TQQQ_SMA_TO_TBILL,NASDAQ100,200,50,LAG1,25,10,360,-0.1942446853,0.576230717,-0.1422212986,-0.02074555463,0.06494490171,0.1759056715,0.2909189358,0.3575387112,0.4993963141
TQQQ_SMA_TO_TBILL,NASDAQ100,200,50,LAG1,25,20,240,-0.03698720763,0.2772897262,0.001776669088,0.07439010981,0.09542909672,0.113051517,0.1506432172,0.2072503848,0.2637575766
TQQQ_SMA_TO_TBILL,NASDAQ100,200,50,LAG1,25,30,120,0.1112343589,0.2133078702,0.1117181432,0.1200326978,0.1444065427,0.1625125411,0.1847575568,0.1992744664,0.2120381602
SP500_1X,SP500,200,50,LAG2,0,10,360,-0.03201496806,0.1961421674,-0.02304209721,0.02905911199,0.07448022283,0.1085072471,0.141233658,0.1710129757,0.1908452016
SP500_1X,SP500,200,50,LAG2,0,20,240,0.04788163336,0.1226043042,0.05643778558,0.06413846662,0.07727483689,0.08783863295,0.09994564298,0.1088416284,0.1179557101
SP500_1X,SP500,200,50,LAG2,0,30,120,0.0933527571,0.1107476051,0.09381658218,0.09677620461,0.09877595517,0.1030718628,0.1055460815,0.1072475698,0.1095397856
NASDAQ100_1X,NASDAQ100,200,50,LAG2,0,10,360,-0.07720148065,0.356322075,-0.0675230807,0.04064453585,0.1057058549,0.1421051732,0.1923304009,0.2241525697,0.3451816561
NASDAQ100_1X,NASDAQ100,200,50,LAG2,0,20,240,0.03688980808,0.1703152388,0.05080195991,0.08912770444,0.1051645302,0.1181901885,0.1332779979,0.1483092275,0.1684665393
NASDAQ100_1X,NASDAQ100,200,50,LAG2,0,30,120,0.1228274544,0.1548630243,0.1234742921,0.1289999319,0.1335468453,0.1387550428,0.142854002,0.1485790242,0.1547528732
SSO_ALWAYS,SP500,200,50,LAG2,0,10,360,-0.1477707221,0.3126470453,-0.1323046002,-0.02513079176,0.07320174774,0.1303028173,0.224534771,0.2703400387,0.3017810474
SSO_ALWAYS,SP500,200,50,LAG2,0,20,240,0.02327785523,0.1588077093,0.0406868789,0.05542299506,0.0715037683,0.09036078653,0.1255555149,0.1401845611,0.1568898243
SSO_ALWAYS,SP500,200,50,LAG2,0,30,120,0.1010207013,0.1450451639,0.1035776307,0.1095381112,0.1206158384,0.128313937,0.1338446245,0.1375848569,0.14413895
SSO_SMA_TO_SP500,SP500,200,50,LAG2,0,10,360,-0.0488771924,0.2788349608,-0.04309801124,0.04453276773,0.1064726272,0.1599667468,0.2012357558,0.2410896471,0.2727464206
