series,lag,signal_source,state,days,actual_log_advantage,avoided_leveraged_equity_log,retained_1x_equity_log,net_equity_exposure_change_log,avoided_negative_equity_log,forgone_positive_equity_log,equity_log_forgone_to_cash,tbill_log_earned,path_compounding_improvement_log,financing_savings_log,expense_savings_log,explained_log_advantage,identity_residual
SSO_SMA_TO_SP500,LAG1,PRICE_INDEX,above,7619,0,0,0,0,0,0,0,0,0,0,0,0,0
SSO_SMA_TO_SP500,LAG1,PRICE_INDEX,below,2440,0.3573715283,-1.848473759,0.9242368797,-0.9242368797,14.71195204,-15.63618891,0,0,0.8400140004,0.356587056,0.08500735151,0.3573715283,0
SSO_SMA_TO_TBILL,LAG1,PRICE_INDEX,above,7619,0,0,0,0,0,0,0,0,0,0,0,0,0
SSO_SMA_TO_TBILL,LAG1,PRICE_INDEX,below,2440,-0.2837267571,-1.848473759,0,-1.848473759,29.42390407,-31.27237783,0.9242368797,0.2831385943,0.8400140004,0.356587056,0.08500735151,-0.2837267571,0
SSO_SMA_TO_SP500,LAG2,PRICE_INDEX,above,7618,0,0,0,0,0,0,0,0,0,0,0,0,0
SSO_SMA_TO_SP500,LAG2,PRICE_INDEX,below,2441,0.5065574439,-1.534566303,0.7672831514,-0.7672831514,14.67398634,-15.4412695,0,0,0.8346837708,0.3545175885,0.08463923609,0.5065574439,0
SSO_SMA_TO_TBILL,LAG2,PRICE_INDEX,above,7618,0,0,0,0,0,0,0,0,0,0,0,0,0
SSO_SMA_TO_TBILL,LAG2,PRICE_INDEX,below,2441,0.02068764728,-1.534566303,0,-1.534566303,29.34797269,-30.88253899,0.7672831514,0.2814133548,0.8346837708,0.3545175885,0.08463923609,0.02068764728,0
UPRO_SMA_TO_SP500,LAG1,PRICE_INDEX,above,7619,0,0,0,0,0,0,0,0,0,0,0,0,0
UPRO_SMA_TO_SP500,LAG1,PRICE_INDEX,below,2440,1.550567759,-2.772710639,0.9242368797,-1.848473759,29.42390407,-31.27237783,0,0,2.596782955,0.7150740981,0.08718446468,1.550567759,0
UPRO_SMA_TO_TBILL,LAG1,PRICE_INDEX,above,7619,0,0,0,0,0,0,0,0,0,0,0,0,0
UPRO_SMA_TO_TBILL,LAG1,PRICE_INDEX,below,2440,0.9094694733,-2.772710639,0,-2.772710639,44.13585611,-46.90856674,0.9242368797,0.2831385943,2.596782955,0.7150740981,0.08718446468,0.9094694733,0
UPRO_SMA_TO_SP500,LAG2,PRICE_INDEX,above,7618,0,0,0,0,0,0,0,0,0,0,0,0,0
UPRO_SMA_TO_SP500,LAG2,PRICE_INDEX,below,2441,1.843948278,-2.301849454,0.7672831514,-1.534566303,29.34797269,-30.88253899,0,0,2.580784407,0.7109163769,0.08681379619,1.843948278,0
UPRO_SMA_TO_TBILL,LAG2,PRICE_INDEX,above,7618,0,0,0,0,0,0,0,0,0,0,0,0,0
UPRO_SMA_TO_TBILL,LAG2,PRICE_INDEX,below,2441,1.358078481,-2.301849454,0,-2.301849454,44.02195903,-46.32380849,0.7672831514,0.2814133548,2.580784407,0.7109163769,0.08681379619,1.358078481,0
