series,lag,state,days,fraction_days,signal_price_volatility,sp500_total_return_log,upro_total_return_log
UPRO_SMA_TO_SP500,LAG1,favorable,7619,0.7574311562,0.132646947,0.1103762711,0.1903391074
UPRO_SMA_TO_SP500,LAG1,unfavorable,2440,0.2425688438,0.2885877041,0.09545397282,-0.06468663177
VOL_BINARY,LAG1,favorable,8088,0.8040560692,0.1351852851,0.1027103195,0.1639127482
VOL_BINARY,LAG1,unfavorable,1971,0.1959439308,0.3100330133,0.1233604458,-0.01692949255
REL_VOL,LAG1,favorable,6116,0.6080127249,0.1486975456,0.08921171296,0.1159047118
REL_VOL,LAG1,unfavorable,3943,0.3919872751,0.2263250709,0.1339704962,0.1479799798
EFFICIENCY,LAG1,favorable,1415,0.1406700467,0.1189721177,0.01203808746,-0.1060863361
EFFICIENCY,LAG1,unfavorable,8644,0.8593299533,0.1915417299,0.1222617549,0.1668753405
TREND_QUALITY,LAG1,favorable,6877,0.6836663684,0.1505549212,0.09595673442,0.1252143669
TREND_QUALITY,LAG1,unfavorable,3182,0.3163336316,0.2387259331,0.1300974357,0.1355308222
LOW_CHURN,LAG1,favorable,3743,0.372104583,0.1783586423,0.1006364853,0.1074620705
LOW_CHURN,LAG1,unfavorable,6316,0.627895417,0.1858524068,0.1103834925,0.1409321956
AO,LAG1,favorable,6564,0.6525499553,0.1372265603,0.07730133797,0.08858564067
AO,LAG1,unfavorable,3495,0.3474500447,0.2471834752,0.16207683,0.2033997517
UPRO_ALWAYS,LAG1,favorable,10059,1,0.183091375,0.1067565865,0.1284778087
UPRO_ALWAYS,LAG1,unfavorable,0,0,,,
SP500_1X,LAG1,favorable,0,0,,,
SP500_1X,LAG1,unfavorable,10059,1,0.183091375,0.1067565865,0.1284778087
UPRO_SMA_TO_SP500,LAG2,favorable,7618,0.7573317427,0.1333002037,0.1155827184,0.2052609464
UPRO_SMA_TO_SP500,LAG2,unfavorable,2441,0.2426682573,0.2876006125,0.07921153386,-0.1111510085
VOL_BINARY,LAG2,favorable,8087,0.8039566557,0.1346530083,0.1006781165,0.1583648025
VOL_BINARY,LAG2,unfavorable,1972,0.1960433443,0.3109115272,0.1316838617,0.005913853983
REL_VOL,LAG2,favorable,6115,0.6079133115,0.1489429807,0.1067579389,0.1681437996
REL_VOL,LAG2,unfavorable,3944,0.3920866885,0.2260783634,0.1067544896,0.06697741962
EFFICIENCY,LAG2,favorable,1415,0.1406700467,0.1202256027,0.06952528259,0.06841181788
EFFICIENCY,LAG2,unfavorable,8644,0.8593299533,0.1914265242,0.1128512527,0.1383104529
TREND_QUALITY,LAG2,favorable,6876,0.683566955,0.1520572887,0.09997275177,0.1357287715
TREND_QUALITY,LAG2,unfavorable,3183,0.316433045,0.2366444179,0.1214112039,0.1128140888
LOW_CHURN,LAG2,favorable,3743,0.372104583,0.1758469623,0.1030239417,0.1179408033
LOW_CHURN,LAG2,unfavorable,6316,0.627895417,0.1872658641,0.1089686335,0.134722269
AO,LAG2,favorable,6563,0.6524505418,0.1385294396,0.09640369505,0.1445124632
AO,LAG2,unfavorable,3496,0.3475494582,0.2458357487,0.1261919487,0.09837613895
UPRO_ALWAYS,LAG2,favorable,10059,1,0.183091375,0.1067565865,0.1284778087
UPRO_ALWAYS,LAG2,unfavorable,0,0,,,
SP500_1X,LAG2,favorable,0,0,,,
SP500_1X,LAG2,unfavorable,10059,1,0.183091375,0.1067565865,0.1284778087
