series,lag,switch_cost_bps,period,entry_close,first_return,last_return,observations,cagr,max_drawdown,terminal_multiple,years,annualized_volatility,sharpe,longest_underwater_calendar_days,max_drawdown_peak,max_drawdown_trough,max_drawdown_recovery,max_drawdown_recovered,max_drawdown_recovery_days_from_trough,max_drawdown_recovery_days_from_peak,worst_calendar_year,worst_calendar_year_return,best_calendar_year,best_calendar_year_return,worst_rolling_1y_cagr,worst_rolling_5y_cagr,worst_rolling_10y_cagr,switch_count,switches_per_year
UPRO_SMA_TO_SP500,LAG1,0,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.3317949611,-0.5053980643,41.45726076,12.99931554,0.381993178,0.7984345898,713,1987-08-25,1988-11-16,1989-08-07,True,264,713,1990,-0.2394118108,1995,1.22788602,-0.4948529265,0.03436144189,0.2029251877,66,5.077190396
UPRO_SMA_TO_SP500,LAG1,0,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.05335833009,-0.7249622766,0.5778612545,10.00136893,0.3659753734,-0.04156520619,3653,1999-12-31,2009-03-09,,False,,,2000,-0.4867144888,2003,0.7447869539,-0.5396321429,-0.149814471,-0.05335833009,92,9.198740761
UPRO_SMA_TO_SP500,LAG1,0,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.2318724654,-0.4208131783,8.045138087,9.998631075,0.3490756368,0.7581978661,699,2018-01-26,2018-12-24,2019-12-26,True,367,699,2018,-0.2356810837,2013,1.18798752,-0.3464475586,0.09803667923,0.2318724654,60,6.000821468
UPRO_SMA_TO_SP500,LAG1,0,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.274795843,-0.5572725565,5.052600402,6.672142368,0.4058163549,0.7338930457,807,2020-02-19,2020-03-23,2020-12-17,True,269,302,2022,-0.4222627996,2021,0.9825793327,-0.4381098401,0.1861539858,,40,5.995075913
UPRO_SMA_TO_SP500,LAG1,25,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.3149764522,-0.5152039791,35.14408906,12.99931554,0.3821158024,0.7651101657,734,1987-08-25,1988-11-16,1989-08-28,True,285,734,1990,-0.263763518,1995,1.22788602,-0.5023676177,0.01894895117,0.1867769578,66,5.077190396
UPRO_SMA_TO_SP500,LAG1,25,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.07490633564,-0.777674573,0.458997983,10.00136893,0.3656945947,-0.1049177987,3653,1999-12-31,2009-03-09,,False,,,2000,-0.5129988387,2003,0.7230858939,-0.5566084725,-0.1712494781,-0.07490633564,92,9.198740761
UPRO_SMA_TO_SP500,LAG1,25,2010_2019,2009-12-31,2010-01-04,2019-12-31,2516,0.2135069869,-0.4365432062,6.923214131,9.998631075,0.3492926051,0.714861131,704,2018-01-26,2018-12-24,,False,,,2018,-0.25643908,2013,1.18798752,-0.3641137854,0.07734249265,0.2135069869,60,6.000821468
UPRO_SMA_TO_SP500,LAG1,25,2020_latest,2019-12-31,2020-01-02,2026-09-02,1676,0.2558084984,-0.5627790482,4.571209511,6.672142368,0.4059653314,0.6966746152,890,2020-02-19,2020-03-23,2020-12-31,True,283,316,2022,-0.4407601774,2021,0.9825793327,-0.4561119666,0.1684701053,,40,5.995075913
VOL_BINARY,LAG1,0,1987_1999,1986-12-31,1987-01-02,1999-12-31,3286,0.3216638797,-0.5142490165,37.53966321,12.99931554,0.3901916304,0.7705907064,808,1989-10-09,1990-10-11,1991-12-26,True,441,808,1990,-0.3187028659,1995,1.22788602,-0.5033501469,0.0563558886,0.2311268933,58,4.461773378
VOL_BINARY,LAG1,0,2000_2009,1999-12-31,2000-01-03,2009-12-31,2515,-0.1424178896,-0.884043397,0.2151125695,10.00136893,0.4023736921,-0.2484058634,3569,2000-03-24,2009-03-09,,False,,,2008,-0.6633746293,2003,0.7407132409,-0.7333888833,-0.2136490965,-0.1424178896,70,6.999041883
