lag,event,legacy_first_riskoff_signal,revised_first_riskoff_signal,legacy_max_drawdown,revised_max_drawdown,legacy_episode_end_value,revised_episode_end_value
LAG1,1987,1987-10-16,1987-10-15,-0.550009909588,-0.494566622936,1.09392399154,1.37790404332
LAG1,2000_2002,2000-02-18,2000-02-18,-0.693616793635,-0.719800255819,0.348454226898,0.318675381703
LAG1,2007_2009,2007-08-03,2007-08-03,-0.693515188166,-0.688382633643,0.895929112305,0.808923126761
LAG1,2020,2020-02-27,2020-02-27,-0.557272556512,-0.557272556512,1.28290355899,1.18028413413
LAG1,2022,2022-01-21,2022-01-21,-0.440556011627,-0.451234881514,0.58187896664,0.577737200404
LAG2,1987,1987-10-16,1987-10-15,-0.782365596882,-0.550009909588,0.523213241442,1.22675547989
LAG2,2000_2002,2000-02-18,2000-02-18,-0.679128007603,-0.692829338121,0.364932541083,0.349349811893
LAG2,2007_2009,2007-08-03,2007-08-03,-0.7190567122,-0.689541473566,0.781989231711,0.808057134153
LAG2,2020,2020-02-27,2020-02-27,-0.481468808212,-0.481468808212,1.45992538529,1.39959755523
LAG2,2022,2022-01-21,2022-01-21,-0.485033263507,-0.462481579474,0.532642703775,0.555968462716
