test_family,series,sma_days,lag,switch_cost_bps,cagr,terminal_multiple,max_drawdown,sharpe,switches_per_year,worst_rolling_20y_cagr,worst_rolling_30y_cagr,average_equity_exposure,fee_equal_timing_cagr_difference
SMA_PRIMARY,UPRO_SMA_TO_SP500,150,LAG1,0,0.155735016023,323.743117915,-0.844693730859,0.493196251042,9.44050802139,0.0184697211057,0.108281133618,,
SMA_PRIMARY,UPRO_SMA_TO_SP500,150,LAG1,25,0.128744212268,125.99853289,-0.883541018346,0.429589188406,9.44050802139,-0.00981054712421,0.0801688216081,,
SMA_PRIMARY,UPRO_SMA_TO_SP500,150,LAG2,0,0.175118998423,629.026495849,-0.808593785999,0.537176877846,9.44050802139,0.064488816137,0.127085924376,,
SMA_PRIMARY,UPRO_SMA_TO_SP500,150,LAG2,25,0.147675505032,244.812665474,-0.838323511699,0.473787049682,9.44050802139,0.0349307167412,0.100142429149,,
SMA_PRIMARY,UPRO_SMA_TO_SP500,200,LAG1,0,0.18204865612,795.502206835,-0.754579827087,0.551902979419,6.5357363225,0.0457308547913,0.137331485869,,
SMA_PRIMARY,UPRO_SMA_TO_SP500,200,LAG1,25,0.162867902035,413.913342794,-0.803592193382,0.508302015204,6.5357363225,0.0261535458658,0.118323932363,,
SMA_PRIMARY,UPRO_SMA_TO_SP500,200,LAG2,0,0.190764649823,1066.73103199,-0.732927913636,0.570756351947,6.5357363225,0.0835887051133,0.145960960222,,
SMA_PRIMARY,UPRO_SMA_TO_SP500,200,LAG2,25,0.171442463885,555.038318588,-0.754102369992,0.52735661942,6.5357363225,0.0633026527979,0.126809187377,,
SMA_PRIMARY,UPRO_SMA_TO_SP500,250,LAG1,0,0.189141838832,1010.18961614,-0.723505789486,0.564916644986,5.40888523241,0.0521300570837,0.144201453065,,
SMA_PRIMARY,UPRO_SMA_TO_SP500,250,LAG1,25,0.173150375796,588.288341175,-0.771976463137,0.529403450901,5.40888523241,0.035798028056,0.128840146278,,
SMA_PRIMARY,UPRO_SMA_TO_SP500,250,LAG2,0,0.149811745518,263.685313568,-0.782365596882,0.483266768514,5.40888523241,0.0503614614497,0.104928024862,,
SMA_PRIMARY,UPRO_SMA_TO_SP500,250,LAG2,25,0.134349189727,153.558295624,-0.78277486853,0.449144811364,5.40888523241,0.0340568860196,0.090093977657,,
SMA_CROSS_FAMILY,SSO_SMA_TO_SP500,200,LAG1,25,0.132336708377,143.046360949,-0.69372246755,0.478847679123,6.5357363225,0.0258994149894,0.0975608348736,,
SMA_CROSS_FAMILY,SSO_SMA_TO_SP500,200,LAG2,25,0.136574785876,166.060917812,-0.64832339824,0.492067932814,6.5357363225,0.0443500304389,0.10385635323,,
SMA_CROSS_FAMILY,TQQQ_SMA_TO_NASDAQ,200,LAG1,25,0.207060230112,1835.63938077,-0.982879310881,0.563182302238,6.83622994652,-0.0513428966709,0.121573192637,,
SMA_CROSS_FAMILY,TQQQ_SMA_TO_NASDAQ,200,LAG2,25,0.20455568301,1689.52347652,-0.964552979234,0.561964040038,6.83622994652,-0.0176905228699,0.121736093622,,
VOLATILITY,VOL_TARGET_20,,LAG1,25,0.106229866899,56.3552237707,-0.611946266536,0.408864129895,13.296842863,0.0257747220059,0.0777013466638,1.63346257083,
VOLATILITY,VOL_BINARY,,LAG1,25,0.153351667661,298.125076768,-0.914399438976,0.482841538543,5.28367955574,0.0151310856413,0.102503639783,2.60811213838,
VOLATILITY,VOL_TARGET_20,,LAG2,25,0.110285788211,65.2237531379,-0.611548610234,0.42288219981,13.2718017277,0.0224523961797,0.0812120141432,1.63326374391,
VOLATILITY,VOL_BINARY,,LAG2,25,0.150090756775,266.252632995,-0.889494405543,0.475599785932,5.28367955574,0.0155966159618,0.10331996757,2.60791331146,
REGIME_LAG2_25BP,UPRO_SMA_TO_SP500,,LAG2,25,0.171442463885,555.038318588,-0.754102369992,0.52735661942,6.5357363225,0.0633026527979,0.126809187377,2.51466348544,0.0247388644048
REGIME_LAG2_25BP,VOL_BINARY,,LAG2,25,0.150090756775,266.252632995,-0.889494405543,0.475599785932,5.28367955574,0.0155966159618,0.10331996757,2.60791331146,0.00442376364772
REGIME_LAG2_25BP,REL_VOL,,LAG2,25,0.11961298498,91.0946539603,-0.968129423195,0.40681117668,12.395361991,-0.0410430816333,0.0495874763393,2.21582662292,-0.027829394697
REGIME_LAG2_25BP,EFFICIENCY,,LAG2,25,0.0869339636818,27.9092088991,-0.557268760701,0.345270334377,9.26522007404,0.00458571663229,0.0602736750925,1.28134009345,-0.0388472380501
REGIME_LAG2_25BP,TREND_QUALITY,,LAG2,25,0.13492274972,156.689651815,-0.787425207053,0.450830929716,1.82800287947,0.0416069239059,0.104731361128,2.36713390993,-0.0126453312074
REGIME_LAG2_25BP,LOW_CHURN,,LAG2,25,0.0814302059608,22.7879810005,-0.869054153007,0.321459589755,13.5722953517,-0.0319747876276,0.0338216399535,1.74420916592,-0.059513492855
REGIME_LAG2_25BP,AO,,LAG2,25,0.118032060584,86.0966885691,-0.80381160583,0.404253384542,10.5924002468,0.0124807295136,0.0726225546828,2.30490108361,-0.0295931195537
REGIME_LAG2_25BP,UPRO_ALWAYS,,LAG2,25,0.137031711948,168.747896283,-0.982010922896,0.461466824148,0,-0.0536605029174,0.073481409059,3,0
REGIME_LAG2_25BP,SP500_1X,,LAG2,25,0.112610960278,70.9068522733,-0.552502410697,0.503182502031,0,0.0393487442999,0.0875454303093,1,0
