series,lag,switch_cost_bps,signal_source,strategy_return_source,average_equity_exposure,fraction_1x,fraction_2x,fraction_3x,entry_close,first_return,last_return,observations,cagr,max_drawdown,terminal_multiple,years,annualized_volatility,sharpe,longest_underwater_calendar_days,max_drawdown_peak,max_drawdown_trough,max_drawdown_recovery,max_drawdown_recovered,max_drawdown_recovery_days_from_trough,max_drawdown_recovery_days_from_peak,worst_calendar_year,worst_calendar_year_return,best_calendar_year,best_calendar_year_return,worst_rolling_1y_cagr,worst_rolling_5y_cagr,worst_rolling_10y_cagr,worst_rolling_20y_cagr,cohort_20y_count,cohort_20y_min_cagr,cohort_20y_median_cagr,worst_rolling_30y_cagr,cohort_30y_count,cohort_30y_min_cagr,cohort_30y_median_cagr,switch_count,switches_per_year
VOL_TARGET_20,LAG1,0,PRICE_RETURN,TOTAL_RETURN,1.633462571,0.4890148126,0.388507804,0.1224773834,1986-09-26,1986-09-29,2026-09-02,10059,0.1436689217,-0.5788356175,212.9030897,39.93429158,0.2431974444,0.5459257266,2491,2007-07-13,2009-03-09,2011-04-29,True,781,1386,2008,-0.3857254797,1995,1.007526176,-0.4883195109,-0.08376243655,-0.05484382783,0.05705391807,240,0.06470666656,0.1158825104,0.113717294,120,0.1165359073,0.1302981805,531,13.29684286
VOL_TARGET_20,LAG1,10,PRICE_RETURN,TOTAL_RETURN,1.633462571,0.4890148126,0.388507804,0.1224773834,1986-09-26,1986-09-29,2026-09-02,10059,0.1285548847,-0.5826109703,125.1573076,39.93429158,0.243217754,0.491159386,2581,2007-07-13,2009-03-09,2012-02-28,True,1086,1691,2008,-0.3869534145,1995,0.9716962241,-0.4893430601,-0.0957787272,-0.06340649707,0.04443880458,240,0.05273725015,0.1032526364,0.09917954011,120,0.1019678253,0.1168648259,531,13.29684286
VOL_TARGET_20,LAG1,25,PRICE_RETURN,TOTAL_RETURN,1.633462571,0.4890148126,0.388507804,0.1224773834,1986-09-26,1986-09-29,2026-09-02,10059,0.1062298669,-0.6119462665,56.35522377,39.93429158,0.2433454538,0.4088641299,4815,1999-12-31,2009-03-09,2013-03-07,True,1459,4815,2008,-0.3887930131,1995,0.9190818371,-0.4908764611,-0.1140721296,-0.07612106421,0.02577472201,240,0.03419617048,0.08449003682,0.07770134666,120,0.08043514814,0.09670326679,531,13.29684286
VOL_TARGET_20,LAG1,50,PRICE_RETURN,TOTAL_RETURN,1.633462571,0.4890148126,0.388507804,0.1224773834,1986-09-26,1986-09-29,2026-09-02,10059,0.0699270472,-0.687271807,14.86749633,39.93429158,0.2438170252,0.2716100397,6559,1999-12-31,2009-03-09,2017-12-15,True,3203,6559,2008,-0.391852868,1995,0.8343266261,-0.4934270022,-0.143800965,-0.09697090813,-0.004653922605,240,0.003517711504,0.05286984145,0.04276407805,120,0.04540925428,0.06368871382,531,13.29684286
VOL_BINARY,LAG1,0,PRICE_RETURN,TOTAL_RETURN,2.608112138,0.1959439308,0,0.8040560692,1986-09-26,1986-09-29,2026-09-02,10059,0.168706913,-0.8974679922,505.5634729,39.93429158,0.3902391224,0.5167454153,5702,1999-07-16,2009-03-09,2015-02-24,True,2178,5702,2008,-0.6633746293,1995,1.22788602,-0.7333888833,-0.3058935953,-0.1928608418,0.03026668787,240,0.03419666436,0.08463530942,0.1163882634,120,0.1205188805,0.1400279501,211,5.283679556
VOL_BINARY,LAG1,10,PRICE_RETURN,TOTAL_RETURN,2.608112138,0.1959439308,0,0.8040560692,1986-09-26,1986-09-29,2026-09-02,10059,0.1625450517,-0.9041878907,409.3489721,39.93429158,0.390245172,0.5031958619,6449,1999-04-12,2009-03-09,2016-12-07,True,2830,6449,2008,-0.6697132733,1995,1.22788602,-0.7389208411,-0.3145899725,-0.1991325976,0.02461989566,240,0.02805840401,0.07807297784,0.1108177284,120,0.1149277346,0.1340030817,211,5.283679556
VOL_BINARY,LAG1,25,PRICE_RETURN,TOTAL_RETURN,2.608112138,0.1959439308,0,0.8040560692,1986-09-26,1986-09-29,2026-09-02,10059,0.1533516677,-0.914399439,298.1250768,39.93429158,0.3902791304,0.4828415385,6525,1999-04-12,2009-03-09,2017-02-21,True,2906,6525,2008,-0.6790096122,1995,1.22788602,-0.7470142693,-0.3274466019,-0.2084605726,0.01513108564,240,0.01890786272,0.06839165018,0.1025036398,120,0.106582884,0.1238628419,211,5.283679556
VOL_BINARY,LAG1,50,PRICE_RETURN,TOTAL_RETURN,2.608112138,0.1959439308,0,0.8040560692,1986-09-26,1986-09-29,2026-09-02,10059,0.1381603949,-0.9316784135,175.5681472,39.93429158,0.3904020621,0.4488492761,7067,1998-07-17,2009-03-09,2017-11-21,True,3179,7067,2008,-0.6939549364,1995,1.22788602,-0.7599749171,-0.3483819382,-0.2237968198,-0.0007890651904,240,0.003721931232,0.05229490824,0.08875750698,120,0.09040510642,0.1070818838,211,5.283679556
VOL_TARGET_20,LAG2,0,PRICE_RETURN,TOTAL_RETURN,1.633263744,0.4891142261,0.388507804,0.12237797,1986-09-26,1986-09-29,2026-09-02,10059,0.1477901637,-0.5647609977,245.7912824,39.93429158,0.2443962806,0.5590175288,2540,2007-07-13,2009-03-09,2011-01-27,True,689,1294,2008,-0.3844688245,1995,1.037708611,-0.4872720203,-0.08261854044,-0.05563408124,0.05363028376,240,0.062280422,0.1182781622,0.1143630109,120,0.1145715749,0.1311415246,530,13.27180173
VOL_TARGET_20,LAG2,10,PRICE_RETURN,TOTAL_RETURN,1.633263744,0.4891142261,0.388507804,0.12237797,1986-09-26,1986-09-29,2026-09-02,10059,0.1326500396,-0.5686625166,144.6356112,39.93429158,0.2444105509,0.5046252517,2698,2007-07-13,2009-03-09,2011-02-08,True,701,1306,2008,-0.3856992713,1995,1.001339969,-0.4882976648,-0.09489126222,-0.06418959116,0.04105602868,240,0.04960293427,0.1050772267,0.1009923389,120,0.1011971874,0.1174689118,530,13.27180173
VOL_TARGET_20,LAG2,25,PRICE_RETURN,TOTAL_RETURN,1.633263744,0.4891142261,0.388507804,0.12237797,1986-09-26,1986-09-29,2026-09-02,10059,0.1102857882,-0.6115486102,65.22375314,39.93429158,0.244528577,0.4228821998,4462,1999-12-31,2009-03-09,2012-03-19,True,1106,4462,2008,-0.3875426333,1995,0.9479345432,-0.4898342049,-0.113202619,-0.07689352754,0.02245239618,240,0.03084656889,0.08545279016,0.08121201414,120,0.08141139324,0.09645641353,530,13.27180173
VOL_TARGET_20,LAG2,50,PRICE_RETURN,TOTAL_RETURN,1.633263744,0.4891142261,0.388507804,0.12237797,1986-09-26,1986-09-29,2026-09-02,10059,0.07391734779,-0.6869513402,17.250404,39.93429158,0.2449824269,0.2865195657,6555,1999-12-31,2009-03-09,2017-12-11,True,3199,6555,2008,-0.390608748,1995,0.8619050681,-0.4923899674,-0.1429606324,-0.09772593872,-0.007877694753,240,0.0002674726956,0.05359209001,0.04769399283,120,0.04915825612,0.06356993631,530,13.27180173
VOL_BINARY,LAG2,0,PRICE_RETURN,TOTAL_RETURN,2.607913311,0.1960433443,0,0.8039566557,1986-09-26,1986-09-29,2026-09-02,10059,0.1654025877,-0.865934415,451.5138655,39.93429158,0.3890107803,0.5096019428,5793,1998-07-17,2002-10-09,2014-05-27,True,4248,5793,2008,-0.60045874,1995,1.22788602,-0.7090499796,-0.2947049322,-0.1649465306,0.03173701143,240,0.03448521772,0.09845858025,0.1209480213,120,0.1215723563,0.1403802132,211,5.283679556
