lag,signal_a,signal_b,days,agreement_fraction
LAG1,UPRO_SMA_TO_SP500,UPRO_SMA_TO_SP500,10059,1
LAG1,UPRO_SMA_TO_SP500,VOL_BINARY,10059,0.8400437419
LAG1,UPRO_SMA_TO_SP500,REL_VOL,10059,0.6306789939
LAG1,UPRO_SMA_TO_SP500,EFFICIENCY,10059,0.3830400636
LAG1,UPRO_SMA_TO_SP500,TREND_QUALITY,10059,0.8580375783
LAG1,UPRO_SMA_TO_SP500,LOW_CHURN,10059,0.4790734665
LAG1,UPRO_SMA_TO_SP500,AO,10059,0.7318818968
LAG1,VOL_BINARY,UPRO_SMA_TO_SP500,10059,0.8400437419
LAG1,VOL_BINARY,VOL_BINARY,10059,1
LAG1,VOL_BINARY,REL_VOL,10059,0.6926135799
LAG1,VOL_BINARY,EFFICIENCY,10059,0.332836266
LAG1,VOL_BINARY,TREND_QUALITY,10059,0.7696590118
LAG1,VOL_BINARY,LOW_CHURN,10059,0.4529277264
LAG1,VOL_BINARY,AO,10059,0.7065314644
LAG1,REL_VOL,UPRO_SMA_TO_SP500,10059,0.6306789939
LAG1,REL_VOL,VOL_BINARY,10059,0.6926135799
LAG1,REL_VOL,REL_VOL,10059,1
LAG1,REL_VOL,EFFICIENCY,10059,0.4745998608
LAG1,REL_VOL,TREND_QUALITY,10059,0.5756039368
LAG1,REL_VOL,LOW_CHURN,10059,0.458892534
LAG1,REL_VOL,AO,10059,0.6834675415
LAG1,EFFICIENCY,UPRO_SMA_TO_SP500,10059,0.3830400636
LAG1,EFFICIENCY,VOL_BINARY,10059,0.332836266
LAG1,EFFICIENCY,REL_VOL,10059,0.4745998608
LAG1,EFFICIENCY,EFFICIENCY,10059,1
LAG1,EFFICIENCY,TREND_QUALITY,10059,0.4452728899
LAG1,EFFICIENCY,LOW_CHURN,10059,0.636743215
LAG1,EFFICIENCY,AO,10059,0.4793717069
LAG1,TREND_QUALITY,UPRO_SMA_TO_SP500,10059,0.8580375783
LAG1,TREND_QUALITY,VOL_BINARY,10059,0.7696590118
LAG1,TREND_QUALITY,REL_VOL,10059,0.5756039368
LAG1,TREND_QUALITY,EFFICIENCY,10059,0.4452728899
LAG1,TREND_QUALITY,TREND_QUALITY,10059,1
LAG1,TREND_QUALITY,LOW_CHURN,10059,0.4886171588
LAG1,TREND_QUALITY,AO,10059,0.6274977632
LAG1,LOW_CHURN,UPRO_SMA_TO_SP500,10059,0.4790734665
LAG1,LOW_CHURN,VOL_BINARY,10059,0.4529277264
LAG1,LOW_CHURN,REL_VOL,10059,0.458892534
LAG1,LOW_CHURN,EFFICIENCY,10059,0.636743215
LAG1,LOW_CHURN,TREND_QUALITY,10059,0.4886171588
LAG1,LOW_CHURN,LOW_CHURN,10059,1
LAG1,LOW_CHURN,AO,10059,0.4915001491
LAG1,AO,UPRO_SMA_TO_SP500,10059,0.7318818968
LAG1,AO,VOL_BINARY,10059,0.7065314644
LAG1,AO,REL_VOL,10059,0.6834675415
LAG1,AO,EFFICIENCY,10059,0.4793717069
LAG1,AO,TREND_QUALITY,10059,0.6274977632
LAG1,AO,LOW_CHURN,10059,0.4915001491
LAG1,AO,AO,10059,1
LAG2,UPRO_SMA_TO_SP500,UPRO_SMA_TO_SP500,10059,1
LAG2,UPRO_SMA_TO_SP500,VOL_BINARY,10059,0.8400437419
LAG2,UPRO_SMA_TO_SP500,REL_VOL,10059,0.6306789939
LAG2,UPRO_SMA_TO_SP500,EFFICIENCY,10059,0.3831394771
LAG2,UPRO_SMA_TO_SP500,TREND_QUALITY,10059,0.8580375783
LAG2,UPRO_SMA_TO_SP500,LOW_CHURN,10059,0.47917288
LAG2,UPRO_SMA_TO_SP500,AO,10059,0.7318818968
LAG2,VOL_BINARY,UPRO_SMA_TO_SP500,10059,0.8400437419
LAG2,VOL_BINARY,VOL_BINARY,10059,1
LAG2,VOL_BINARY,REL_VOL,10059,0.6926135799
LAG2,VOL_BINARY,EFFICIENCY,10059,0.3329356795
LAG2,VOL_BINARY,TREND_QUALITY,10059,0.7696590118
LAG2,VOL_BINARY,LOW_CHURN,10059,0.4530271399
LAG2,VOL_BINARY,AO,10059,0.7065314644
LAG2,REL_VOL,UPRO_SMA_TO_SP500,10059,0.6306789939
LAG2,REL_VOL,VOL_BINARY,10059,0.6926135799
LAG2,REL_VOL,REL_VOL,10059,1
LAG2,REL_VOL,EFFICIENCY,10059,0.4746992743
LAG2,REL_VOL,TREND_QUALITY,10059,0.5756039368
LAG2,REL_VOL,LOW_CHURN,10059,0.4589919475
LAG2,REL_VOL,AO,10059,0.6834675415
LAG2,EFFICIENCY,UPRO_SMA_TO_SP500,10059,0.3831394771
LAG2,EFFICIENCY,VOL_BINARY,10059,0.3329356795
LAG2,EFFICIENCY,REL_VOL,10059,0.4746992743
LAG2,EFFICIENCY,EFFICIENCY,10059,1
LAG2,EFFICIENCY,TREND_QUALITY,10059,0.4453723034
LAG2,EFFICIENCY,LOW_CHURN,10059,0.636743215
LAG2,EFFICIENCY,AO,10059,0.4794711204
LAG2,TREND_QUALITY,UPRO_SMA_TO_SP500,10059,0.8580375783
LAG2,TREND_QUALITY,VOL_BINARY,10059,0.7696590118
LAG2,TREND_QUALITY,REL_VOL,10059,0.5756039368
LAG2,TREND_QUALITY,EFFICIENCY,10059,0.4453723034
LAG2,TREND_QUALITY,TREND_QUALITY,10059,1
LAG2,TREND_QUALITY,LOW_CHURN,10059,0.4887165722
LAG2,TREND_QUALITY,AO,10059,0.6274977632
LAG2,LOW_CHURN,UPRO_SMA_TO_SP500,10059,0.47917288
LAG2,LOW_CHURN,VOL_BINARY,10059,0.4530271399
LAG2,LOW_CHURN,REL_VOL,10059,0.4589919475
LAG2,LOW_CHURN,EFFICIENCY,10059,0.636743215
LAG2,LOW_CHURN,TREND_QUALITY,10059,0.4887165722
LAG2,LOW_CHURN,LOW_CHURN,10059,1
LAG2,LOW_CHURN,AO,10059,0.4915995626
LAG2,AO,UPRO_SMA_TO_SP500,10059,0.7318818968
LAG2,AO,VOL_BINARY,10059,0.7065314644
LAG2,AO,REL_VOL,10059,0.6834675415
LAG2,AO,EFFICIENCY,10059,0.4794711204
LAG2,AO,TREND_QUALITY,10059,0.6274977632
LAG2,AO,LOW_CHURN,10059,0.4915995626
LAG2,AO,AO,10059,1
