series,lag,state,days,fraction_days,mean_sp500_daily_return,mean_sp500_daily_log_return,mean_upro_daily_return,mean_upro_daily_log_return,annualized_sp500_log_return,annualized_upro_log_return,realized_volatility,annualized_approx_path_drag,annualized_exact_path_drag_log,annualized_financing_drag_log
UPRO_SMA_TO_SP500,LAG1,favorable,7866,0.781986280942,0.000500521023213,0.000464603689945,0.00115636811368,0.000831099691892,0.117080129866,0.209437122357,0.134135928042,0.0541598735659,0.0548800697452,0.0780283328948
UPRO_SMA_TO_SP500,LAG1,unfavorable,2193,0.218013719058,0.000456715703017,0.000276696055985,0.00104750582826,-0.000642509946749,0.0697274061081,-0.161912506581,0.299857062038,0.269777464703,0.289421092821,0.0726849394608
VOL_BINARY,LAG1,favorable,8070,0.802266626901,0.000455197377643,0.000418486976719,0.0010170326364,0.000684349789855,0.105458718133,0.172456147044,0.13563631778,0.0553414397082,0.0561359207548,0.0788811894995
VOL_BINARY,LAG1,unfavorable,1989,0.197733373099,0.000636115167289,0.000444533521248,0.00160166842023,-0.000198238783776,0.112022447354,-0.0499561735115,0.309266042461,0.287098103126,0.308381198934,0.0686765910144
REL_VOL,LAG1,favorable,6134,0.609802167213,0.000408265324845,0.000364111179933,0.000889731218322,0.00048992086494,0.0917560173431,0.123460057965,0.148882614628,0.0666132684272,0.0674224564037,0.0754741133302
REL_VOL,LAG1,unfavorable,3925,0.390197832787,0.000620223287316,0.000516664738388,0.00151224473131,0.00054095064399,0.130199514074,0.136319562285,0.227242534873,0.155168855294,0.166322990469,0.0790345802856
EFFICIENCY,LAG1,favorable,1415,0.140670046724,7.76748543071e-05,4.77701883506e-05,-0.000147720729688,-0.000420977524164,0.0120380874644,-0.106086336089,0.122408233515,0.0449241204121,0.0462496223002,0.0869568597533
EFFICIENCY,LAG1,unfavorable,8644,0.859329953276,0.000558626328837,0.00048516569405,0.00134222543916,0.000662203732056,0.122261754901,0.166875340478,0.191616959127,0.110374353908,0.115796375476,0.075211127052
TREND_QUALITY,LAG1,favorable,6877,0.683666368426,0.000426444487557,0.000380780692124,0.000930313950649,0.000496882408351,0.0959567344153,0.125214366904,0.150453240086,0.0680361399302,0.0746592496104,0.079099245249
TREND_QUALITY,LAG1,unfavorable,3182,0.316333631574,0.000630426513007,0.000516259665664,0.00156989403676,0.000537820723122,0.130097435747,0.135530822227,0.23980915134,0.172771530881,0.173776060843,0.0720312473951
LOW_CHURN,LAG1,favorable,3743,0.372104582961,0.000463676924873,0.000399351132232,0.00104095153589,0.000426436787876,0.100636485322,0.107462070545,0.178584071873,0.0958137878441,0.106147854052,0.0793319630224
LOW_CHURN,LAG1,unfavorable,6316,0.627895417039,0.000507145847928,0.000438029732099,0.00118696805965,0.000559254744487,0.110383492489,0.140932195611,0.186335025092,0.104340173791,0.105933449565,0.0754004751735
AO,LAG1,favorable,6564,0.652549955264,0.00034462919961,0.000306751341138,0.00069508140815,0.000351530320124,0.0773013379668,0.0885856406712,0.137865148259,0.0571015000562,0.057954237521,0.0764702154809
AO,LAG1,unfavorable,3495,0.347450044736,0.000765816835214,0.000643162023648,0.00195440844077,0.000807141871791,0.162076829959,0.203399751691,0.247344164801,0.183928268725,0.196273381998,0.0776018438832
