series,horizon_years,cohorts,min_cagr,median_cagr,max_cagr
LONG_TREASURY_1X,20,244,0.028080189381771925,0.07692666585276853,0.10413821451790861
LONG_TREASURY_1X,30,124,0.04580558247592159,0.07659779630559271,0.08851062262407883
NASDAQ100_1X,20,251,0.036889808080185604,0.1192159955425065,0.17031523880493604
NASDAQ100_1X,30,131,0.12040015347631883,0.1381855659156832,0.15486302427143794
SP500_1X,20,320,0.047881633355139286,0.0961690742543585,0.16435394457765362
SP500_1X,30,200,0.09253904624418663,0.10173908953194477,0.11074760512824766
SSO_BASE,20,320,0.023277855227301636,0.11162942986950453,0.2066529133989352
SSO_BASE,30,200,0.07391672692744966,0.11912561416461376,0.1450451638775132
TMF_BASE,20,244,-0.0370493315127558,0.1088585211628581,0.17082751543760577
TMF_BASE,30,124,0.012098390674257331,0.1057197213660298,0.14293860492168164
TQQQ_BASE,20,251,-0.16530346007638175,-0.01625808277823504,0.3040407844319113
TQQQ_BASE,30,131,0.026921678201712318,0.09596584785552187,0.14767470065347843
UPRO_BASE,20,320,-0.03187310567236146,0.09107948108746922,0.22319986373171763
UPRO_BASE,30,200,0.025497538608958425,0.10857013512846425,0.15151330438763266
