strategy,sma_days,lag,switch_cost_bps,permutations,real_cagr,benchmark_cagr,placebo_median_cagr,placebo_p90_cagr,real_percentile_in_placebo,placebo_beats_benchmark_fraction,p_value,specifications,p_sidak,significant_at_5pct_after_multiplicity,sessions,total_log_advantage,top1_day_share,top5_day_share,top20_day_share,best_day,best_day_share,top_month,top_month_share,advantage_excluding_top_month
SSO_SMA_TO_SP500,200,LAG1,25,2000,0.1323367084,0.1407594119,0.1153689251,0.1335008366,0.888,0.037,0.1124437781,144,0.9999999653,False,10059,-0.2959454586,0.3331878289,1.48265052,4.380922632,2008-10-13,0.3331878289,2011-10,0.4160832265,-0.1728075173
SSO_SMA_TO_TBILL,200,LAG1,25,2000,0.1143035068,0.1407594119,0.09537133829,0.1288239602,0.7735,0.044,0.2268865567,144,1,False,10059,-0.937043744,0.2221531755,0.9822975672,2.870854306,2008-10-13,0.2221531755,2011-10,0.2683724912,-0.6855669801
UPRO_SMA_TO_SP500,200,LAG1,25,2000,0.162867902,0.1370317119,0.111781256,0.1523151542,0.943,0.204,0.05747126437,144,0.9998011973,False,10059,0.8972507718,0.809594128,1.916956851,4.490152583,1987-10-19,0.809594128,1987-10,0.7659448194,0.2100061914
UPRO_SMA_TO_TBILL,200,LAG1,25,2000,0.1443484713,0.1370317119,0.09234948317,0.1466565444,0.8915,0.1415,0.1089455272,144,0.9999999389,False,10059,0.2561524864,3.731975147,9.232688591,22.26310516,1987-10-19,3.731975147,1987-10,3.351276154,-0.6022852332
TQQQ_SMA_TO_NASDAQ,200,LAG1,25,2000,0.2070602301,0.1345569198,0.1136714014,0.1777611982,0.962,0.3245,0.03848075962,144,0.9964848085,False,10059,2.473755482,0.1773498407,0.6339027467,1.740613705,1987-10-19,0.1773498407,2001-02,0.2829888507,1.773710261
TQQQ_SMA_TO_TBILL,200,LAG1,25,2000,0.1871456982,0.1345569198,0.08312352556,0.1704941451,0.9265,0.2125,0.07396301849,144,0.9999843513,False,10059,1.809409065,0.3331144806,1.213204864,3.388999418,1987-10-19,0.3331144806,2001-02,0.5584366254,0.7989687726
SSO_SMA_TO_SP500,200,LAG2,25,2000,0.1365747859,0.1407594119,0.1153370556,0.1331745196,0.933,0.0395,0.06746626687,144,0.9999571752,False,10059,-0.146759543,0.6718842457,2.989813672,8.834274972,2008-10-13,0.6718842457,2011-10,0.8415980411,-0.02324699909
SSO_SMA_TO_TBILL,200,LAG2,25,2000,0.1228301689,0.1407594119,0.09509236464,0.1280356566,0.8575,0.041,0.1429285357,144,0.9999999998,False,10059,-0.6326293396,0.3290508837,1.454968545,4.252278387,2008-10-13,0.3290508837,2011-10,0.3987567542,-0.3803641176
UPRO_SMA_TO_SP500,200,LAG2,25,2000,0.1714424639,0.1370317119,0.1120336432,0.1519912947,0.9675,0.204,0.03298350825,144,0.9920112501,False,10059,1.190631291,0.6080016808,1.442501887,3.377438096,1987-10-19,0.6080016808,1987-10,0.4796227954,0.6195773827
UPRO_SMA_TO_TBILL,200,LAG2,25,2000,0.1572761915,0.1370317119,0.09209868639,0.1460273152,0.9355,0.1425,0.06496751624,144,0.9999370429,False,10059,0.704761494,1.352871278,3.352159601,8.081088993,1987-10-19,1.352871278,2008-10,1.033508767,-0.02361568893
TQQQ_SMA_TO_NASDAQ,200,LAG2,25,2000,0.204555683,0.1345569198,0.1136283001,0.1778996562,0.962,0.319,0.03848075962,144,0.9964848085,False,10059,2.390809148,0.1362867155,0.562205619,1.645048999,2020-03-16,0.1362867155,2001-02,0.2928068188,1.690763927
TQQQ_SMA_TO_TBILL,200,LAG2,25,2000,0.1860027237,0.1345569198,0.08407331218,0.1713160963,0.9265,0.2105,0.07396301849,144,0.9999843513,False,10059,1.770942123,0.2574195403,1.071994503,3.179832176,2020-03-16,0.2574195403,2001-02,0.5705665245,0.7605018306
