series,lag,state,days,actual_log_advantage,avoided_leveraged_equity_log,retained_1x_equity_log,net_equity_exposure_change_log,avoided_negative_equity_log,forgone_positive_equity_log,equity_log_forgone_to_cash,tbill_log_earned,path_compounding_improvement_log,financing_savings_log,expense_savings_log,explained_log_advantage,identity_residual
SSO_SMA_TO_SP500,LAG1,above,7866,0,0,0,0,0,0,0,0,0,0,0,0,0
SSO_SMA_TO_SP500,LAG1,below,2193,0.598848603,-1.213588902,0.6067944508,-0.6067944508,13.93385694,-14.54065139,0,0,0.8140586844,0.3153385373,0.07624583208,0.598848603,5.551115123e-16
SSO_SMA_TO_TBILL,LAG1,above,7866,0,0,0,0,0,0,0,0,0,0,0,0,0
SSO_SMA_TO_TBILL,LAG1,below,2193,0.239765077,-1.213588902,0,-1.213588902,27.86771388,-29.08130278,0.6067944508,0.2477109248,0.8140586844,0.3153385373,0.07624583208,0.239765077,5.551115123e-16
SSO_SMA_TO_SP500,LAG2,above,7866,0,0,0,0,0,0,0,0,0,0,0,0,0
SSO_SMA_TO_SP500,LAG2,below,2193,0.1957371848,-1.875161385,0.9375806926,-0.9375806926,13.61535583,-14.55293652,0,0,0.7441268069,0.3130019366,0.07618913393,0.1957371848,2.775557562e-16
SSO_SMA_TO_TBILL,LAG2,above,7866,0,0,0,0,0,0,0,0,0,0,0,0,0
SSO_SMA_TO_TBILL,LAG2,below,2193,-0.4957536704,-1.875161385,0,-1.875161385,27.23071166,-29.10587305,0.9375806926,0.2460898374,0.7441268069,0.3130019366,0.07618913393,-0.4957536704,3.330669074e-16
UPRO_SMA_TO_SP500,LAG1,above,7866,0,0,0,0,0,0,0,0,0,0,0,0,0
UPRO_SMA_TO_SP500,LAG1,below,2193,2.015818764,-1.820383352,0.6067944508,-1.213588902,27.86771388,-29.08130278,0,0,2.518652605,0.6325320327,0.07822302747,2.015818764,4.440892099e-16
UPRO_SMA_TO_TBILL,LAG1,above,7866,0,0,0,0,0,0,0,0,0,0,0,0,0
UPRO_SMA_TO_TBILL,LAG1,below,2193,1.656735238,-1.820383352,0,-1.820383352,41.80157082,-43.62195417,0.6067944508,0.2477109248,2.518652605,0.6325320327,0.07822302747,1.656735238,4.440892099e-16
UPRO_SMA_TO_SP500,LAG2,above,7866,0,0,0,0,0,0,0,0,0,0,0,0,0
UPRO_SMA_TO_SP500,LAG2,below,2193,1.079245412,-2.812742078,0.9375806926,-1.875161385,27.23071166,-29.10587305,0,0,2.249702857,0.6266088081,0.07809513192,1.079245412,-2.220446049e-16
UPRO_SMA_TO_TBILL,LAG2,above,7866,0,0,0,0,0,0,0,0,0,0,0,0,0
UPRO_SMA_TO_TBILL,LAG2,below,2193,0.3877545567,-2.812742078,0,-2.812742078,40.84606749,-43.65880957,0.9375806926,0.2460898374,2.249702857,0.6266088081,0.07809513192,0.3877545567,-3.885780586e-16
