series,horizon_years,cohorts,first_entry,last_entry,min_cagr,median_cagr,max_cagr,min_terminal_multiple,median_terminal_multiple,window,sma_days,spread_bps
NASDAQ100_1X,20,240,1986-09-30,2006-08-31,0.03688980808,0.1181901885,0.1703152388,2.06372637,9.339284376,common,200,50
NASDAQ100_1X,30,120,1986-09-30,1996-08-30,0.1228274544,0.1387550428,0.1548630243,32.31912299,49.30713683,common,200,50
SP500_1X,20,240,1986-09-30,2006-08-31,0.04788163336,0.08783863295,0.1226043042,2.548264871,5.387530213,common,200,50
SP500_1X,30,120,1986-09-30,1996-08-30,0.0933527571,0.1030718628,0.1107476051,14.5499732,18.97715059,common,200,50
SSO_ALWAYS,20,240,1986-09-30,2006-08-31,0.02327785523,0.09036078653,0.1588077093,1.584424368,5.642300758,common,200,50
SSO_ALWAYS,30,120,1986-09-30,1996-08-30,0.1010207013,0.128313937,0.1450451639,17.944103,37.4211359,common,200,50
SSO_SMA_TO_SP500,20,240,1986-09-30,2006-08-31,0.06121234987,0.1230518963,0.1720172987,3.281299776,10.18585541,common,200,50
SSO_SMA_TO_SP500,30,120,1986-09-30,1996-08-30,0.1258490006,0.1463610475,0.1650504408,35.03280174,60.24078069,common,200,50
SSO_SMA_TO_TBILL,20,240,1986-09-30,2006-08-31,0.06618089309,0.1215016302,0.1548010929,3.602615443,9.908278087,common,200,50
SSO_SMA_TO_TBILL,30,120,1986-09-30,1996-08-30,0.1211639431,0.1378955075,0.1566435331,30.93240132,48.22829059,common,200,50
TQQQ_ALWAYS,20,240,1986-09-30,2006-08-31,-0.1653034601,-0.01655356655,0.3040407844,0.02695083743,0.7161678404,common,200,50
TQQQ_ALWAYS,30,120,1986-09-30,1996-08-30,0.03963849675,0.09865412026,0.1476747007,3.209916158,16.82240429,common,200,50
TQQQ_SMA_TO_NASDAQ,20,240,1986-09-30,2006-08-31,-0.02040007145,0.1346626868,0.3265122558,0.6621782253,12.51662949,common,200,50
TQQQ_SMA_TO_NASDAQ,30,120,1986-09-30,1996-08-30,0.1484789257,0.2000974247,0.244223569,63.64630806,238.0653894,common,200,50
TQQQ_SMA_TO_TBILL,20,240,1986-09-30,2006-08-31,-0.02187888782,0.1317410535,0.2831912616,0.6424697143,11.88341876,common,200,50
TQQQ_SMA_TO_TBILL,30,120,1986-09-30,1996-08-30,0.1347920658,0.1806323256,0.2307241641,44.41850077,145.7429573,common,200,50
UPRO_ALWAYS,20,240,1986-09-30,2006-08-31,-0.03187310567,0.06090215039,0.1679665647,0.5231734517,3.262170035,common,200,50
UPRO_ALWAYS,30,120,1986-09-30,1996-08-30,0.07745327156,0.1244216884,0.1515133044,9.375569906,33.73584136,common,200,50
UPRO_SMA_TO_SP500,20,240,1986-09-30,2006-08-31,0.06819278178,0.1489578093,0.2242133551,3.741043677,16.07246096,common,200,50
UPRO_SMA_TO_SP500,30,120,1986-09-30,1996-08-30,0.1508275779,0.1821639492,0.2120873726,67.66924581,151.4388296,common,200,50
UPRO_SMA_TO_TBILL,20,240,1986-09-30,2006-08-31,0.07319400703,0.147844922,0.2062304217,4.107378978,15.76392616,common,200,50
UPRO_SMA_TO_TBILL,30,120,1986-09-30,1996-08-30,0.1473898088,0.173890003,0.2033410503,61.90679819,122.7770531,common,200,50
SP500_1X,20,309,1980-12-31,2006-08-31,0.04788163336,0.09529599945,0.1456954163,2.548264871,6.174901416,SP500_extended,200,50
SP500_1X,30,189,1980-12-31,1996-08-30,0.0933527571,0.1021957119,0.1107476051,14.5499732,18.52760834,SP500_extended,200,50
SSO_ALWAYS,20,309,1980-12-31,2006-08-31,0.02327785523,0.1088607466,0.1723825091,1.584424368,7.902889867,SP500_extended,200,50
SSO_ALWAYS,30,189,1980-12-31,1996-08-30,0.08325856476,0.1206413157,0.1450451639,11.01327283,30.49313292,SP500_extended,200,50
SSO_SMA_TO_SP500,20,309,1980-12-31,2006-08-31,0.06121234987,0.1352849556,0.1932137434,3.281299776,12.65020768,SP500_extended,200,50
SSO_SMA_TO_SP500,30,189,1980-12-31,1996-08-30,0.1248889961,0.1423400189,0.1650504408,34.14758688,54.21245763,SP500_extended,200,50
SSO_SMA_TO_TBILL,20,309,1980-12-31,2006-08-31,0.06618089309,0.1262466069,0.2001588715,3.602615443,10.78126973,SP500_extended,200,50
SSO_SMA_TO_TBILL,30,189,1980-12-31,1996-08-30,0.1210548706,0.1390631037,0.1566435331,30.82293798,49.71769029,SP500_extended,200,50
UPRO_ALWAYS,20,309,1980-12-31,2006-08-31,-0.03187310567,0.08754502647,0.1740255461,0.5231734517,5.357287242,SP500_extended,200,50
UPRO_ALWAYS,30,189,1980-12-31,1996-08-30,0.03959842162,0.1112264375,0.1515133044,3.205865191,23.66680643,SP500_extended,200,50
UPRO_SMA_TO_SP500,20,309,1980-12-31,2006-08-31,0.06819278178,0.1609577359,0.2338000687,3.741043677,19.78464195,SP500_extended,200,50
UPRO_SMA_TO_SP500,30,189,1980-12-31,1996-08-30,0.1455829247,0.1743853556,0.2120873726,58.98140976,124.3931996,SP500_extended,200,50
UPRO_SMA_TO_TBILL,20,309,1980-12-31,2006-08-31,0.07319400703,0.1560169965,0.2424544986,4.107378978,18.16704903,SP500_extended,200,50
UPRO_SMA_TO_TBILL,30,189,1980-12-31,1996-08-30,0.1423741136,0.1713237134,0.2033410503,54.24125588,114.8719665,SP500_extended,200,50
NASDAQ100_1X,20,240,1986-09-30,2006-08-31,0.03688980808,0.1181901885,0.1703152388,2.06372637,9.339284376,NASDAQ100_extended,200,50
NASDAQ100_1X,30,120,1986-09-30,1996-08-30,0.1228274544,0.1387550428,0.1548630243,32.31912299,49.30713683,NASDAQ100_extended,200,50
TQQQ_ALWAYS,20,240,1986-09-30,2006-08-31,-0.1653034601,-0.01655356655,0.3040407844,0.02695083743,0.7161678404,NASDAQ100_extended,200,50
TQQQ_ALWAYS,30,120,1986-09-30,1996-08-30,0.03963849675,0.09865412026,0.1476747007,3.209916158,16.82240429,NASDAQ100_extended,200,50
TQQQ_SMA_TO_NASDAQ,20,240,1986-09-30,2006-08-31,-0.02040007145,0.1346626868,0.3265122558,0.6621782253,12.51662949,NASDAQ100_extended,200,50
TQQQ_SMA_TO_NASDAQ,30,120,1986-09-30,1996-08-30,0.1484789257,0.2000974247,0.244223569,63.64630806,238.0653894,NASDAQ100_extended,200,50
TQQQ_SMA_TO_TBILL,20,240,1986-09-30,2006-08-31,-0.02187888782,0.1317410535,0.2831912616,0.6424697143,11.88341876,NASDAQ100_extended,200,50
TQQQ_SMA_TO_TBILL,30,120,1986-09-30,1996-08-30,0.1347920658,0.1806323256,0.2307241641,44.41850077,145.7429573,NASDAQ100_extended,200,50
