series,lag,event,first_below_sma_signal_close,already_below_at_episode_start,first_deleveraging_execution_close,first_deleveraged_return_end,value_at_first_signal,decline_before_signal,lowest_value_after_first_signal,leverage_resumed_execution_close,switch_count,whipsaw_reversal_switches_within_10_sessions,episode_end_value,episode_min_value,episode_max_drawdown,eventual_recovery_date,episode_end_wealth_difference_vs_lag1,additional_episode_drawdown_vs_lag1
SSO_ALWAYS,LAG1,1987,1987-10-16,True,,,1.30022636368,0.307007107893,0.735438039375,,0,0,0.888702970988,0.735438039375,-0.60802722656,1991-04-17,0,0
SSO_ALWAYS,LAG1,2000_2002,2000-02-18,False,,,0.827647157049,0.172352842951,0.222238100512,,0,0,0.281643899488,0.222238100512,-0.789128896475,2014-09-05,0,0
SSO_ALWAYS,LAG1,2007_2009,2007-08-03,False,,,0.992037968193,0.152202628299,0.181118792949,,0,0,0.480830701075,0.181118792949,-0.845311584565,2013-10-22,0,0
SSO_ALWAYS,LAG1,2020,2020-02-27,False,,,0.845989745975,0.229402988487,0.448418581138,,0,0,1.21758687663,0.448418581138,-0.591543490715,2020-09-02,0,0
SSO_ALWAYS,LAG1,2022,2022-01-21,False,,,0.850430764198,0.160184465947,0.54087805211,,0,0,0.613399930485,0.54087805211,-0.465873285265,2024-02-22,0,0
SSO_ALWAYS,LAG2,1987,1987-10-16,True,,,1.30022636368,0.307007107893,0.735438039375,,0,0,0.888702970988,0.735438039375,-0.60802722656,1991-04-17,0,0
SSO_ALWAYS,LAG2,2000_2002,2000-02-18,False,,,0.827647157049,0.172352842951,0.222238100512,,0,0,0.281643899488,0.222238100512,-0.789128896475,2014-09-05,0,0
SSO_ALWAYS,LAG2,2007_2009,2007-08-03,False,,,0.992037968193,0.152202628299,0.181118792949,,0,0,0.480830701075,0.181118792949,-0.845311584565,2013-10-22,0,0
SSO_ALWAYS,LAG2,2020,2020-02-27,False,,,0.845989745975,0.229402988487,0.448418581138,,0,0,1.21758687663,0.448418581138,-0.591543490715,2020-09-02,0,0
SSO_ALWAYS,LAG2,2022,2022-01-21,False,,,0.850430764198,0.160184465947,0.54087805211,,0,0,0.613399930485,0.54087805211,-0.465873285265,2024-02-22,0,0
SSO_SMA_TO_SP500,LAG1,1987,1987-10-16,True,1987-10-16,1987-10-19,1.22737422559,0.307007107893,0.976206725457,1988-06-01,2,0,1.0799225313,0.976206725457,-0.448819840058,1989-07-19,0,0
SSO_SMA_TO_SP500,LAG1,2000_2002,2000-02-18,False,2000-02-18,2000-02-22,0.827647157049,0.172352842951,0.415591621538,2000-02-23,25,17,0.472658599361,0.415591621538,-0.595235590567,2007-05-18,0,0
SSO_SMA_TO_SP500,LAG1,2007_2009,2007-08-03,False,2007-08-03,2007-08-06,0.992037968193,0.152202628299,0.438159090179,2007-08-06,18,13,0.878847436116,0.438159090179,-0.625548480047,2012-09-13,0,0
SSO_SMA_TO_SP500,LAG1,2020,2020-02-27,False,2020-02-27,2020-02-28,0.845989745975,0.229402988487,0.596400478966,2020-03-02,6,4,1.24798260952,0.596400478966,-0.456749412221,2020-09-01,0,0
SSO_SMA_TO_SP500,LAG1,2022,2022-01-21,False,2022-01-21,2022-01-24,0.850430764198,0.160184465947,0.659746760167,2022-01-24,15,10,0.692029803681,0.659746760167,-0.348488317857,2024-02-07,0,0
SSO_SMA_TO_SP500,LAG2,1987,1987-10-16,True,1987-10-19,1987-10-20,1.22055896794,0.307007107893,0.720107220137,1988-06-02,2,0,0.796614069234,0.720107220137,-0.591147008692,1991-12-30,-0.283308462069,0.142327168634
SSO_SMA_TO_SP500,LAG2,2000_2002,2000-02-18,False,2000-02-22,2000-02-23,0.827647157049,0.172352842951,0.425200499376,2000-02-24,25,17,0.483586920591,0.425200499376,-0.574799500624,2006-05-05,0.0109283212291,-0.0204360899426
SSO_SMA_TO_SP500,LAG2,2007_2009,2007-08-03,False,2007-08-06,2007-08-07,0.992037968193,0.152202628299,0.419838368671,2007-08-07,18,13,0.821498113582,0.419838368671,-0.641205400488,2013-01-18,-0.0573493225338,0.0156569204403
SSO_SMA_TO_SP500,LAG2,2020,2020-02-27,False,2020-02-28,2020-03-02,0.845989745975,0.229402988487,0.64533673938,2020-03-03,6,4,1.33096296702,0.64533673938,-0.412174243066,2020-08-24,0.0829803575057,-0.0445751691549
SSO_SMA_TO_SP500,LAG2,2022,2022-01-21,False,2022-01-24,2022-01-25,0.850430764198,0.160184465947,0.652407306746,2022-01-25,15,10,0.662238002767,0.652407306746,-0.355736158896,2024-03-07,-0.0297918009137,0.00724784103922
SSO_SMA_TO_TBILL,LAG1,1987,1987-10-16,True,1987-10-16,1987-10-19,1.15644973615,0.307007107893,1.15644973615,1988-06-01,2,0,1.17070080521,1,-0.307007107893,1989-05-22,0,0
SSO_SMA_TO_TBILL,LAG1,2000_2002,2000-02-18,False,2000-02-18,2000-02-22,0.827647157049,0.172352842951,0.663887491568,2000-02-23,25,17,0.671805901279,0.663887491568,-0.336112508432,2004-01-21,0,0
SSO_SMA_TO_TBILL,LAG1,2007_2009,2007-08-03,False,2007-08-03,2007-08-06,0.992037968193,0.152202628299,0.769804937857,2007-08-06,18,13,1.23742548299,0.769804937857,-0.342123362247,2009-10-14,0,0
SSO_SMA_TO_TBILL,LAG1,2020,2020-02-27,False,2020-02-27,2020-02-28,0.845989745975,0.229402988487,0.744650461587,2020-03-02,6,4,1.1615657468,0.744650461587,-0.321711140057,2020-12-01,0,0
SSO_SMA_TO_TBILL,LAG1,2022,2022-01-21,False,2022-01-21,2022-01-24,0.850430764198,0.160184465947,0.733873960529,2022-01-24,15,10,0.735276477729,0.733873960529,-0.275286386575,2024-02-22,0,0
SSO_SMA_TO_TBILL,LAG2,1987,1987-10-16,True,1987-10-19,1987-10-20,1.14354866628,0.307007107893,0.674672566256,1988-06-02,2,0,0.682585337316,0.674672566256,-0.591147008692,1993-08-24,-0.488115467898,0.284139900799
SSO_SMA_TO_TBILL,LAG2,2000_2002,2000-02-18,False,2000-02-22,2000-02-23,0.827647157049,0.172352842951,0.693842570959,2000-02-24,25,17,0.703221077857,0.693842570959,-0.306157429041,2003-11-03,0.0314151765782,-0.0299550793915
SSO_SMA_TO_TBILL,LAG2,2007_2009,2007-08-03,False,2007-08-06,2007-08-07,0.992037968193,0.152202628299,0.673189428591,2007-08-07,18,13,1.08212056438,0.673189428591,-0.424691144376,2010-03-16,-0.155304918607,0.0825677821289
