variant,structure,family,moneyness,premium_budget,maturity_months,roll_months,cagr,terminal_multiple,annualized_volatility,max_drawdown,mean_delta_exposure,delta_exposure_sd,mean_option_weight,option_turnover_per_year,cost_drag_bps,cohort_10y_min_cagr,cohort_20y_min_cagr,cohort_20y_median_cagr,cohort_30y_min_cagr,cohort_30y_median_cagr,rolls,mean_entry_years,mean_exit_years,mean_held_years,mean_premium_fraction_of_nav,mean_exit_premium_ratio,theta_burden_per_year,vega_per_nav,mean_remaining_years,delta_exposure_p5,delta_exposure_p50,delta_exposure_p95,sessions_after_major_loss,min_exposure_after_loss,mean_exposure_after_loss,recovery_exposure,recovery_exposure_ratio,underexposed_recovery,1987_crash,2000_2002_bust,2008_2009_gfc,2020_covid,2022_rates
NDX_80_25_24M_ROLL12M,NDX_LEAPS_80_25_TREASURY,control,0.8,0.25,24,12,0.1526945607,291.0768818,0.1887017006,-0.5001886852,0.7861401871,0.1861970239,0.2815236943,0.2504628677,69.18206956,0.02379201219,0.1148449284,0.1501710503,0.1479832741,0.1626257626,40,2.004928131,0.9993155373,1.005844258,0.25,1.522360845,-0.02769418211,0.1925099171,1.502063594,0.4337384877,0.8006694637,1.073250229,1180,0.1162474758,0.5247833578,0.8426295553,1.071856609,False,-0.3110528066,-0.4040256081,-0.1587568998,-0.08316787024,-0.4538607522
NDX_80_25_15M_ROLL6M,NDX_LEAPS_80_25_TREASURY,XND 15m,0.8,0.25,15,6,0.1578368046,347.6875051,0.2038502828,-0.527095667,0.8654386258,0.1832425339,0.2642429505,0.5009257354,128.7473817,0.02058886663,0.1135091903,0.1542369975,0.1511506191,0.1667836688,80,1.24705681,0.7473292959,0.4997444095,0.25,1.27177081,-0.03704545637,0.1720363734,0.9981243273,0.5040955331,0.8900565875,1.141931093,777,0.1574783088,0.6914248477,0.8973917549,1.036921312,False,-0.2182807489,-0.3823181092,-0.2527211833,-0.1709560365,-0.4964179017
NDX_80_25_15M_ROLL9M,NDX_LEAPS_80_25_TREASURY,XND 15m,0.8,0.25,15,9,0.153198055,296.1965467,0.2061728709,-0.5396449019,0.8631993471,0.203358752,0.2756562139,0.3005554413,81.35531918,-0.01201434356,0.09945545614,0.1426254568,0.1435434121,0.158782529,48,1.346566279,0.4981140868,0.8454716239,0.25,1.457802778,-0.03345238598,0.1401998831,0.9472895685,0.4438455697,0.8916435002,1.144217332,1834,0.1345536871,0.7115519499,0.5189031751,0.6011394435,True,-0.2344134753,-0.5218279402,-0.176594231,-0.148722198,-0.4932078977
NDX_80_25_15M_ROLL12M,NDX_LEAPS_80_25_TREASURY,XND 15m,0.8,0.25,15,12,0.1687079676,504.9347168,0.2109018859,-0.5386818214,0.8893959036,0.2024921852,0.2781972329,0.2504628677,71.96323762,0.01821222079,0.1182669201,0.1624707884,0.161093273,0.1765158365,40,1.248596851,0.2491444216,0.9995261412,0.25,1.607372495,-0.03409611687,0.1169295203,0.7495418999,0.4978863341,0.9122766306,1.174230729,828,0.0002352288658,0.6317046168,0.9440690556,1.061472233,False,-0.2134748533,-0.3829500413,-0.2473351954,-0.1647533253,-0.5087556612
NDX_80_25_27M_ROLL12M,NDX_LEAPS_80_25_TREASURY,QQQ bridge,0.8,0.25,27,12,0.1517443625,281.649019,0.1828610495,-0.4908997054,0.7554678109,0.1827731432,0.2765903538,0.2504628677,69.36918121,0.02430443504,0.1125754994,0.146875247,0.1440044464,0.1587284672,40,2.247843943,1.248459959,0.9994559399,0.25,1.510039441,-0.02614876826,0.216877326,1.74988209,0.4385478795,0.7623630987,1.062158137,405,0.2612791885,0.6600516884,0.7991998775,1.057887399,False,-0.178071515,-0.3126106369,-0.1933228999,-0.1128842107,-0.4606011577
NDX_85_30_24M_ROLL12M,NDX_LEAPS_85_30_TREASURY,control,0.85,0.3,24,12,0.1753260113,632.6269147,0.231367206,-0.5499814858,1.013023415,0.2569186794,0.3344502866,0.3005554413,83.02821615,0.006378318557,0.1211463002,0.1676070793,0.1646202006,0.1840174682,40,2.004928131,0.9993155373,1.005844258,0.3,1.561671523,-0.04195014692,0.3194650173,1.502063594,0.5303461917,1.02262047,1.45624946,2123,0.06980055974,0.7760469356,0.4792835511,0.4731218883,True,-0.3807131969,-0.5187094932,-0.242781367,-0.1347937439,-0.4901016501
NDX_85_30_15M_ROLL6M,NDX_LEAPS_85_30_TREASURY,XND 15m,0.85,0.3,15,6,0.1819573943,791.9650349,0.2565399246,-0.5788628488,1.143845426,0.2676922477,0.3148296468,0.6011108825,155.7855577,-0.001173276204,0.118377622,0.17023354,0.1709111015,0.1904402621,80,1.24705681,0.7473292959,0.4997444095,0.3,1.294025323,-0.05953931767,0.3092985392,0.9981243273,0.6423461263,1.167915332,1.590628638,1769,0.07447275044,0.8922674561,1.158906865,1.013167373,False,-0.2736047325,-0.5034911593,-0.3613069248,-0.248429549,-0.5501517066
NDX_85_30_15M_ROLL9M,NDX_LEAPS_85_30_TREASURY,XND 15m,0.85,0.3,15,9,0.1778839291,689.9916235,0.2588730209,-0.6438867448,1.139374061,0.2933205492,0.3275998915,0.3606665295,98.13669288,-0.03869846511,0.1034427593,0.1582272673,0.1613965314,0.1817441797,48,1.346566279,0.4981140868,0.8454716239,0.3,1.499826704,-0.05363598731,0.2518934266,0.9472895685,0.5526929381,1.154828678,1.561058535,2949,0.1013086,0.9385041792,0.647738697,0.5685039875,True,-0.29162323,-0.6335270877,-0.2728785592,-0.2225812824,-0.5426979615
NDX_85_30_15M_ROLL12M,NDX_LEAPS_85_30_TREASURY,XND 15m,0.85,0.3,15,12,0.1988398879,1395.163784,0.2663950575,-0.5886011051,1.179619111,0.2964351215,0.3295896015,0.3005554413,86.78069349,-0.003543451153,0.1267521549,0.1822660312,0.1844772434,0.204742889,40,1.248596851,0.2491444216,0.9995261412,0.3,1.672416143,-0.05587870992,0.2154186212,0.7495418999,0.6201512513,1.200928095,1.619169327,1459,0.0001585684624,0.8029077748,1.229032759,1.041889494,False,-0.2649286975,-0.4967100658,-0.357086456,-0.2416548874,-0.5605538712
NDX_85_30_27M_ROLL12M,NDX_LEAPS_85_30_TREASURY,QQQ bridge,0.85,0.3,27,12,0.1748581355,622.6495544,0.2220058799,-0.5282473961,0.969142799,0.247491749,0.3287076052,0.3005554413,83.46710216,0.00956539265,0.1196829119,0.1614755896,0.1651643546,0.1807628088,40,2.247843943,1.248459959,0.9994559399,0.3,1.546644447,-0.03919294411,0.3523720309,1.74988209,0.5544719616,0.9724932103,1.413917624,883,0.04030363242,0.6400533674,1.006343965,1.038385639,False,-0.2200919506,-0.4169135907,-0.28376146,-0.1697459743,-0.4999695536
