variant,horizon_years,paths,block_days,structure,family,maturity_months,roll_months,mean_cagr,median_max_drawdown,worst_max_drawdown,prob_negative_cagr,prob_below_nasdaq,prob_below_control,underexposed_recovery,mean_delta_exposure,min_exposure_after_loss,delta_p5,delta_p50,delta_p95,mean_option_weight,turnover_per_year,cagr_p5,cagr_p10,cagr_p50,cagr_p90,cagr_p95,terminal_wealth_p5,terminal_wealth_p50,terminal_wealth_p95,prob_drawdown_worse_than_50,prob_drawdown_worse_than_60,prob_drawdown_worse_than_75
NASDAQ100_1X,10,3000,63,NASDAQ100_1X,index,,,0.1533414891,-0.45896604,-0.9075048469,0.03833333333,0,0,,,,,,,,,0.01405809535,0.04159192491,0.1536357133,0.2678436905,0.2960897898,1.149794251,4.174475866,13.37201065,0.3506666667,0.1346666667,0.018
NDX_80_25_24M_ROLL12M,10,3000,63,NDX_LEAPS_80_25_TREASURY,control,24,12,0.1415552949,-0.3246122932,-0.7494812178,0.01866666667,0.6253333333,0,0.1469496021,0.736066701,0.3662252855,0.4641091533,0.7518811371,0.9486300129,0.2715368308,0.2500342278,0.03189332807,0.05190863418,0.1404980271,0.2335301117,0.2573924204,1.368766566,3.722778838,9.875798341,0.048,0.008333333333,0
NDX_80_25_15M_ROLL6M,10,3000,63,NDX_LEAPS_80_25_TREASURY,XND 15m,15,6,0.1451970361,-0.351109184,-0.7857925233,0.025,0.591,0.375,0.06453048509,0.8302901153,0.3659860744,0.5887489177,0.8465923421,1.017837035,0.261338166,0.5250718784,0.02409159766,0.04727240586,0.1439449279,0.2457012482,0.27170274,1.268743637,3.836818719,11.05893193,0.09566666667,0.01633333333,0.001666666667
NDX_80_25_15M_ROLL9M,10,3000,63,NDX_LEAPS_80_25_TREASURY,XND 15m,15,9,0.148550215,-0.3553426708,-0.7656405095,0.02233333333,0.5606666667,0.3016666667,0.126791142,0.8266304496,0.3320023581,0.5326380785,0.851344066,1.032687333,0.2688874562,0.3250444962,0.02703231744,0.04970586659,0.1460200071,0.2490146203,0.2759764581,1.305645524,3.906978571,11.43620191,0.092,0.01533333333,0.0003333333333
NDX_80_25_15M_ROLL12M,10,3000,63,NDX_LEAPS_80_25_TREASURY,XND 15m,15,12,0.1519111082,-0.3665043222,-0.7930322621,0.02433333333,0.528,0.2643333333,0.1379310345,0.8516108025,0.3096667033,0.5284875798,0.8829670622,1.05749478,0.2735933739,0.2750376506,0.02663273847,0.04781169692,0.1494219578,0.2573891664,0.2872423716,1.300575315,4.02450227,12.48685755,0.1156666667,0.02266666667,0.001333333333
NDX_80_25_27M_ROLL12M,10,3000,63,NDX_LEAPS_80_25_TREASURY,QQQ bridge,27,12,0.1390047742,-0.31512726,-0.7433799919,0.017,0.6343333333,0.623,0.1675213675,0.7115708013,0.3667406647,0.4567820841,0.7229125329,0.9227497537,0.2714930289,0.2500342278,0.03251222805,0.05061868475,0.1382071266,0.2278002311,0.2523835821,1.376997214,3.648682285,9.489430885,0.043,0.005666666667,0
NDX_85_30_24M_ROLL12M,10,3000,63,NDX_LEAPS_85_30_TREASURY,control,24,12,0.1595806638,-0.3858665059,-0.8091289768,0.026,0.4423333333,0,0.1512859304,0.9359646776,0.3922544331,0.5848778417,0.9587485879,1.20484849,0.3221219597,0.3000410734,0.02462431599,0.04811500829,0.1558013731,0.2765398819,0.3092612046,1.275359293,4.253496249,14.79458721,0.1503333333,0.032,0.002
NDX_85_30_15M_ROLL6M,10,3000,63,NDX_LEAPS_85_30_TREASURY,XND 15m,15,6,0.1646031829,-0.4277615077,-0.8549902496,0.03666666667,0.3806666667,0.384,0.07371349096,1.081012519,0.3644118825,0.7498820594,1.102511362,1.345729705,0.3110893809,0.6300862541,0.01250004255,0.04049448815,0.1604720349,0.2944286591,0.3304735571,1.132252052,4.428517169,17.3737251,0.2693333333,0.08433333333,0.006666666667
NDX_85_30_15M_ROLL9M,10,3000,63,NDX_LEAPS_85_30_TREASURY,XND 15m,15,9,0.1682876234,-0.4318137501,-0.8399754569,0.034,0.3646666667,0.329,0.1382311978,1.071797801,0.3201737703,0.6672099674,1.104385202,1.361205517,0.3188537653,0.3900533954,0.01367721834,0.04329036608,0.162771363,0.2986254543,0.3356764943,1.145483379,4.517036754,18.06511639,0.2696666667,0.08466666667,0.005666666667
NDX_85_30_15M_ROLL12M,10,3000,63,NDX_LEAPS_85_30_TREASURY,XND 15m,15,12,0.1722791862,-0.4503159029,-0.8760887544,0.039,0.3233333333,0.2973333333,0.1397590361,1.108761055,0.2606931383,0.6509488542,1.154163661,1.397635343,0.3231796159,0.3300451807,0.01120110394,0.038155387,0.1678301721,0.3085870363,0.3488313512,1.117812052,4.717424328,19.92501316,0.3143333333,0.111,0.008333333333
NDX_85_30_27M_ROLL12M,10,3000,63,NDX_LEAPS_85_30_TREASURY,QQQ bridge,27,12,0.1564463833,-0.3738072447,-0.8119734515,0.02466666667,0.4753333333,0.6156666667,0.1664056382,0.9018202049,0.4150449826,0.575453433,0.9177275522,1.165230923,0.3221866828,0.3000410734,0.02615906842,0.04768081539,0.1540166216,0.2689439742,0.2994618651,1.294587844,4.188278266,13.72398337,0.1263333333,0.026,0.001333333333
